Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0220:GACT,CPT:CM02:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-08-08-23:14:09,41,95.2452,74.7669,14.436,32.4277,32.0,31.21781
2019-08-08-23:14:10,41,95.5142,75.1145,14.436,32.4277,32.0,31.21781
2019-08-08-23:14:11,41,94.9932,74.8704,14.4648,32.4277,32.0,31.21781
2019-08-08-23:14:12,41,95.366,75.0101,14.4648,32.4277,32.0,31.21781
2019-08-08-23:14:13,41,95.1297,75.0101,14.4648,32.4277,32.0,31.21781
2019-08-08-23:14:14,41,95.4596,75.0101,14.4883,32.4277,32.0,31.21781
2019-08-08-23:14:15,41,95.092,74.91,14.4883,32.4277,32.0,31.21781
2019-08-08-23:14:16,41,95.3017,74.91,14.4883,32.4277,32.0,31.21781
2019-08-08-23:14:17,41,95.1429,74.91,14.4996,32.4277,32.0,31.21781
2019-08-08-23:14:18,41,95.4523,74.91,14.4996,32.4277,32.0,31.21781
2019-08-08-23:14:19,41,94.9552,74.7739,14.4996,32.4277,32.0,31.21781
2019-08-08-23:14:20,41,95.4182,75.0985,14.4996,32.4277,32.0,31.21781
2019-08-08-23:14:21,41,95.1156,74.9293,14.4996,32.4277,32.0,31.21781
2019-08-08-23:14:22,41,95.5992,74.9293,14.4996,32.4277,32.0,31.21781
2019-08-08-23:14:23,41,95.0422,74.8213,14.4996,32.4277,32.0,31.21781
2019-08-08-23:14:24,41,95.1542,74.8213,14.489,32.4277,32.0,31.21781
2019-08-08-23:14:25,41,94.9936,74.9474,14.489,32.4277,32.0,31.21781
2019-08-08-23:14:26,41,95.3773,74.9474,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:27,41,94.9718,74.7607,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:28,41,95.5082,74.7607,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:29,41,94.9539,74.9466,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:30,41,95.2875,74.7797,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:31,41,94.9722,74.7797,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:32,41,95.2004,74.8818,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:33,41,95.0526,74.7429,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:34,41,95.3405,74.7429,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:35,41,95.24,74.895,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:36,41,95.24,74.895,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:37,41,94.9498,75.0662,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:38,41,95.1821,75.0662,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:39,41,94.9977,75.0662,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:40,41,94.9977,74.7402,14.4767,32.4277,32.0,31.21781
2019-08-08-23:14:41,41,95.3654,74.8462,14.487,32.4277,32.0,31.21781
2019-08-08-23:14:42,41,95.3654,74.8462,14.487,32.4277,32.0,31.21781
2019-08-08-23:14:43,41,95.3654,74.9553,14.487,32.4277,32.0,31.21781
2019-08-08-23:14:44,41,95.3654,75.1042,14.4756,32.4277,32.0,31.21781
2019-08-08-23:14:45,41,95.2274,74.8918,14.4756,32.4277,32.0,31.21781
2019-08-08-23:14:46,41,95.4046,74.7664,14.4756,32.4277,32.0,31.21781
2019-08-08-23:14:47,41,94.9447,74.9766,14.4959,32.4277,32.0,31.21781
2019-08-08-23:14:48,41,95.0605,74.798,14.4959,32.4277,32.0,31.21781
2019-08-08-23:14:49,41,95.3453,75.2282,14.4852,32.4277,32.0,31.21781
2019-08-08-23:14:50,41,95.0565,74.7521,14.4852,32.4277,32.0,31.21781
2019-08-08-23:14:51,41,95.3644,74.7521,14.4968,32.4277,32.0,31.21781
2019-08-08-23:14:52,41,95.1031,74.9524,14.4968,32.4277,32.0,31.21781
2019-08-08-23:14:53,41,95.3583,74.9524,14.5062,32.4277,32.0,31.21781
2019-08-08-23:14:54,41,95.0695,74.9524,14.5062,32.4277,32.0,31.21781
2019-08-08-23:14:55,41,95.4498,74.9524,14.5062,32.4277,32.0,31.21781
2019-08-08-23:14:56,41,95.0561,74.9524,14.5062,32.4277,32.0,31.21781
2019-08-08-23:14:57,41,95.182,74.9524,14.5062,32.4277,32.0,31.21781
2019-08-08-23:14:58,41,94.9615,74.7319,14.5062,32.4277,32.0,31.21781
2019-08-08-23:14:59,41,95.2518,74.9845,14.4947,32.4277,32.0,31.21781
2019-08-08-23:15:00,41,95.2518,74.8744,14.4947,32.4277,32.0,31.21781
2019-08-08-23:15:01,41,95.2518,74.9769,14.5084,32.4277,32.0,31.21781
2019-08-08-23:15:02,41,95.1463,74.9769,14.5084,32.4277,32.0,31.21781
2019-08-08-23:15:03,41,95.3997,74.9769,14.5084,32.4277,32.0,31.21781
2019-08-08-23:15:04,41,94.9439,74.8389,14.5084,32.4277,32.0,31.21781
2019-08-08-23:15:05,41,95.5978,74.8389,14.5084,32.4277,32.0,31.21781
2019-08-08-23:15:06,41,94.9492,75.0561,14.5084,32.4277,32.0,31.21781
2019-08-08-23:15:07,41,95.2801,75.0561,14.5084,32.4277,32.0,31.21781
2019-08-08-23:15:08,41,95.1631,74.7991,14.4873,32.4277,32.0,31.21781
2019-08-08-23:15:09,41,95.3554,74.9178,14.4873,32.4277,32.0,31.21781
2019-08-08-23:15:10,41,95.0005,74.9178,14.4873,32.4277,32.0,31.21781
2019-08-08-23:15:11,41,95.1268,74.9178,14.4984,32.4277,32.0,31.21781
2019-08-08-23:15:12,41,95.2302,74.8176,14.4984,32.4277,32.0,31.21781
2019-08-08-23:15:13,41,95.2302,74.8176,14.4849,32.4277,32.0,31.21781
2019-08-08-23:15:14,41,95.2302,74.8176,14.4844,32.4277,32.0,31.21781
2019-08-08-23:15:15,41,95.3404,74.8176,14.4979,32.4277,32.0,31.21781
2019-08-08-23:15:16,41,94.9489,74.8176,14.4979,32.4277,32.0,31.21781
2019-08-08-23:15:17,41,95.1824,74.8176,14.4979,32.4277,32.0,31.21781
2019-08-08-23:15:18,41,95.0165,74.8176,14.4979,32.4277,32.0,31.21781
2019-08-08-23:15:19,41,95.158,74.8176,14.4979,32.4277,32.0,31.21781
2019-08-08-23:15:20,41,94.9895,74.8176,14.4979,32.4277,32.0,31.21781
2019-08-08-23:15:21,41,95.4435,74.8176,14.4979,32.4277,32.0,31.21781
2019-08-08-23:15:22,41,94.9996,74.8176,14.4979,32.4277,32.0,31.21781
2019-08-08-23:15:23,41,94.9996,74.8176,14.4979,32.4277,32.0,31.21781
2019-08-08-23:15:24,41,95.1399,74.8176,14.4979,32.4277,32.0,31.21781
2019-08-08-23:15:25,41,95.1399,74.8176,14.4979,32.4277,32.0,31.21781
