Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0250:GACT,CPT:CM02:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-08-02-18:12:47,40.4,95.5807,75.0683,18.9571,32.2586,32.0,31.47892
2019-08-02-18:12:48,40.4,95.4216,75.0683,18.9571,32.2586,32.0,31.47892
2019-08-02-18:12:49,40.4,95.4216,75.2146,18.9758,32.2586,32.0,31.47892
2019-08-02-18:12:50,40.4,95.4216,75.382,18.9758,32.2586,32.0,31.47892
2019-08-02-18:12:51,40.4,95.4216,75.199,19.0052,32.2586,32.0,31.47892
2019-08-02-18:12:52,40.4,95.4216,75.199,19.0052,32.2586,32.0,31.47892
2019-08-02-18:12:53,40.4,95.4216,75.3614,19.0052,32.2586,32.0,31.47892
2019-08-02-18:12:54,40.4,95.5527,75.1349,19.0052,32.2586,32.0,31.47892
2019-08-02-18:12:55,40.4,95.35,75.1349,18.9932,32.2586,32.0,31.47892
2019-08-02-18:12:56,40.4,95.35,75.373,18.9932,32.2586,32.0,31.47892
2019-08-02-18:12:57,40.4,95.35,75.1018,18.9932,32.2586,32.0,31.47892
2019-08-02-18:12:58,40.4,95.35,75.2559,18.9823,32.2586,32.0,31.47892
2019-08-02-18:12:59,40.4,95.2346,75.2559,18.9823,32.2586,32.0,31.47892
2019-08-02-18:13:00,40.4,95.4841,75.2559,18.9823,32.2586,32.0,31.47892
2019-08-02-18:13:01,40.4,95.3059,75.1499,18.9823,32.2586,32.0,31.47892
2019-08-02-18:13:02,40.4,95.4772,75.1499,18.9823,32.2586,32.0,31.47892
2019-08-02-18:13:03,40.4,95.3116,75.1499,18.9823,32.2586,32.0,31.47892
2019-08-02-18:13:04,40.4,95.4388,75.1499,18.9949,32.2586,32.0,31.47892
2019-08-02-18:13:05,40.4,95.2021,75.3354,18.9807,32.2586,32.0,31.47892
2019-08-02-18:13:06,40.4,95.427,75.1317,18.9807,32.2586,32.0,31.47892
2019-08-02-18:13:07,40.4,95.427,75.1317,18.9807,32.2586,32.0,31.47892
2019-08-02-18:13:08,40.4,95.427,75.1317,18.9807,32.2586,32.0,31.47892
2019-08-02-18:13:09,40.4,95.2734,75.3288,18.9807,32.2586,32.0,31.47892
2019-08-02-18:13:10,40.4,95.4087,75.3288,18.9807,32.2586,32.0,31.47892
2019-08-02-18:13:11,40.4,95.4087,75.2226,18.9807,32.2586,32.0,31.47892
2019-08-02-18:13:12,40.4,95.5115,75.3296,18.9913,32.2586,32.0,31.47892
2019-08-02-18:13:13,40.4,95.3479,75.2184,18.9777,32.2586,32.0,31.47892
2019-08-02-18:13:14,40.4,95.3479,75.1181,18.991,32.2586,32.0,31.47892
2019-08-02-18:13:15,40.4,95.3479,75.2325,18.9783,32.2586,32.0,31.47892
2019-08-02-18:13:16,40.4,95.1296,75.0878,18.9783,32.2586,32.0,31.47892
2019-08-02-18:13:17,40.4,95.4008,75.4248,18.9783,32.2586,32.0,31.47892
2019-08-02-18:13:18,40.4,95.4008,75.0798,18.9901,32.2586,32.0,31.47892
2019-08-02-18:13:19,40.4,95.4008,75.0798,18.9901,32.2586,32.0,31.47892
2019-08-02-18:13:20,40.4,95.4008,75.2328,18.9901,32.2586,32.0,31.47892
2019-08-02-18:13:21,40.4,95.4008,75.0879,18.9901,32.2586,32.0,31.47892
2019-08-02-18:13:22,40.4,95.4008,75.2391,18.9901,32.2586,32.0,31.47892
2019-08-02-18:13:23,40.4,95.5315,75.2391,18.9901,32.2586,32.0,31.47892
2019-08-02-18:13:24,40.4,95.3819,75.07,18.9901,32.2586,32.0,31.47892
2019-08-02-18:13:25,40.4,95.3819,75.4815,18.9901,32.2586,32.0,31.47892
2019-08-02-18:13:26,40.4,95.06,75.1004,18.9901,32.2586,32.0,31.47892
