Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0220:GACT,CPT:CM02:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-08-02-12:58:00,40.4,95.3069,75.1513,14.4296,32.0549,32.0,30.93955
2019-08-02-12:58:01,40.4,95.3069,74.9034,14.4664,32.0549,32.0,30.93955
2019-08-02-12:58:02,40.4,94.9894,74.9034,14.4664,32.0549,32.0,30.93955
2019-08-02-12:58:03,40.4,95.3942,75.0128,14.4664,32.0549,32.0,30.93955
2019-08-02-12:58:04,40.4,95.1328,74.8687,14.4991,32.0549,32.0,30.93955
2019-08-02-12:58:05,40.4,95.1328,74.8687,14.4991,32.0549,32.0,30.93955
2019-08-02-12:58:06,40.4,95.1328,75.0025,14.4871,32.0549,32.0,30.93955
2019-08-02-12:58:07,40.4,95.1328,75.0025,14.5002,32.0549,32.0,30.93955
2019-08-02-12:58:08,40.4,95.4116,75.0025,14.5002,32.0549,32.0,30.93955
2019-08-02-12:58:09,40.4,95.1963,74.7789,14.5002,32.0549,32.0,30.93955
2019-08-02-12:58:10,40.4,95.0113,74.8882,14.5002,32.0549,32.0,30.93955
2019-08-02-12:58:11,40.4,95.238,74.8882,14.489,32.0549,32.0,30.93955
2019-08-02-12:58:12,40.4,95.238,74.8882,14.5028,32.0549,32.0,30.93955
2019-08-02-12:58:13,40.4,95.238,75.0184,14.5028,32.0549,32.0,30.93955
2019-08-02-12:58:14,40.4,95.238,75.0184,14.491,32.0549,32.0,30.93955
2019-08-02-12:58:15,40.4,95.3425,75.0184,14.5041,32.0549,32.0,30.93955
2019-08-02-12:58:16,40.4,94.9968,74.8698,14.5041,32.0549,32.0,30.93955
2019-08-02-12:58:17,40.4,94.9968,74.8698,14.5041,32.0549,32.0,30.93955
2019-08-02-12:58:18,40.4,95.2294,74.9756,14.491,32.1057,32.0,30.93955
2019-08-02-12:58:19,40.4,95.2294,74.7495,14.491,32.1057,32.0,30.93955
2019-08-02-12:58:20,40.4,95.2294,74.9817,14.5019,32.1057,32.0,30.93955
2019-08-02-12:58:21,40.4,95.0308,74.8274,14.5008,32.1057,32.0,30.93955
2019-08-02-12:58:22,40.4,95.0308,74.8274,14.5008,32.1057,32.0,30.93955
2019-08-02-12:58:23,40.4,95.2455,74.8274,14.5008,32.1057,32.0,30.93955
2019-08-02-12:58:24,40.4,95.0602,75.0137,14.5008,32.1057,32.0,30.93955
2019-08-02-12:58:25,40.4,95.0602,74.7818,14.5008,32.1057,32.0,30.93955
2019-08-02-12:58:26,40.4,95.0602,74.884,14.5008,32.1057,32.0,30.93955
2019-08-02-12:58:27,40.4,95.0602,74.884,14.5008,32.1057,32.0,30.93955
2019-08-02-12:58:28,40.4,95.3479,74.9927,14.5008,32.1057,32.0,30.93955
2019-08-02-12:58:29,40.4,95.0735,74.7285,14.5008,32.1057,32.0,30.93955
2019-08-02-12:58:30,40.4,95.4817,74.8695,14.5116,32.1057,32.0,30.93955
2019-08-02-12:58:31,40.4,95.0814,74.7635,14.5116,32.1057,32.0,30.93955
2019-08-02-12:58:32,40.4,95.0814,74.9673,14.5116,32.1057,32.0,30.93955
2019-08-02-12:58:33,40.4,95.0814,74.8116,14.4975,32.1057,32.0,30.93955
2019-08-02-12:58:34,40.4,95.2014,74.8116,14.4975,32.1057,32.0,30.93955
2019-08-02-12:58:35,40.4,95.2014,74.8116,14.4975,32.1057,32.0,30.93955
2019-08-02-12:58:36,40.4,95.3587,74.8116,14.5089,32.1057,32.0,30.93955
2019-08-02-12:58:37,40.4,95.0699,74.8116,14.5089,32.1057,32.0,30.93955
2019-08-02-12:58:38,40.4,95.0699,74.9785,14.5089,32.1057,32.0,30.93955
2019-08-02-12:58:39,40.4,95.0699,74.9785,14.5089,32.1057,32.0,30.93955
2019-08-02-12:58:40,40.4,95.0699,74.9785,14.5089,32.1057,32.0,30.93955
2019-08-02-12:58:41,40.4,95.0699,74.7603,14.5089,32.1057,32.0,30.93955
2019-08-02-12:58:42,40.4,95.3252,74.7603,14.5089,32.1057,32.0,30.93955
2019-08-02-12:58:43,40.4,95.1754,74.7603,14.4921,32.1057,32.0,30.93955
2019-08-02-12:58:44,40.4,95.1754,74.9167,14.4921,32.1057,32.0,30.93955
2019-08-02-12:58:45,40.4,95.0226,74.9167,14.4921,32.1057,32.0,30.93955
2019-08-02-12:58:46,40.4,95.0226,74.9167,14.4921,32.1057,32.0,30.93955
2019-08-02-12:58:47,40.4,95.0226,74.9167,14.4921,32.1057,32.0,30.93955
2019-08-02-12:58:48,40.4,95.2223,74.9167,14.4921,32.1057,32.0,30.93955
2019-08-02-12:58:49,40.4,94.9602,74.9167,14.4921,32.1057,32.0,30.93955
2019-08-02-12:58:50,40.4,95.2782,74.9167,14.4921,32.1057,32.0,30.93955
2019-08-02-12:58:51,40.4,94.958,74.9167,14.4921,32.1057,32.0,30.93955
2019-08-02-12:58:52,40.4,95.0644,74.9167,14.5054,32.1057,32.0,30.93955
2019-08-02-12:58:53,40.4,95.0644,74.9167,14.5054,32.1057,32.0,30.93955
2019-08-02-12:58:54,40.4,95.0644,74.9167,14.4953,32.1057,32.0,30.93955
2019-08-02-12:58:55,40.4,95.0644,74.7671,14.4953,32.1057,32.0,30.93955
2019-08-02-12:58:56,40.4,95.207,74.7671,14.5057,32.1057,32.0,30.93955
2019-08-02-12:58:57,40.4,95.0142,74.9033,14.4918,32.1057,32.0,30.93955
2019-08-02-12:58:58,40.4,95.356,74.7592,14.5071,32.1057,32.0,30.93955
2019-08-02-12:58:59,40.4,94.9753,74.9419,14.5071,32.1057,32.0,30.93955
2019-08-02-12:59:00,40.4,95.3771,74.9419,14.5071,32.1057,32.0,30.93955
2019-08-02-12:59:01,40.4,95.0018,74.7286,14.5071,32.1057,32.0,30.93955
2019-08-02-12:59:02,40.4,95.3073,75.1091,14.5071,32.1057,32.0,30.93955
2019-08-02-12:59:03,40.4,95.0316,74.7404,14.5071,32.1057,32.0,30.93955
2019-08-02-12:59:04,40.4,95.2972,74.9386,14.5071,32.1057,32.0,30.93955
2019-08-02-12:59:05,40.4,95.2972,74.7195,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:06,40.4,95.0369,75.0043,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:07,40.4,95.0369,75.0043,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:08,40.4,95.193,74.7609,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:09,40.4,94.9639,75.0533,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:10,40.4,95.1432,74.7912,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:11,40.4,94.9807,74.9105,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:12,40.4,95.1478,74.7355,14.5041,32.1057,32.0,30.93955
2019-08-02-12:59:13,40.4,94.9822,74.7355,14.5041,32.1057,32.0,30.93955
2019-08-02-12:59:14,40.4,95.2441,74.8552,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:15,40.4,95.2441,74.7353,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:16,40.4,95.0408,74.7353,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:17,40.4,95.1483,74.7353,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:18,40.4,95.0461,74.7353,14.4928,32.1057,32.0,30.93955
2019-08-02-12:59:19,40.4,95.0461,75.0119,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:20,40.4,95.0461,74.7394,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:21,40.4,95.0461,74.7394,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:22,40.4,95.53,74.7394,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:23,40.4,94.9857,74.7394,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:24,40.4,94.9857,74.7394,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:25,40.4,94.9857,74.7394,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:26,40.4,94.9857,74.7394,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:27,40.4,95.1855,74.969,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:28,40.4,95.0598,74.76,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:29,40.4,94.9579,74.9031,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:30,40.4,94.9579,74.9031,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:31,40.4,94.9579,74.9031,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:32,40.4,95.2145,74.7274,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:33,40.4,94.9717,74.8814,14.5056,32.1057,32.0,30.93955
2019-08-02-12:59:34,40.4,95.218,74.8814,14.4947,32.1057,32.0,30.93955
2019-08-02-12:59:35,40.4,95.0023,74.8814,14.4947,32.1057,32.0,30.93955
