Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2020-07-14-14:57:38,60,94.0179,73.7282,104.0,104.0
2020-07-14-14:57:39,60,94.0179,73.4301,104.0,104.0
2020-07-14-14:57:40,60,93.6967,73.8049,104.0,104.0
2020-07-14-14:57:41,60,93.6967,73.3388,104.0,104.0
2020-07-14-14:57:42,60,93.8419,73.3388,104.0,104.0
2020-07-14-14:57:43,60,93.8419,73.5607,104.0,104.0
2020-07-14-14:57:44,60,93.7251,73.7742,104.0,104.0
2020-07-14-14:57:45,60,93.7251,73.7742,104.0,104.0
2020-07-14-14:57:46,60,93.7251,73.5517,104.0,104.0
2020-07-14-14:57:47,60,94.1119,73.5517,104.0,104.0
2020-07-14-14:57:48,60,93.3714,73.5517,104.0,104.0
2020-07-14-14:57:49,60,93.8051,73.6659,104.0,104.0
2020-07-14-14:57:50,60,93.7015,73.6659,104.0,104.0
2020-07-14-14:57:51,60,93.7015,73.6659,104.0,104.0
2020-07-14-14:57:52,60,93.7015,73.465,104.0,104.0
2020-07-14-14:57:53,60,93.7015,73.5882,104.0,104.0
2020-07-14-14:57:54,60,94.0291,73.864,104.0,104.0
2020-07-14-14:57:55,60,93.7883,73.864,104.0,104.0
2020-07-14-14:57:56,60,93.6808,73.6193,104.0,104.0
2020-07-14-14:57:57,60,93.6808,73.6193,104.0,104.0
2020-07-14-14:57:58,60,93.6808,73.4876,104.0,104.0
2020-07-14-14:57:59,60,93.9581,73.4876,104.0,104.0
2020-07-14-14:58:00,60,93.7466,73.4876,104.0,104.0
2020-07-14-14:58:01,60,93.8912,73.4876,104.0,104.0
2020-07-14-14:58:02,60,93.8912,73.7778,104.0,104.0
2020-07-14-14:58:03,60,93.7895,73.7778,104.0,104.0
2020-07-14-14:58:04,60,93.554,73.5493,104.0,104.0
2020-07-14-14:58:05,60,93.7851,73.5493,104.0,104.0
2020-07-14-14:58:06,60,93.9274,73.6786,104.0,104.0
2020-07-14-14:58:07,60,93.9274,73.9392,104.0,104.0
2020-07-14-14:58:08,60,93.7855,73.6938,104.0,104.0
2020-07-14-14:58:09,60,93.9181,73.4912,104.0,104.0
2020-07-14-14:58:10,60,94.0369,73.7698,104.0,104.0
2020-07-14-14:58:11,60,93.9252,73.4936,104.0,104.0
2020-07-14-14:58:12,60,93.7725,73.8225,104.0,104.0
2020-07-14-14:58:13,60,93.9456,73.5434,104.0,104.0
2020-07-14-14:58:14,60,93.7915,73.5434,104.0,104.0
2020-07-14-14:58:15,60,93.7915,74.0686,104.0,104.0
2020-07-14-14:58:16,60,94.143,73.7999,104.0,104.0
2020-07-14-14:58:17,60,93.8606,73.5226,104.0,104.0
2020-07-14-14:58:18,60,93.8606,73.6754,104.0,104.0
2020-07-14-14:58:19,60,94.1237,73.6754,104.0,104.0
2020-07-14-14:58:20,60,93.8294,73.8001,104.0,104.0
2020-07-14-14:58:21,60,94.2418,73.4485,104.0,104.0
2020-07-14-14:58:22,60,93.8398,73.24,104.0,104.0
2020-07-14-14:58:23,60,93.9485,73.7146,104.0,104.0
2020-07-14-14:58:24,60,94.1162,73.4884,104.0,104.0
2020-07-14-14:58:25,60,94.1162,73.8327,104.0,104.0
