Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback,Effective Gradient
2020-07-28-09:53:01,20.2019,93.7939,75.912,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:02,20.2019,93.7939,75.6819,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:03,20.2019,94.1781,75.6819,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:04,20.2019,94.0303,75.6819,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:05,20.2019,94.2484,75.8606,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:06,20.2019,93.8753,75.8606,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:07,20.2019,94.0767,75.7556,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:08,20.2019,94.2753,75.7556,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:09,20.2019,93.9386,75.7556,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:10,20.2019,94.2153,75.7556,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:11,20.2019,94.0178,75.7556,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:12,20.2019,94.0178,75.7556,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:13,20.2019,94.0178,75.9312,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:14,20.2019,94.0178,75.7745,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:15,20.2019,93.915,75.7745,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:16,20.2019,93.915,75.9579,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:17,20.2019,94.1993,75.7078,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:18,20.2019,94.1993,75.7078,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:19,20.2019,93.8606,75.7078,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:20,20.2019,94.0851,75.7078,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:21,20.2019,93.8085,75.8257,118.75,8.0,8.0,7.87504806945e-05
2020-07-28-09:53:22,20.2019,93.9919,75.8257,118.75,8.0,8.0,7.87504806945e-05
