Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2020-01-22-15:15:00,51.9111,94.3999,74.7337,40.0,40.94542
2020-01-22-15:15:01,51.9111,94.1352,74.9936,40.0,40.94542
2020-01-22-15:15:02,51.9111,94.1352,74.9936,40.0,40.94542
2020-01-22-15:15:03,51.9111,94.1352,75.3452,40.0,40.94542
2020-01-22-15:15:04,51.9111,94.1352,74.9726,40.0,40.94542
2020-01-22-15:15:05,51.9111,93.8401,74.9726,40.0,40.94542
2020-01-22-15:15:06,51.9111,93.8401,74.9726,40.0,40.94542
2020-01-22-15:15:07,51.9111,94.0986,74.9726,40.0,40.94542
2020-01-22-15:15:08,51.9111,94.3189,75.2315,40.0,40.94542
2020-01-22-15:15:09,51.9111,93.9268,75.2315,40.0,40.94542
2020-01-22-15:15:10,51.9111,94.2693,75.2315,40.0,40.94542
2020-01-22-15:15:11,51.9111,94.1291,75.2315,40.0,40.94542
2020-01-22-15:15:12,51.9111,94.1291,75.2315,40.0,40.94542
2020-01-22-15:15:13,51.9111,94.2723,75.4039,40.0,40.94542
2020-01-22-15:15:14,51.9111,94.2723,75.1246,40.0,40.94542
2020-01-22-15:15:15,51.9111,94.4362,75.2408,40.0,40.94542
2020-01-22-15:15:16,51.9111,93.844,75.2408,40.0,40.94542
2020-01-22-15:15:17,51.9111,93.844,75.0532,40.0,40.94542
2020-01-22-15:15:18,51.9111,94.1737,75.3562,40.0,40.94542
2020-01-22-15:15:19,51.9111,94.1737,75.2308,40.0,40.94542
2020-01-22-15:15:20,49.9111,94.1737,75.2308,40.0,40.94542
2020-01-22-15:15:21,49.9111,94.0586,75.041,40.0,40.94542
2020-01-22-15:15:22,49.9111,93.6465,75.1836,40.0,40.94542
2020-01-22-15:15:23,49.9111,94.0729,75.1836,40.0,40.94542
2020-01-22-15:15:24,49.9111,94.3008,75.1836,40.0,40.94542
2020-01-22-15:15:25,49.9111,94.3008,75.1836,40.0,40.94542
2020-01-22-15:15:26,49.9111,94.3008,75.1836,40.0,40.94542
2020-01-22-15:15:27,49.9111,94.3008,74.9934,40.0,40.94542
2020-01-22-15:15:28,49.9111,94.3008,75.1867,40.0,40.94542
2020-01-22-15:15:29,49.9111,94.1299,75.3484,40.0,40.94542
2020-01-22-15:15:30,49.9111,94.2668,75.3484,40.0,40.94542
2020-01-22-15:15:31,49.9111,94.0251,75.3484,40.0,40.94542
2020-01-22-15:15:32,49.9111,94.2227,75.3484,40.0,40.94542
2020-01-22-15:15:33,49.9111,94.2227,75.3484,40.0,40.94542
2020-01-22-15:15:34,49.9111,94.0706,75.1146,40.0,40.94542
2020-01-22-15:15:35,49.9111,94.3289,75.4528,40.0,40.94542
2020-01-22-15:15:36,49.9111,94.3289,75.4528,40.0,40.94542
2020-01-22-15:15:37,49.9111,93.9962,75.4528,40.0,40.94542
2020-01-22-15:15:38,49.9111,94.2379,75.2989,40.0,40.94542
2020-01-22-15:15:39,49.9111,94.0403,75.2989,40.0,40.94542
2020-01-22-15:15:40,51.9111,94.0403,75.4583,40.0,40.94542
2020-01-22-15:15:41,51.9111,94.0403,75.4583,40.0,40.94542
2020-01-22-15:15:42,51.9111,94.3274,75.5595,40.0,40.94542
2020-01-22-15:15:43,51.9111,93.9996,75.336,40.0,40.94542
2020-01-22-15:15:44,51.9111,93.9996,75.336,40.0,40.94542
2020-01-22-15:15:45,51.9111,94.5293,75.4925,40.0,40.94542
2020-01-22-15:15:46,51.9111,94.1678,75.4925,40.0,40.94542
2020-01-22-15:15:47,51.9111,94.3758,75.4925,40.0,40.94542
2020-01-22-15:15:48,51.9111,94.3758,75.3259,40.0,40.94542
2020-01-22-15:15:49,51.9111,94.2642,75.7559,40.0,40.94542
2020-01-22-15:15:50,51.9111,94.1044,75.3275,40.0,40.94542
2020-01-22-15:15:51,51.9111,94.2212,75.3275,40.0,40.94542
2020-01-22-15:15:52,51.9111,94.5801,75.1617,40.0,40.94542
2020-01-22-15:15:53,51.9111,94.5801,75.1617,40.0,40.94542
