Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2020-07-15-08:09:38,44.8857,94.0639,75.0736,72.0,72.0
2020-07-15-08:09:39,44.8857,93.8823,75.3042,72.0,72.0
2020-07-15-08:09:40,44.8857,94.1377,75.3042,72.0,72.0
2020-07-15-08:09:41,44.3087,93.9536,75.4802,72.0,72.0
2020-07-15-08:09:42,44.3087,93.9536,75.4802,72.0,72.0
2020-07-15-08:09:43,44.3087,93.9536,75.3252,72.0,72.0
2020-07-15-08:09:44,44.3087,93.9536,75.3252,72.0,72.0
2020-07-15-08:09:45,44.3087,94.2605,75.3252,72.0,72.0
2020-07-15-08:09:46,44.3087,94.1419,75.1844,72.0,72.0
2020-07-15-08:09:47,44.3087,93.84,75.1844,72.0,72.0
2020-07-15-08:09:48,44.3087,93.84,75.3078,72.0,72.0
2020-07-15-08:09:49,44.3087,93.84,75.3078,72.0,72.0
2020-07-15-08:09:50,44.3087,94.3239,75.4447,72.0,72.0
2020-07-15-08:09:51,44.3087,93.9741,75.4447,72.0,72.0
2020-07-15-08:09:52,44.3087,93.9741,75.4447,72.0,72.0
2020-07-15-08:09:53,44.3087,94.0904,75.2124,72.0,72.0
2020-07-15-08:09:54,44.3087,93.9202,75.2124,72.0,72.0
2020-07-15-08:09:55,44.3087,94.1484,75.42,72.0,72.0
2020-07-15-08:09:56,44.3087,93.8033,75.42,72.0,72.0
2020-07-15-08:09:57,44.3087,94.0611,75.2873,72.0,72.0
2020-07-15-08:09:58,44.3087,94.0611,75.2873,72.0,72.0
2020-07-15-08:09:59,44.3087,94.0611,75.2873,72.0,72.0
2020-07-15-08:10:00,44.3087,94.2563,75.2873,72.0,72.0
2020-07-15-08:10:01,43.1496,93.7986,75.2873,72.0,72.0
2020-07-15-08:10:02,43.1496,93.9048,75.2873,72.0,72.0
2020-07-15-08:10:03,43.1496,93.9048,75.2873,72.0,72.0
2020-07-15-08:10:04,43.1496,93.9048,75.2873,72.0,72.0
2020-07-15-08:10:05,43.1496,94.2564,75.2873,72.0,72.0
2020-07-15-08:10:06,43.1496,94.032,75.2873,72.0,72.0
2020-07-15-08:10:07,43.1496,94.032,75.2873,72.0,72.0
2020-07-15-08:10:08,43.1496,93.7459,75.047,72.0,72.0
2020-07-15-08:10:09,43.1496,93.7459,75.33,72.0,72.0
2020-07-15-08:10:10,43.1496,93.8626,75.33,72.0,72.0
2020-07-15-08:10:11,43.1496,94.0167,75.33,72.0,72.0
2020-07-15-08:10:12,43.1496,94.0167,75.33,72.0,72.0
2020-07-15-08:10:13,43.1496,93.7566,75.33,72.0,72.0
2020-07-15-08:10:14,43.1496,93.7566,75.33,72.0,72.0
2020-07-15-08:10:15,43.1496,93.7566,75.33,72.0,72.0
2020-07-15-08:10:16,43.1496,93.7566,75.33,72.0,72.0
2020-07-15-08:10:17,43.1496,93.8706,75.33,72.0,72.0
2020-07-15-08:10:18,43.1496,93.7669,75.0971,72.0,72.0
2020-07-15-08:10:19,43.1496,93.7669,75.2619,72.0,72.0
2020-07-15-08:10:20,43.1496,93.7669,75.2619,72.0,72.0
2020-07-15-08:10:21,45.1496,93.9874,75.2619,72.0,72.0
2020-07-15-08:10:22,45.1496,93.7915,75.2619,72.0,72.0
2020-07-15-08:10:23,45.1496,93.7915,75.0926,72.0,72.0
2020-07-15-08:10:24,45.1496,93.7915,75.3189,72.0,72.0
2020-07-15-08:10:25,45.1496,93.9115,75.3189,72.0,72.0
2020-07-15-08:10:26,45.1496,93.7724,75.3189,72.0,72.0
2020-07-15-08:10:27,45.1496,94.1156,75.1598,72.0,72.0
2020-07-15-08:10:28,45.1496,94.0114,75.0473,72.0,72.0
2020-07-15-08:10:29,45.1496,93.867,75.3473,72.0,72.0
2020-07-15-08:10:30,45.1496,94.0091,75.1962,72.0,72.0
2020-07-15-08:10:31,45.1496,94.0091,74.9438,72.0,72.0
2020-07-15-08:10:32,45.1496,94.0091,75.189,72.0,72.0
2020-07-15-08:10:33,45.1496,94.0091,75.189,72.0,72.0
2020-07-15-08:10:34,45.1496,94.0091,75.189,72.0,72.0
2020-07-15-08:10:35,45.1496,93.8913,74.9879,72.0,72.0
2020-07-15-08:10:36,45.1496,94.0461,74.9879,72.0,72.0
2020-07-15-08:10:37,45.1496,94.0461,75.1022,72.0,72.0
2020-07-15-08:10:38,45.1496,93.8232,75.1022,72.0,72.0
2020-07-15-08:10:39,45.1496,93.9613,75.256,72.0,72.0
2020-07-15-08:10:40,45.1496,93.8029,75.256,72.0,72.0
2020-07-15-08:10:41,47.1496,94.0539,75.082,72.0,72.0
2020-07-15-08:10:42,47.1496,93.9007,75.082,72.0,72.0
2020-07-15-08:10:43,47.1496,93.7864,74.9741,72.0,72.0
2020-07-15-08:10:44,47.1496,93.922,75.415,72.0,72.0
2020-07-15-08:10:45,47.1496,93.922,75.2553,72.0,72.0
2020-07-15-08:10:46,47.1496,93.8077,75.2553,72.0,72.0
2020-07-15-08:10:47,47.1496,93.8077,75.2553,72.0,72.0
2020-07-15-08:10:48,47.1496,93.8077,75.2553,72.0,72.0
2020-07-15-08:10:49,47.1496,93.9885,75.2553,72.0,72.0
2020-07-15-08:10:50,47.1496,93.8026,75.2553,72.0,72.0
2020-07-15-08:10:51,47.1496,93.8026,74.9604,72.0,72.0
2020-07-15-08:10:52,47.1496,93.8026,75.1165,72.0,72.0
2020-07-15-08:10:53,47.1496,93.8026,75.1165,72.0,72.0
2020-07-15-08:10:54,47.1496,93.9374,75.1165,72.0,72.0
2020-07-15-08:10:55,47.1496,93.9374,75.0119,72.0,72.0
2020-07-15-08:10:56,47.1496,94.2206,75.351,72.0,72.0
2020-07-15-08:10:57,47.1496,93.9805,74.9583,72.0,72.0
2020-07-15-08:10:58,47.1496,93.9805,74.9583,72.0,72.0
2020-07-15-08:10:59,47.1496,93.8531,74.9583,72.0,72.0
2020-07-15-08:11:00,47.1496,93.9695,74.9583,72.0,72.0
2020-07-15-08:11:01,46.0761,93.9695,75.2542,72.0,72.0
2020-07-15-08:11:02,46.0761,94.2052,75.0973,72.0,72.0
2020-07-15-08:11:03,46.0761,94.0702,74.9762,72.0,72.0
2020-07-15-08:11:04,46.0761,94.0702,74.9762,72.0,72.0
2020-07-15-08:11:05,46.0761,94.0702,74.9762,72.0,72.0
2020-07-15-08:11:06,46.0761,94.0702,75.2464,72.0,72.0
2020-07-15-08:11:07,46.0761,94.0702,74.9518,72.0,72.0
2020-07-15-08:11:08,46.0761,94.0702,74.9518,72.0,72.0
2020-07-15-08:11:09,46.0761,94.0702,74.9518,72.0,72.0
2020-07-15-08:11:10,46.0761,93.7691,74.9518,72.0,72.0
2020-07-15-08:11:11,46.0761,93.8723,75.102,72.0,72.0
2020-07-15-08:11:12,46.0761,93.5948,75.2902,72.0,72.0
2020-07-15-08:11:13,46.0761,93.5948,75.2902,72.0,72.0
2020-07-15-08:11:14,46.0761,93.9605,75.2902,72.0,72.0
2020-07-15-08:11:15,46.0761,93.9605,75.2902,72.0,72.0
2020-07-15-08:11:16,46.0761,93.9605,75.2902,72.0,72.0
2020-07-15-08:11:17,46.0761,93.9605,75.0049,72.0,72.0
2020-07-15-08:11:18,46.0761,93.9605,75.3061,72.0,72.0
2020-07-15-08:11:19,46.0761,93.8125,75.5689,72.0,72.0
2020-07-15-08:11:20,46.0761,93.8125,75.0476,72.0,72.0
2020-07-15-08:11:21,47.1968,93.6743,75.3824,72.0,72.0
