Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0220:GACT,CPT:CM02:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-03-28-15:45:00,26,94.5906,72.6817,16.0001,28.472,16.0,15.7324
2019-03-28-15:45:05,26,94.479,72.5856,15.9892,28.472,16.0,15.7324
2019-03-28-15:45:10,26,94.5136,72.479,15.9792,28.472,16.0,15.7324
2019-03-28-15:45:15,26,94.5519,72.5856,15.9792,28.472,16.0,15.7324
2019-03-28-15:45:20,26,94.628,72.6245,15.9685,28.472,16.0,15.7324
2019-03-28-15:45:25,26,94.4949,72.6979,15.9569,28.472,16.0,15.7324
2019-03-28-15:45:30,26,94.4899,72.6979,15.9569,28.472,16.0,15.7324
2019-03-28-15:45:35,26,94.4983,72.5935,15.9569,28.472,16.0,15.7324
2019-03-28-15:45:40,26,94.4719,72.4738,15.9569,28.472,16.0,15.7324
2019-03-28-15:45:45,26,94.4751,72.4988,15.9464,28.472,16.0,15.7324
2019-03-28-15:45:50,26,94.5197,72.664,15.9464,28.472,16.0,15.7324
2019-03-28-15:45:55,26,94.4828,72.5101,15.9355,28.472,16.0,15.7324
2019-03-28-15:46:00,26,94.6285,72.5642,15.9355,28.472,16.0,15.7324
2019-03-28-15:46:05,26,94.501,72.7416,15.9355,28.472,16.0,15.7324
2019-03-28-15:46:10,26,94.501,72.5932,15.9355,28.472,16.0,15.7324
2019-03-28-15:46:15,26,94.4941,72.4843,15.9254,28.472,16.0,15.7324
2019-03-28-15:46:20,26,94.487,72.6429,15.9254,28.472,16.0,15.7324
2019-03-28-15:46:25,26,94.841,72.6266,15.9235,28.472,16.0,15.7324
2019-03-28-15:46:30,26,94.5038,72.7644,15.913,28.472,16.0,15.7324
2019-03-28-15:46:35,26,94.5038,72.5379,15.913,28.472,16.0,15.7324
2019-03-28-15:46:40,26,94.8754,72.8933,15.913,28.472,16.0,15.7324
2019-03-28-15:46:45,26,94.9457,72.4948,15.913,28.472,16.0,15.7324
2019-03-28-15:46:50,26,94.7155,72.4948,15.8987,28.472,16.0,15.7324
2019-03-28-15:46:55,26,94.4907,72.4948,15.9096,28.472,16.0,15.7324
2019-03-28-15:47:00,26,94.5054,72.6303,15.8979,28.472,16.0,15.7324
2019-03-28-15:47:05,26,94.6134,72.5847,15.8979,28.472,16.0,15.7324
2019-03-28-15:47:10,26,94.6331,72.5847,15.8979,28.472,16.0,15.7324
2019-03-28-15:47:15,26,94.8434,72.7234,15.8979,28.472,16.0,15.7324
2019-03-28-15:47:20,26,94.6018,72.7524,15.8979,28.472,16.0,15.7324
2019-03-28-15:47:25,26,94.4451,72.6511,15.8979,28.472,16.0,15.7324
2019-03-28-15:47:30,26,94.5552,72.5241,15.8979,28.472,16.0,15.7324
2019-03-28-15:47:35,26,94.5552,72.5241,15.8877,28.472,16.0,15.7324
2019-03-28-15:47:40,26,94.5552,72.6368,15.8877,28.472,16.0,15.7324
2019-03-28-15:47:45,26,94.3255,72.5034,15.8877,28.472,16.0,15.7324
2019-03-28-15:47:50,26,94.5873,72.5034,15.8874,28.472,16.0,15.7324
2019-03-28-15:47:55,26,94.4693,72.47,15.8892,28.472,16.0,15.7324
2019-03-28-15:48:00,26,94.36,72.4769,15.8892,28.472,16.0,15.7324
2019-03-28-15:48:05,26,94.4711,72.5967,15.8892,28.472,16.0,15.7324
2019-03-28-15:48:10,26,94.4892,72.5737,15.8758,28.472,16.0,15.7324
2019-03-28-15:48:15,26,94.3564,72.4747,15.8863,28.472,16.0,15.7324
2019-03-28-15:48:20,26,94.5503,72.4522,15.8863,28.472,16.0,15.7324
2019-03-28-15:48:25,26,94.5204,72.4507,15.875,28.5735,16.0,15.7324
2019-03-28-15:48:30,26,94.3858,72.4767,15.875,28.5735,16.0,15.7324
2019-03-28-15:48:35,26,94.1337,72.5048,15.875,28.5735,16.0,15.7324
2019-03-28-15:48:40,26,94.4576,72.5637,15.875,28.5735,16.0,15.7324
2019-03-28-15:48:45,26,94.4875,72.4576,15.875,28.5735,16.0,15.7324
2019-03-28-15:48:50,26,94.4883,72.4596,15.8641,28.5735,16.0,15.7324
2019-03-28-15:48:55,26,94.6246,72.5586,15.8741,28.5735,16.0,15.7324
2019-03-28-15:49:00,26,94.696,72.4544,15.8603,28.5735,16.0,15.7324
2019-03-28-15:49:05,26,94.4509,72.4759,15.8603,28.5735,16.0,15.7324
2019-03-28-15:49:10,26,94.8324,72.4759,15.8603,28.5735,16.0,15.7324
2019-03-28-15:49:15,26,94.4773,72.5885,15.8603,28.5735,16.0,15.7324
2019-03-28-15:49:20,26,94.2438,72.4009,15.8603,28.5735,16.0,15.7324
2019-03-28-15:49:25,26,94.4195,72.6015,15.8603,28.5735,16.0,15.7324
2019-03-28-15:49:30,26,94.5287,72.6309,15.8503,28.5735,16.0,15.7324
2019-03-28-15:49:35,26,94.588,72.5989,15.8503,28.5735,16.0,15.7324
2019-03-28-15:49:40,26,94.1739,72.464,15.8503,28.5735,16.0,15.7324
2019-03-28-15:49:45,26,94.2545,72.464,15.8503,28.5735,16.0,15.7324
2019-03-28-15:49:50,26,94.4483,72.6273,15.8503,28.5735,16.0,15.7324
2019-03-28-15:49:55,26,94.1317,72.5535,15.8503,28.5735,16.0,15.7324
2019-03-28-15:50:00,26,94.1825,72.2977,15.8503,28.5735,16.0,15.7324
2019-03-28-15:50:05,26,94.2662,72.4731,15.8503,28.5735,16.0,15.7324
2019-03-28-15:50:10,26,94.3652,72.4769,15.8523,28.5735,16.0,15.7324
2019-03-28-15:50:15,26,94.0258,72.4747,15.8392,28.5735,16.0,15.7324
2019-03-28-15:50:20,26,94.1135,72.4021,15.8513,28.5735,16.0,15.7324
2019-03-28-15:50:25,26,94.4867,72.3445,15.8377,28.5735,16.0,15.7324
2019-03-28-15:50:30,26,94.085,72.3064,15.8377,28.5735,16.0,15.7324
2019-03-28-15:50:35,26,94.0023,72.2645,15.8377,28.5735,16.0,15.7324
2019-03-28-15:50:40,26,94.4168,72.4452,15.8377,28.5735,16.0,15.7324
2019-03-28-15:50:45,26,94.1351,72.2563,15.8377,28.5735,16.0,15.7324
