Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0280:GACT,CPT:CM02:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-04-01-16:37:00,27.5,95.1773,73.0441,6.89688,28.4115,16.0,16.42909
2019-04-01-16:37:05,27.5,95.0895,73.0051,16.2151,28.4115,16.0,16.42909
2019-04-01-16:37:10,27.5,95.0662,73.2132,16.053,28.4115,16.0,16.42909
2019-04-01-16:37:15,27.5,95.2636,73.2261,15.7475,28.4115,16.0,16.42909
2019-04-01-16:37:20,27.5,95.0341,73.0771,15.7923,28.4115,16.0,16.42909
2019-04-01-16:37:25,27.5,95.0341,73.1967,15.8666,28.4115,16.0,16.42909
2019-04-01-16:37:30,27.5,95.33,73.208,15.8321,28.4115,16.0,16.42909
2019-04-01-16:37:35,27.5,95.3377,73.3433,15.9186,28.4115,16.0,16.42909
2019-04-01-16:37:40,27.5,94.9856,73.1263,16.0091,28.4115,16.0,16.42909
2019-04-01-16:37:45,27.5,94.9856,73.1961,15.9882,28.4115,16.0,16.42909
2019-04-01-16:37:50,27.5,94.9856,73.2719,16.0869,28.4115,16.0,16.42909
2019-04-01-16:37:55,27.5,94.959,73.4561,16.0189,28.4115,16.0,16.42909
2019-04-01-16:38:00,27.5,95.175,73.0585,16.0082,28.4115,16.0,16.42909
2019-04-01-16:38:05,27.5,94.9856,73.3324,15.9479,28.4115,16.0,16.42909
2019-04-01-16:38:10,27.5,95.1487,73.3964,15.9701,28.4115,16.0,16.42909
2019-04-01-16:38:15,27.5,94.9967,73.121,15.9701,28.515,16.0,16.42909
2019-04-01-16:38:20,27.5,94.9967,73.2566,15.9804,28.515,16.0,16.42909
2019-04-01-16:38:25,27.5,94.9967,73.2566,16.0113,28.515,16.0,16.42909
2019-04-01-16:38:30,27.5,94.9373,73.2355,15.9825,28.515,16.0,16.42909
2019-04-01-16:38:35,27.5,94.9426,72.9876,15.9825,28.515,16.0,16.42909
2019-04-01-16:38:40,27.5,94.9426,73.2053,15.9825,28.515,16.0,16.42909
2019-04-01-16:38:45,27.5,94.9411,73.3536,15.9825,28.515,16.0,16.42909
2019-04-01-16:38:50,27.5,94.9351,72.9251,15.9825,28.515,16.0,16.42909
2019-04-01-16:38:55,27.5,94.933,72.9439,15.9825,28.515,16.0,16.42909
2019-04-01-16:39:00,27.5,94.9351,73.1582,15.9932,28.515,16.0,16.42909
2019-04-01-16:39:05,27.5,95.2014,73.1808,15.9932,28.515,16.0,16.42909
2019-04-01-16:39:10,27.5,95.1178,73.1119,15.9932,28.515,16.0,16.42909
2019-04-01-16:39:15,27.5,95.1507,72.8659,15.9932,28.515,16.0,16.42909
2019-04-01-16:39:20,27.5,95.1177,73.0155,15.9932,28.515,16.0,16.42909
2019-04-01-16:39:25,27.5,95.0096,73.2477,15.9932,28.515,16.0,16.42909
2019-04-01-16:39:30,27.5,95.0096,73.0561,15.9932,28.515,16.0,16.42909
2019-04-01-16:39:35,27.5,95.0096,72.9456,15.9932,28.515,16.0,16.42909
2019-04-01-16:39:40,27.5,95.0096,72.8953,16.0041,28.515,16.0,16.42909
2019-04-01-16:39:45,27.5,95.0096,72.9496,16.0041,28.515,16.0,16.42909
2019-04-01-16:39:50,27.5,95.0013,72.9286,15.9917,28.515,16.0,16.42909
2019-04-01-16:39:55,27.5,95.0013,72.9471,15.9917,28.515,16.0,16.42909
2019-04-01-16:40:00,27.5,95.0013,72.994,15.9917,28.515,16.0,16.42909
2019-04-01-16:40:05,27.5,95.0738,73.0357,15.9917,28.515,16.0,16.42909
2019-04-01-16:40:10,27.5,94.9128,72.863,15.9917,28.515,16.0,16.42909
2019-04-01-16:40:15,27.5,95.1361,72.9048,16.006,28.515,16.0,16.42909
2019-04-01-16:40:20,27.5,94.9541,73.0699,15.9954,28.515,16.0,16.42909
2019-04-01-16:40:25,27.5,94.9679,72.9643,15.9954,28.515,16.0,16.42909
2019-04-01-16:40:30,27.5,94.969,72.9643,15.9954,28.515,16.0,16.42909
2019-04-01-16:40:35,27.5,94.969,72.9643,16.006,28.515,16.0,16.42909
2019-04-01-16:40:40,27.5,94.969,73.0472,15.995,28.515,16.0,16.42909
2019-04-01-16:40:45,27.5,94.8716,72.9422,15.995,28.515,16.0,16.42909
2019-04-01-16:40:50,27.5,94.5177,72.9165,15.995,28.515,16.0,16.42909
2019-04-01-16:40:55,27.5,94.9477,73.0239,16.0079,28.515,16.0,16.42909
2019-04-01-16:41:00,27.5,94.7995,72.8841,16.0079,28.515,16.0,16.42909
2019-04-01-16:41:05,27.5,94.5689,72.8601,15.9919,28.515,16.0,16.42909
2019-04-01-16:41:10,27.5,94.6761,72.8663,15.9919,28.515,16.0,16.42909
2019-04-01-16:41:15,27.5,94.8418,72.8928,16.0028,28.515,16.0,16.42909
2019-04-01-16:41:20,27.5,94.8402,72.8715,16.0028,28.515,16.0,16.42909
2019-04-01-16:41:25,27.5,94.795,72.8641,15.9916,28.515,16.0,16.42909
2019-04-01-16:41:30,27.5,94.9127,72.9797,15.9916,28.515,16.0,16.42909
2019-04-01-16:41:35,27.5,95.0816,72.9586,16.0018,28.515,16.0,16.42909
2019-04-01-16:41:40,27.5,94.9545,72.8395,16.0018,28.515,16.0,16.42909
2019-04-01-16:41:45,27.5,94.6627,72.9548,16.0018,28.515,16.0,16.42909
2019-04-01-16:41:50,27.5,94.6187,72.9433,16.0018,28.515,16.0,16.42909
2019-04-01-16:41:55,27.5,94.5282,72.8386,15.9995,28.515,16.0,16.42909
2019-04-01-16:42:00,27.5,94.8692,72.8463,16.0125,28.515,16.0,16.42909
2019-04-01-16:42:05,27.5,94.8287,72.8463,16.0125,28.515,16.0,16.42909
2019-04-01-16:42:10,27.5,94.9651,73.0195,16.0007,28.515,16.0,16.42909
2019-04-01-16:42:15,27.5,94.6534,72.8649,16.0007,28.515,16.0,16.42909
2019-04-01-16:42:20,27.5,94.9891,72.843,16.0125,28.515,16.0,16.42909
2019-04-01-16:42:25,27.5,94.8106,72.8363,15.9874,28.515,16.0,16.42909
2019-04-01-16:42:30,27.5,94.7184,72.8363,16.0038,28.515,16.0,16.42909
2019-04-01-16:42:35,27.5,94.7752,72.8327,16.0038,28.515,16.0,16.42909
2019-04-01-16:42:40,27.5,94.8486,72.8327,16.0038,28.515,16.0,16.42909
2019-04-01-16:42:45,27.5,94.5835,73.0348,16.0038,28.515,16.0,16.42909
2019-04-01-16:42:50,27.5,94.5869,72.8012,15.9907,28.515,16.0,16.42909
2019-04-01-16:42:55,27.5,94.5705,72.813,15.9907,28.515,16.0,16.42909
2019-04-01-16:43:00,27.5,94.5705,72.6386,16.0037,28.515,16.0,16.42909
2019-04-01-16:43:05,27.5,94.4814,72.8367,16.0037,28.515,16.0,16.42909
2019-04-01-16:43:10,27.5,94.6174,72.8367,16.0037,28.515,16.0,16.42909
2019-04-01-16:43:15,27.5,94.5214,72.8134,16.0037,28.515,16.0,16.42909
2019-04-01-16:43:20,27.5,94.5216,72.9841,15.9933,28.515,16.0,16.42909
2019-04-01-16:43:25,27.5,94.5038,73.0034,16.0051,28.515,16.0,16.42909
2019-04-01-16:43:30,27.5,94.834,72.8418,16.005,28.515,16.0,16.42909
2019-04-01-16:43:35,27.5,94.5267,72.7538,16.005,28.515,16.0,16.42909
2019-04-01-16:43:40,27.5,94.4939,72.7583,16.005,28.515,16.0,16.42909
2019-04-01-16:43:45,27.5,94.505,72.8912,15.9897,28.515,16.0,16.42909
2019-04-01-16:43:50,27.5,94.5117,72.8193,15.9897,28.515,16.0,16.42909
2019-04-01-16:43:55,27.5,94.6552,72.8193,15.9897,28.515,16.0,16.42909
2019-04-01-16:44:00,27.5,94.5533,72.6387,15.9886,28.515,16.0,16.42909
2019-04-01-16:44:05,27.5,94.5471,72.8121,15.9886,28.515,16.0,16.42909
