Gradient,RF Heat Load,Pressure,Q0
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
15.9985,16.42070328910708,32.822,19638508947.394142
16.0096,16.42070328910708,32.822,19670116232.893696
16.0096,16.42070328910708,32.822,19670116232.893696
15.9973,16.42070328910708,32.822,19635094056.534607
15.9973,16.42070328910708,32.822,19635094056.534607
15.9973,16.42070328910708,32.822,19635094056.534607
15.9973,16.42070328910708,32.822,19635094056.534607
15.9973,16.42070328910708,32.822,19635094056.534607
15.9973,16.42070328910708,32.822,19635094056.534607
15.9866,16.42070328910708,32.822,19604662828.123142
16.0009,16.42070328910708,32.822,19645339965.646435
16.0009,16.42070328910708,32.822,19645339965.646435
16.0113,16.42070328910708,32.822,19674960104.745296
16.0113,16.42070328910708,32.822,19674960104.745296
16.0113,16.42070328910708,32.822,19674960104.745296
16.0113,16.42070328910708,32.822,19674960104.745296
16.0113,16.42070328910708,32.822,19674960104.745296
16.0113,16.42070328910708,32.822,19674960104.745296
16.0113,16.42070328910708,32.822,19674960104.745296
16.0113,16.42070328910708,32.822,19674960104.745296
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9883,16.42070328910708,32.822,19609495508.14829
15.9883,16.42070328910708,32.822,19609495508.14829
16.0008,16.42070328910708,32.822,19645055306.9654
16.0008,16.42070328910708,32.822,19645055306.9654
16.0008,16.42070328910708,32.822,19645055306.9654
16.0008,16.42070328910708,32.822,19645055306.9654
16.0008,16.42070328910708,32.822,19645055306.9654
16.0008,16.42070328910708,32.822,19645055306.9654
16.0008,16.42070328910708,32.822,19645055306.9654
15.9883,16.42070328910708,32.822,19609495508.14829
15.9883,16.42070328910708,32.822,19609495508.14829
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9986,16.42070328910708,32.822,19638793540.23636
15.9868,16.42070328910708,32.822,19605231335.82548
15.9868,16.42070328910708,32.822,19605231335.82548
15.9868,16.42070328910708,32.822,19605231335.82548
15.9868,16.42070328910708,32.822,19605231335.82548
15.9993,16.42070328910708,32.822,19640785770.27682
15.9993,16.42070328910708,32.822,19640785770.27682
15.9993,16.42070328910708,32.822,19640785770.27682
15.9993,16.42070328910708,32.822,19640785770.27682
15.9993,16.42070328910708,32.822,19640785770.27682
15.9993,16.42070328910708,32.822,19640785770.27682
15.9993,16.42070328910708,32.822,19640785770.27682
15.9993,16.42070328910708,32.822,19640785770.27682
15.9872,16.42070328910708,32.822,19606368385.540066
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
16.0027,16.42070328910708,32.822,19650464311.482536
15.9886,16.42070328910708,32.822,19610348419.817566
15.9886,16.42070328910708,32.822,19610348419.817566
15.9886,16.42070328910708,32.822,19610348419.817566
15.9886,16.42070328910708,32.822,19610348419.817566
15.9886,16.42070328910708,32.822,19610348419.817566
15.9886,16.42070328910708,32.822,19610348419.817566
15.9886,16.42070328910708,32.822,19610348419.817566
15.9886,16.42070328910708,32.822,19610348419.817566
15.9886,16.42070328910708,32.822,19610348419.817566
15.9886,16.42070328910708,32.822,19610348419.817566
15.9886,16.42070328910708,32.822,19610348419.817566
