Gradient,RF Heat Load,Pressure,Q0,,Averaged Q0
14.6918,14.853131264,33.1854,1.83E+10,,1.83E+10
14.6918,14.853131264,33.1854,1.83E+10,,
14.6918,14.853131264,33.1854,1.83E+10,,
14.6918,14.853131264,33.1854,1.83E+10,,
14.6918,14.853131264,33.1854,1.83E+10,,
14.6918,14.853131264,33.1854,1.83E+10,,
14.6918,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.693,14.853131264,33.1854,1.83E+10,,
14.693,14.853131264,33.1854,1.83E+10,,
14.693,14.853131264,33.1854,1.83E+10,,
14.693,14.853131264,33.1854,1.83E+10,,
14.693,14.853131264,33.1854,1.83E+10,,
14.693,14.853131264,33.1854,1.83E+10,,
14.693,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.704,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.7011,14.853131264,33.1854,1.83E+10,,
14.6902,14.853131264,33.1854,1.83E+10,,
14.6902,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
14.7004,14.853131264,33.1854,1.83E+10,,
