Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-04-03-17:35:00,24.4334,95.2417,74.2379,64.0,63.26724
2019-04-03-17:35:05,24.4334,95.1374,74.2622,64.0,63.26724
2019-04-03-17:35:10,24.4334,94.9052,74.36,64.0,63.26724
2019-04-03-17:35:15,24.4334,95.0667,74.374,64.0,63.26724
2019-04-03-17:35:20,24.2858,95.1731,74.2774,64.0,63.26724
2019-04-03-17:35:25,24.2858,95.1416,74.2252,64.0,63.26724
2019-04-03-17:35:30,24.2858,95.1569,74.2416,64.0,63.26724
2019-04-03-17:35:35,24.2858,95.0094,74.1998,64.0,63.26724
2019-04-03-17:35:40,24.6461,95.0745,74.4431,64.0,63.26724
2019-04-03-17:35:45,24.6461,95.1656,74.22,64.0,63.26724
2019-04-03-17:35:50,24.6461,95.0564,74.2493,64.0,63.26724
2019-04-03-17:35:55,24.6461,94.9966,74.1674,64.0,63.26724
2019-04-03-17:36:00,25.1814,95.1871,74.3906,64.0,63.26724
2019-04-03-17:36:05,25.1814,95.0281,74.3906,64.0,63.26724
2019-04-03-17:36:10,25.1814,94.9941,74.4269,64.0,63.26724
2019-04-03-17:36:15,25.1814,95.1458,74.3866,64.0,63.26724
2019-04-03-17:36:20,24.665,95.1684,74.2179,64.0,63.26724
2019-04-03-17:36:25,24.665,95.1761,74.4928,64.0,63.26724
2019-04-03-17:36:30,24.665,95.26,74.3312,64.0,63.26724
2019-04-03-17:36:35,24.665,95.2489,74.3042,64.0,63.26724
2019-04-03-17:36:40,24.5044,95.1779,74.2799,64.0,63.26724
2019-04-03-17:36:45,24.5044,95.4754,74.2083,64.0,63.26724
2019-04-03-17:36:50,24.5044,95.0011,74.472,64.0,63.26724
2019-04-03-17:36:55,24.5044,95.0185,74.1931,64.0,63.26724
2019-04-03-17:37:00,24.6191,95.1677,74.2269,64.0,63.26724
2019-04-03-17:37:05,24.6191,95.254,74.3878,64.0,63.26724
2019-04-03-17:37:10,24.6191,95.0811,74.1727,64.0,63.26724
2019-04-03-17:37:15,24.6191,95.0605,74.1938,64.0,63.26724
2019-04-03-17:37:20,22.7935,94.9965,74.217,64.0,63.26724
2019-04-03-17:37:25,22.7935,95.0913,74.2726,64.0,63.26724
2019-04-03-17:37:30,22.7935,95.1089,74.2433,64.0,63.26724
2019-04-03-17:37:35,22.7935,95.1773,74.2327,64.0,63.26724
2019-04-03-17:37:40,23.7789,95.1719,74.5321,64.0,63.26724
2019-04-03-17:37:45,23.7789,95.2576,74.2444,64.0,63.26724
2019-04-03-17:37:50,23.7789,95.076,74.2444,64.0,63.26724
2019-04-03-17:37:55,23.7789,95.2462,74.4251,64.0,63.26724
2019-04-03-17:38:00,22.6464,95.1457,74.4526,64.0,63.26724
2019-04-03-17:38:05,22.6464,95.1974,74.2374,64.0,63.26724
2019-04-03-17:38:10,22.6464,95.0817,74.5023,64.0,63.26724
2019-04-03-17:38:15,22.6464,94.9699,74.1712,64.0,63.26724
2019-04-03-17:38:20,23.6831,95.1675,74.4087,64.0,63.26724
2019-04-03-17:38:25,23.6831,94.9022,74.3694,64.0,63.26724
2019-04-03-17:38:30,23.6831,94.8919,74.361,64.0,63.26724
2019-04-03-17:38:35,23.6831,95.2414,74.3382,64.0,63.26724
