Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback,Effective Gradient
2020-07-31-11:05:10,17.9,93.143,76.8213,118.75,0.0,0.0,15.6695639104
2020-07-31-11:05:11,17.9,93.143,76.4785,118.75,0.0,0.0,15.9418129984
2020-07-31-11:05:12,17.9,92.9063,76.1393,118.75,0.0,0.0,15.9418129984
2020-07-31-11:05:13,17.9,92.9063,76.5122,118.75,0.0,0.0,15.9418129984
2020-07-31-11:05:14,17.9,92.9063,76.2215,118.75,0.0,0.0,15.9418129984
2020-07-31-11:05:15,17.9,92.6324,76.2215,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:16,17.9,92.6324,76.1101,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:17,17.9,93.2629,76.2865,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:18,17.9,92.7498,76.2865,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:19,17.9,92.7498,76.4576,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:20,17.9,93.0582,76.2806,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:21,17.9,93.1609,76.1309,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:22,17.9,92.9196,75.9328,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:23,17.9,92.9196,76.4139,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:24,17.9,92.9196,76.4139,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:25,17.9,93.1394,76.2305,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:26,17.9,92.8969,76.1145,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:27,17.9,93.3892,76.1145,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:28,17.9,92.8511,76.4748,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:29,17.9,92.7359,76.4748,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:30,17.9,92.8567,76.2263,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:31,17.9,93.0407,76.2263,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:32,17.9,93.0407,76.1215,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:33,17.9,92.9182,76.1215,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:34,17.9,92.9182,76.1215,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:35,17.9,92.9182,76.1215,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:36,17.9,92.9182,75.9092,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:37,17.9,92.9182,76.0438,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:38,17.9,92.764,76.2035,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:39,17.9,92.9749,76.0834,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:40,17.9,92.8231,76.4354,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:41,17.9,92.8231,76.2043,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:42,17.9,93.0429,76.4466,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:43,17.9,92.7786,76.2488,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:44,17.9,93.0514,76.047,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:45,17.9,92.8157,76.2402,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:46,17.9,92.9667,76.2402,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:47,17.9,92.9667,76.5068,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:48,17.9,92.8064,76.2555,118.75,0.0,0.0,16.0274517649
2020-07-31-11:05:49,17.9,92.8064,76.3966,118.75,0.0,0.0,16.1078611716
2020-07-31-11:05:50,17.9,92.8064,76.3966,118.75,0.0,0.0,16.1078611716
2020-07-31-11:05:51,17.9,92.8064,75.7355,118.75,0.0,0.0,16.1078611716
2020-07-31-11:05:52,17.9,92.979,75.9148,118.75,0.0,0.0,16.1078611716
2020-07-31-11:05:53,17.9,92.8539,76.0437,118.75,0.0,0.0,16.1078611716
2020-07-31-11:05:54,17.9,92.7068,76.3304,118.75,0.0,0.0,16.1078611716
2020-07-31-11:05:55,17.9,92.9867,76.1697,118.75,0.0,0.0,16.2060994624
2020-07-31-11:05:56,17.9,92.9867,76.3208,118.75,0.0,0.0,16.2060994624
2020-07-31-11:05:57,17.9,92.8035,76.5126,118.75,0.0,0.0,16.29010321
2020-07-31-11:05:58,17.9,92.9272,76.1333,118.75,0.0,0.0,16.29010321
2020-07-31-11:05:59,17.9,92.9272,76.2997,118.75,0.0,0.0,16.29010321
2020-07-31-11:06:00,17.9,92.6655,76.4649,118.75,0.0,0.0,16.29010321
2020-07-31-11:06:01,17.9,92.8393,76.1455,118.75,0.0,0.0,16.3769139856
2020-07-31-11:06:02,17.9,92.9449,76.1455,118.75,0.0,0.0,16.3769139856
2020-07-31-11:06:03,17.9,93.1235,76.1455,118.75,0.0,0.0,16.3769139856
2020-07-31-11:06:04,17.9,92.7296,76.1455,118.75,0.0,0.0,16.4655785284
2020-07-31-11:06:05,17.9,93.0867,76.1455,118.75,0.0,0.0,16.3799897284
2020-07-31-11:06:06,17.9,92.8712,75.9989,118.75,0.0,0.0,16.2258312969
2020-07-31-11:06:07,17.9,92.8712,76.1839,118.75,0.0,0.0,16.2258312969
2020-07-31-11:06:08,17.9,92.8712,75.7404,118.75,0.0,0.0,16.2258312969
2020-07-31-11:06:09,17.9,92.7067,76.2495,118.75,0.0,0.0,16.2258312969
2020-07-31-11:06:10,17.9,92.7067,76.2495,118.75,0.0,0.0,16.3132786609
2020-07-31-11:06:11,17.9,92.8859,75.7884,118.75,0.0,0.0,16.3132786609
2020-07-31-11:06:12,17.9,92.7181,76.1712,118.75,0.0,0.0,16.3132786609
2020-07-31-11:06:13,17.9,92.8247,76.0163,118.75,0.0,0.0,16.2193869289
2020-07-31-11:06:14,17.9,93.0087,76.3103,118.75,0.0,0.0,16.2193869289
2020-07-31-11:06:15,17.9,92.7236,76.1214,118.75,0.0,0.0,16.2193869289
