Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback,Effective Gradient
2020-07-31-08:33:02,17.9,94.8216,76.6436,118.75,0.0,0.0,24.5628280881
2020-07-31-08:33:03,17.9,95.1274,76.5001,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:04,17.9,94.8421,76.5001,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:05,17.9,95.0105,76.5001,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:06,17.9,94.8725,76.5001,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:07,17.9,95.2692,76.5001,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:08,17.9,95.2692,76.5001,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:09,17.9,95.1109,76.5001,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:10,17.9,95.3733,76.5001,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:11,17.9,94.8728,76.5001,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:12,17.9,95.0575,76.5001,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:13,17.9,95.0575,76.8005,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:14,17.9,95.164,76.5159,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:15,17.9,95.3086,76.5159,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:16,17.9,94.8678,76.5159,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:17,17.9,94.8678,76.5159,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:18,17.9,94.6925,76.5159,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:19,17.9,94.6925,76.1413,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:20,17.9,94.6925,76.491,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:21,17.9,94.8119,76.3635,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:22,17.9,94.8119,76.4746,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:23,17.9,94.6594,76.4746,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:24,17.9,94.9521,76.201,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:25,17.9,94.6377,76.5397,118.75,0.0,0.0,24.8015952144
2020-07-31-08:33:26,17.9,94.6377,76.4278,118.75,0.0,0.0,24.9514236196
2020-07-31-08:33:27,17.9,94.9623,76.4278,118.75,0.0,0.0,24.9514236196
2020-07-31-08:33:28,17.9,94.8468,76.581,118.75,0.0,0.0,24.9514236196
2020-07-31-08:33:29,17.9,94.9684,76.3744,118.75,0.0,0.0,24.9514236196
2020-07-31-08:33:30,17.9,94.9684,76.3744,118.75,0.0,0.0,24.9514236196
2020-07-31-08:33:31,17.9,94.8493,76.5213,118.75,0.0,0.0,25.0606367236
2020-07-31-08:33:32,17.9,94.9851,76.5213,118.75,0.0,0.0,25.0606367236
2020-07-31-08:33:33,17.9,94.8281,76.5213,118.75,0.0,0.0,25.0606367236
2020-07-31-08:33:34,17.9,95.101,76.143,118.75,0.0,0.0,25.0606367236
2020-07-31-08:33:35,17.9,94.9139,76.5431,118.75,0.0,0.0,25.0606367236
2020-07-31-08:33:36,17.9,94.6863,76.2608,118.75,0.0,0.0,25.0606367236
2020-07-31-08:33:37,17.9,94.901,76.2608,118.75,0.0,0.0,25.0606367236
2020-07-31-08:33:38,17.9,94.4975,76.0987,118.75,0.0,0.0,25.1611588881
2020-07-31-08:33:39,17.9,94.4975,76.0987,118.75,0.0,0.0,25.1611588881
2020-07-31-08:33:40,17.9,94.8445,76.2924,118.75,0.0,0.0,25.1611588881
2020-07-31-08:33:41,17.9,94.5383,76.0802,118.75,0.0,0.0,25.2996928144
2020-07-31-08:33:42,17.9,94.5383,76.4798,118.75,0.0,0.0,25.2996928144
2020-07-31-08:33:43,17.9,94.8396,76.0779,118.75,0.0,0.0,25.1840374569
2020-07-31-08:33:44,17.9,94.5318,76.4103,118.75,0.0,0.0,25.1840374569
2020-07-31-08:33:45,17.9,94.5318,76.1386,118.75,0.0,0.0,25.1840374569
2020-07-31-08:33:46,17.9,94.7893,76.1386,118.75,0.0,0.0,25.1840374569
2020-07-31-08:33:47,17.9,94.611,76.5207,118.75,0.0,0.0,25.3271634121
2020-07-31-08:33:48,17.9,94.611,76.3194,118.75,0.0,0.0,25.3271634121
2020-07-31-08:33:49,17.9,94.611,76.3194,118.75,0.0,0.0,25.3271634121
2020-07-31-08:33:50,17.9,94.7876,76.3194,118.75,0.0,0.0,25.1755069504
2020-07-31-08:33:51,17.9,94.6686,76.3194,118.75,0.0,0.0,25.1755069504
2020-07-31-08:33:52,17.9,94.6686,76.6337,118.75,0.0,0.0,25.1755069504
2020-07-31-08:33:53,17.9,94.6686,76.2983,118.75,0.0,0.0,25.1755069504
2020-07-31-08:33:54,17.9,94.6686,76.1082,118.75,0.0,0.0,25.1755069504
2020-07-31-08:33:55,17.9,94.549,76.1082,118.75,0.0,0.0,25.1755069504
2020-07-31-08:33:56,17.9,94.549,76.1082,118.75,0.0,0.0,25.2828958041
2020-07-31-08:33:57,17.9,94.549,76.4491,118.75,0.0,0.0,25.1772129361
2020-07-31-08:33:58,17.9,94.549,76.0901,118.75,0.0,0.0,25.1772129361
2020-07-31-08:33:59,17.9,94.549,76.4011,118.75,0.0,0.0,25.1772129361
2020-07-31-08:34:00,17.9,94.549,76.0895,118.75,0.0,0.0,25.1772129361
2020-07-31-08:34:01,17.9,94.171,76.0895,118.75,0.0,0.0,25.1772129361
2020-07-31-08:34:02,17.9,94.539,76.2798,118.75,0.0,0.0,25.1772129361
2020-07-31-08:34:03,17.9,94.539,76.0881,118.75,0.0,0.0,25.1772129361
2020-07-31-08:34:04,17.9,94.539,76.2337,118.75,0.0,0.0,25.1772129361
2020-07-31-08:34:05,17.9,94.539,76.1301,118.75,0.0,0.0,25.1772129361
2020-07-31-08:34:06,17.9,94.539,76.1301,118.75,0.0,0.0,25.1772129361
2020-07-31-08:34:07,17.9,94.539,76.1301,118.75,0.0,0.0,25.1772129361
2020-07-31-08:34:08,17.9,94.539,76.1301,118.75,0.0,0.0,25.2935567329
2020-07-31-08:34:09,17.9,94.539,76.347,118.75,0.0,0.0,25.3943429184
2020-07-31-08:34:10,17.9,94.6907,76.2058,118.75,0.0,0.0,25.3943429184
2020-07-31-08:34:11,17.9,94.6907,76.2058,118.75,0.0,0.0,25.3943429184
2020-07-31-08:34:12,17.9,94.6907,76.2058,118.75,0.0,0.0,25.3943429184
2020-07-31-08:34:13,17.9,94.4866,76.2058,118.75,0.0,0.0,25.3943429184
2020-07-31-08:34:14,17.9,94.4866,76.0727,118.75,0.0,0.0,25.3943429184
2020-07-31-08:34:15,17.9,94.4866,76.0727,118.75,0.0,0.0,25.3943429184
2020-07-31-08:34:16,17.9,94.6336,76.0727,118.75,0.0,0.0,25.3943429184
2020-07-31-08:34:17,17.9,94.4977,76.2604,118.75,0.0,0.0,25.5179553409
2020-07-31-08:34:18,17.9,94.4977,76.2604,118.75,0.0,0.0,25.5179553409
2020-07-31-08:34:19,17.9,94.3457,75.7615,118.75,0.0,0.0,25.5179553409
2020-07-31-08:34:20,17.9,94.3457,76.052,118.75,0.0,0.0,25.5179553409
2020-07-31-08:34:21,17.9,94.3457,75.9418,118.75,0.0,0.0,25.5179553409
2020-07-31-08:34:22,17.9,94.4616,76.1487,118.75,0.0,0.0,25.5179553409
2020-07-31-08:34:23,17.9,94.3206,75.7293,118.75,0.0,0.0,25.5179553409
2020-07-31-08:34:24,17.9,94.4563,75.9368,118.75,0.0,0.0,25.5179553409
2020-07-31-08:34:25,17.9,94.4563,76.1874,118.75,0.0,0.0,25.5179553409
2020-07-31-08:34:26,17.9,94.3313,75.8819,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:27,17.9,94.3313,76.2056,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:28,17.9,94.5116,76.078,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:29,17.9,94.5116,76.078,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:30,17.9,94.5116,76.078,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:31,17.9,94.6116,76.078,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:32,17.9,94.6116,75.7699,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:33,17.9,94.6116,76.0661,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:34,17.9,94.3912,76.0661,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:35,17.9,94.3912,76.0661,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:36,17.9,94.3912,76.0661,118.75,0.0,0.0,25.2843037225
2020-07-31-08:34:37,17.9,94.188,76.0661,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:38,17.9,94.4944,76.0661,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:39,17.9,94.1748,75.9507,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:40,17.9,94.1748,75.7059,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:41,17.9,94.4406,75.7059,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:42,17.9,94.1606,75.7059,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:43,17.9,94.1606,75.7059,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:44,17.9,94.1606,75.9612,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:45,17.9,94.1606,75.7911,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:46,17.9,94.3444,75.7911,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:47,17.9,94.1242,75.7911,118.75,0.0,0.0,25.1808258025
2020-07-31-08:34:48,17.9,94.3594,75.7911,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:49,17.9,94.1451,75.7911,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:50,17.9,94.1451,75.7911,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:51,17.9,94.1451,75.9634,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:52,17.9,94.1451,75.7559,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:53,17.9,94.384,75.7559,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:54,17.9,94.2345,75.7559,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:55,17.9,94.2345,75.9315,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:56,17.9,94.2345,75.9315,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:57,17.9,94.1202,75.7106,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:58,17.9,94.1202,75.7106,118.75,0.0,0.0,25.0315099225
2020-07-31-08:34:59,17.9,94.3424,75.7106,118.75,0.0,0.0,25.0315099225
2020-07-31-08:35:00,17.9,94.1353,75.7106,118.75,0.0,0.0,25.0315099225
2020-07-31-08:35:01,17.9,94.1353,75.7106,118.75,0.0,0.0,25.0315099225
2020-07-31-08:35:02,17.9,93.8671,75.7106,118.75,0.0,0.0,25.0315099225
2020-07-31-08:35:03,17.9,94.1623,76.0544,118.75,0.0,0.0,25.0315099225
2020-07-31-08:35:04,17.9,94.1623,75.7116,118.75,0.0,0.0,25.0315099225
2020-07-31-08:35:05,17.9,94.1623,75.7116,118.75,0.0,0.0,25.0315099225
