Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback,Effective Gradient
2020-07-15-17:42:57,28.7,94.6115,76.4677,27.776,8.0,8.0,1836.30503945
2020-07-15-17:42:58,28.7,94.6115,76.4677,27.724,8.0,8.0,1836.73684217
2020-07-15-17:42:59,28.7,94.4773,76.4677,27.724,8.0,8.0,1836.68604029
2020-07-15-17:43:00,28.7,94.7686,76.6957,27.724,8.0,8.0,1836.68503326
2020-07-15-17:43:01,28.7,94.5116,76.5121,27.724,8.0,8.0,1836.47005414
2020-07-15-17:43:02,28.7,94.6644,76.372,27.724,8.0,8.0,1835.99722681
2020-07-15-17:43:03,28.7,94.4855,76.4874,27.724,8.0,8.0,1836.48383909
2020-07-15-17:43:04,28.7,94.4855,76.4874,27.724,8.0,8.0,1836.17522853
2020-07-15-17:43:05,28.7,94.6423,76.4874,27.724,8.0,8.0,1835.12805861
2020-07-15-17:43:06,28.7,94.6423,76.6392,27.724,8.0,8.0,1836.50094403
2020-07-15-17:43:07,28.7,94.6423,76.6392,27.724,8.0,8.0,1836.40328184
2020-07-15-17:43:08,28.7,94.6423,76.4539,27.724,8.0,8.0,1835.95191496
2020-07-15-17:43:09,28.7,94.8446,76.3354,27.724,8.0,8.0,1836.87108525
2020-07-15-17:43:10,28.7,94.487,76.4401,27.6718,8.0,8.0,1835.94607663
2020-07-15-17:43:11,28.7,94.6361,76.4401,27.6718,8.0,8.0,1836.71552987
2020-07-15-17:43:12,28.7,94.6361,76.4401,27.6718,8.0,8.0,1837.84379909
2020-07-15-17:43:13,28.7,94.4894,76.4401,27.6718,8.0,8.0,1838.00733347
2020-07-15-17:43:14,28.7,94.6301,76.6122,27.6718,8.0,8.0,1837.64902166
2020-07-15-17:43:15,28.7,94.4809,76.6122,27.6718,8.0,8.0,1837.82930647
2020-07-15-17:43:16,28.7,94.4809,76.6122,27.6718,8.0,8.0,1838.53229867
2020-07-15-17:43:17,28.7,94.8039,76.4359,27.6718,8.0,8.0,1838.76144608
2020-07-15-17:43:18,28.7,94.4995,76.4359,27.6718,8.0,8.0,1838.79133537
2020-07-15-17:43:19,28.7,94.4995,76.4359,27.6718,8.0,8.0,1839.13230204
2020-07-15-17:43:20,28.7,94.4995,76.4359,27.6718,8.0,8.0,1839.15810198
2020-07-15-17:43:21,28.7,94.4995,76.4359,27.6718,8.0,8.0,1839.28215967
2020-07-15-17:43:22,28.7,94.4995,76.4359,27.6718,8.0,8.0,1839.48987315
2020-07-15-17:43:23,28.7,94.4995,76.4359,27.6718,8.0,8.0,1839.48987315
2020-07-15-17:43:24,28.7,94.4995,76.4359,27.6718,8.0,8.0,1839.37254899
2020-07-15-17:43:25,28.7,94.4995,76.4359,27.6718,8.0,8.0,1840.17710359
2020-07-15-17:43:26,28.7,94.4995,76.1983,27.6209,8.0,8.0,1840.14530851
2020-07-15-17:43:27,28.7,94.3754,76.4065,27.6209,8.0,8.0,1839.91132439
2020-07-15-17:43:28,28.7,94.3754,76.1608,27.6209,8.0,8.0,1840.2935996
2020-07-15-17:43:29,28.7,94.5201,76.4279,27.6209,8.0,8.0,1840.12415665
2020-07-15-17:43:30,28.7,94.5201,76.5355,27.6209,8.0,8.0,1839.50005952
2020-07-15-17:43:31,28.7,94.5201,76.2498,27.6209,8.0,8.0,1840.02047476
2020-07-15-17:43:32,28.7,94.5201,76.2498,27.6209,8.0,8.0,1841.11854478
2020-07-15-17:43:33,28.7,94.5201,76.4373,27.6209,8.0,8.0,1840.77492766
2020-07-15-17:43:34,28.7,94.5201,76.0667,27.6209,8.0,8.0,1840.14462094
2020-07-15-17:43:35,28.7,94.3903,76.4438,27.6209,8.0,8.0,1840.4548961
2020-07-15-17:43:36,28.7,94.3903,76.2085,27.6209,8.0,8.0,1841.4611417
2020-07-15-17:43:37,28.7,94.3903,76.0946,27.6209,8.0,8.0,1841.30728729
2020-07-15-17:43:38,28.7,94.4976,76.4887,27.6209,8.0,8.0,1841.66720252
2020-07-15-17:43:39,28.7,94.675,76.109,27.6209,8.0,8.0,1842.31096715
2020-07-15-17:43:40,28.7,94.4615,76.2449,27.6209,8.0,8.0,1841.8829912
2020-07-15-17:43:41,28.7,94.4615,76.2449,27.6209,8.0,8.0,1842.2586858
2020-07-15-17:43:42,28.7,94.4615,76.2449,27.6209,8.0,8.0,1842.10342655
2020-07-15-17:43:43,28.7,94.4615,76.2449,27.6209,8.0,8.0,1842.193908
2020-07-15-17:43:44,28.7,94.4615,76.074,27.6209,8.0,8.0,1842.00172132
2020-07-15-17:43:45,28.7,94.4615,76.3832,27.6209,8.0,8.0,1842.24049477
