Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0240:GACT,CHTR:CM02:1455:HV:POWER,CPT:CM02:2302:DS:PRESS
2019-03-27-16:26:01,25.9727,98.2816,75.6644,0.0014432,1.92181,28.4518
2019-03-27-16:26:02,25.9727,98.2816,75.5256,0.0014432,1.92181,28.4518
2019-03-27-16:26:03,25.9727,98.2816,75.7295,0.0014432,1.92181,28.4518
2019-03-27-16:26:04,25.9727,98.3993,75.607,0.0014432,1.92181,28.4518
2019-03-27-16:26:05,25.9727,98.2127,75.607,0.0014432,1.92181,28.4518
2019-03-27-16:26:06,25.9727,98.2127,75.8451,0.0014432,1.92181,28.4518
2019-03-27-16:26:07,24.0508,98.4099,75.627,0.0014432,1.92181,28.4518
2019-03-27-16:26:08,24.0508,98.1962,75.5247,0.0014432,1.92181,28.4518
2019-03-27-16:26:09,24.0508,98.4236,75.7767,0.0014432,1.92181,28.4518
2019-03-27-16:26:10,24.0508,98.1761,75.5836,0.0014432,1.92181,28.4518
2019-03-27-16:26:11,24.0508,98.1761,75.8252,0.0014432,1.92181,28.4518
2019-03-27-16:26:12,24.0508,98.3536,75.668,0.0014432,1.92181,28.4518
2019-03-27-16:26:13,24.0508,98.1822,75.8095,0.0014432,1.92181,28.4518
2019-03-27-16:26:14,24.0508,98.4139,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:15,24.0508,98.1989,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:16,24.0508,98.1989,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:17,24.0508,98.3277,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:18,24.0508,98.2004,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:19,24.0508,98.3989,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:20,24.0508,98.2235,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:21,24.0508,98.2235,75.5645,0.0014432,1.92181,28.4518
2019-03-27-16:26:22,24.0508,98.2235,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:23,24.0508,98.2235,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:24,24.0508,98.3814,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:25,24.0508,98.0829,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:26,24.0508,98.3116,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:27,24.0508,98.3116,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:28,24.0508,98.2034,75.5563,0.0014432,1.92181,28.4518
2019-03-27-16:26:29,24.0508,98.2034,75.7044,0.0014432,1.92181,28.4518
2019-03-27-16:26:30,24.0508,98.2034,75.7044,0.0014432,1.92181,28.4518
2019-03-27-16:26:31,24.0508,98.2034,75.5625,0.0014432,1.92181,28.4518
2019-03-27-16:26:32,24.0508,98.2034,75.5625,0.0014432,1.92181,28.4518
2019-03-27-16:26:33,24.0508,98.4628,75.5625,0.0014432,1.92181,28.4518
2019-03-27-16:26:34,24.0508,98.2396,75.7078,0.0014432,1.92181,28.4518
2019-03-27-16:26:35,24.0508,98.2396,75.5545,0.0014432,1.92181,28.4518
2019-03-27-16:26:36,24.0508,98.2396,75.7044,0.0014432,1.92181,28.4518
2019-03-27-16:26:37,24.0508,98.3577,75.7044,16.2714,1.92181,28.4518
2019-03-27-16:26:38,24.0508,98.1867,75.7044,16.103,1.92181,28.4518
2019-03-27-16:26:39,24.0508,98.2901,75.5149,16.0794,1.92181,28.4518
2019-03-27-16:26:40,24.0508,98.2901,75.6732,16.0692,1.92181,28.4518
2019-03-27-16:26:41,24.0508,98.2901,75.8149,16.0564,1.92181,28.4518
2019-03-27-16:26:42,24.0508,98.2901,75.7005,16.0564,1.92181,28.4518
2019-03-27-16:26:43,24.0508,98.2901,75.5742,16.0564,1.92181,28.4518
2019-03-27-16:26:44,24.0508,98.4885,75.5742,16.0564,1.92181,28.4518
2019-03-27-16:26:45,24.0508,98.1833,75.5742,16.0564,1.92181,28.4518
2019-03-27-16:26:46,24.0508,98.1833,75.7514,16.0564,1.92181,28.4518
2019-03-27-16:26:47,24.0508,98.1833,75.4859,16.0564,1.92181,28.4518
2019-03-27-16:26:48,24.0508,98.1833,75.6235,16.0564,1.92181,28.4518
2019-03-27-16:26:49,24.0508,98.1833,75.4867,16.0564,1.92181,28.4518
2019-03-27-16:26:50,24.0508,98.1833,75.4867,16.0564,1.92181,28.4518
2019-03-27-16:26:51,24.0508,98.1833,75.4867,16.0564,1.92181,28.4518
2019-03-27-16:26:52,24.0508,98.1833,75.4867,16.0564,1.92181,28.4518
2019-03-27-16:26:53,24.0508,98.1833,75.9327,16.0564,1.92181,28.4518
2019-03-27-16:26:54,24.0508,98.1833,75.6173,16.0564,1.92181,28.4518
2019-03-27-16:26:55,24.0508,98.1833,75.6173,16.0564,1.92181,28.4518
2019-03-27-16:26:56,24.0508,98.1833,75.6173,16.0564,1.92181,28.4518
2019-03-27-16:26:57,24.0508,98.1833,75.6173,16.0564,1.92181,28.4518
2019-03-27-16:26:58,24.0508,98.1833,75.7753,16.0463,1.92181,28.4518
2019-03-27-16:26:59,24.0508,98.1833,75.5643,16.0463,1.92181,28.4518
2019-03-27-16:27:00,24.0508,98.1833,75.9378,16.0463,1.92181,28.4518
2019-03-27-16:27:01,24.0508,98.3086,75.5101,16.0463,1.92181,28.4518
2019-03-27-16:27:02,24.0508,98.2028,75.5101,16.0463,1.92181,28.4518
2019-03-27-16:27:03,24.0508,98.2028,75.7143,16.0463,1.92181,28.4518
2019-03-27-16:27:04,24.0508,98.2028,75.7143,16.0463,1.92181,28.4518
2019-03-27-16:27:05,24.0508,98.2028,75.7143,16.0463,1.92181,28.4518
2019-03-27-16:27:06,24.0508,98.3645,75.5097,16.0463,1.92181,28.4518
2019-03-27-16:27:07,24.0508,98.1845,75.5097,16.0463,1.92181,28.4518
2019-03-27-16:27:08,24.0508,98.4142,75.5097,16.0344,1.92181,28.4518
2019-03-27-16:27:09,24.0508,98.1952,75.6408,16.0344,1.92181,28.4518
2019-03-27-16:27:10,24.0508,98.1952,75.6408,16.0344,1.92181,28.4518
2019-03-27-16:27:11,24.0508,98.3805,75.6408,16.0344,1.92181,28.4518
2019-03-27-16:27:12,24.0508,98.1929,75.6408,16.0344,1.92181,28.4518
2019-03-27-16:27:13,24.0508,98.3885,75.6408,16.0344,1.92181,28.4518
2019-03-27-16:27:14,24.0508,98.186,75.5048,16.0344,1.92181,28.4518
2019-03-27-16:27:15,24.0508,98.186,75.5048,16.0239,1.92181,28.4518
2019-03-27-16:27:16,24.0508,98.4017,75.5048,16.0239,1.92181,28.4518
2019-03-27-16:27:17,24.0508,98.2578,75.7129,16.0239,1.92181,28.4518
2019-03-27-16:27:18,24.0508,98.4172,75.518,16.0239,1.92181,28.4518
