Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,CHTR:CM02:1155:HV:POWER
2019-03-27-11:01:35,36.8867,97.6011,75.0866,5.92058
2019-03-27-11:01:36,36.8867,97.4642,75.0866,5.92058
2019-03-27-11:01:37,36.8867,97.4642,75.0866,5.92058
2019-03-27-11:01:38,36.8867,97.9564,75.0866,5.92058
2019-03-27-11:01:39,36.8867,97.3288,75.0866,5.92058
2019-03-27-11:01:40,36.8867,97.7168,75.0866,5.92058
2019-03-27-11:01:41,36.8867,97.7168,75.0866,5.92058
2019-03-27-11:01:42,36.8867,97.7168,75.0866,5.92058
2019-03-27-11:01:43,36.8867,97.7168,75.0866,5.92058
2019-03-27-11:01:44,36.8867,97.3636,75.2232,5.92058
2019-03-27-11:01:45,36.8867,97.7347,75.0741,5.92058
2019-03-27-11:01:46,36.8867,97.7347,75.0741,5.92058
2019-03-27-11:01:47,36.8867,97.7347,75.0741,5.92058
2019-03-27-11:01:48,34.6328,97.7347,75.0741,5.92058
2019-03-27-11:01:49,34.6328,97.8766,75.0741,5.92058
2019-03-27-11:01:50,34.1641,97.4445,75.2226,5.92058
2019-03-27-11:01:51,34.9062,97.7337,75.2226,5.92058
2019-03-27-11:01:52,34.9062,97.5603,74.9915,5.92058
2019-03-27-11:01:53,34.9062,97.7439,74.9915,5.92058
2019-03-27-11:01:54,34.9062,97.3244,74.9915,5.92058
2019-03-27-11:01:55,34.9062,97.4864,75.272,5.92058
2019-03-27-11:01:56,34.9062,97.4864,74.9745,5.92058
2019-03-27-11:01:57,34.9062,97.3458,74.9745,5.92058
2019-03-27-11:01:58,34.9062,97.3458,75.0795,5.92058
2019-03-27-11:01:59,34.9062,97.6166,75.0795,5.92058
2019-03-27-11:02:00,34.9062,97.7618,75.3024,5.92058
2019-03-27-11:02:01,34.9062,97.2727,75.0781,5.92058
2019-03-27-11:02:02,34.9062,97.734,75.2233,5.92058
2019-03-27-11:02:03,34.9062,97.416,75.0654,5.92058
2019-03-27-11:02:04,34.9062,97.7093,75.0654,5.92058
2019-03-27-11:02:05,34.9062,97.3972,75.2064,5.92058
2019-03-27-11:02:06,34.9062,97.3972,75.0772,5.92058
2019-03-27-11:02:07,34.9062,97.708,75.0772,5.92058
2019-03-27-11:02:08,33.2031,97.708,75.0772,5.92058
2019-03-27-11:02:09,32.9297,97.3377,75.0772,5.92058
2019-03-27-11:02:10,32.9297,97.3377,75.0772,5.92058
2019-03-27-11:02:11,32.9297,97.7229,75.0772,5.92058
2019-03-27-11:02:12,32.9297,97.5962,75.0772,5.92058
2019-03-27-11:02:13,32.9297,97.7748,75.0772,5.92058
2019-03-27-11:02:14,32.9297,97.3355,75.0772,5.92058
2019-03-27-11:02:15,32.9297,97.4888,75.0772,5.92058
2019-03-27-11:02:16,32.9297,97.4888,75.0772,5.92058
2019-03-27-11:02:17,32.9297,97.4888,75.0772,5.92058
2019-03-27-11:02:18,32.9297,97.6992,75.0772,5.92058
2019-03-27-11:02:19,32.9297,97.3193,75.0772,5.92058
2019-03-27-11:02:20,26.7969,97.7271,75.0772,5.92058
2019-03-27-11:02:21,24.0508,97.4652,75.0772,5.92058
2019-03-27-11:02:22,24.0508,97.4652,75.0772,5.92058
2019-03-27-11:02:23,24.0508,97.4652,75.2371,5.92058
2019-03-27-11:02:24,24.0508,97.7129,75.0834,5.92058
2019-03-27-11:02:25,24.0508,97.3859,75.0834,5.92058
2019-03-27-11:02:26,24.0508,97.8347,75.0834,5.92058
2019-03-27-11:02:27,24.0508,97.5114,75.0834,5.92058
2019-03-27-11:02:28,24.0508,97.3177,75.0834,5.92058
2019-03-27-11:02:29,24.0508,97.3177,75.0834,5.92058
2019-03-27-11:02:30,24.0508,97.668,75.0834,5.92058
2019-03-27-11:02:31,24.0508,97.3797,75.0834,5.92058
2019-03-27-11:02:32,24.0508,97.3797,75.0834,5.92058
2019-03-27-11:02:33,24.0508,97.3797,75.0834,5.92058
2019-03-27-11:02:34,24.0508,97.2772,75.0834,5.92058
2019-03-27-11:02:35,24.0508,97.4937,75.0834,5.92058
2019-03-27-11:02:36,24.0508,97.2755,74.9798,5.92058
2019-03-27-11:02:37,24.0508,97.8837,75.1429,5.92058
2019-03-27-11:02:38,24.0508,97.6966,75.1429,5.92058
2019-03-27-11:02:39,24.0508,97.509,75.3317,5.92058
2019-03-27-11:02:40,24.0508,97.6509,75.0758,5.92058
2019-03-27-11:02:41,24.0508,97.2784,75.0758,5.92058
2019-03-27-11:02:42,24.0508,97.914,75.2092,5.92058
2019-03-27-11:02:43,24.0508,97.3967,75.0572,5.92058
2019-03-27-11:02:44,24.0508,97.9055,75.1766,5.92058
2019-03-27-11:02:45,24.0508,97.3509,75.0701,5.92058
2019-03-27-11:02:46,24.0508,97.6691,75.0701,5.92058
2019-03-27-11:02:47,24.0508,97.5403,75.3683,5.92058
2019-03-27-11:02:48,24.0508,97.5403,75.2033,5.92058
2019-03-27-11:02:49,24.0508,97.5403,75.2033,5.92058
2019-03-27-11:02:50,24.0508,97.6551,75.0615,5.92058
