Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0210:GACT,CHTR:CM02:1155:HV:POWER,CPT:CM02:2302:DS:PRESS
2019-03-28-14:30:00,25.8359,95.0624,73.0048,0.000829401,2.12006,28.2603
2019-03-28-14:30:01,25.8359,95.0624,73.0048,0.000829401,2.12006,28.2603
2019-03-28-14:30:02,25.8359,95.0624,73.1495,0.000829401,2.12006,28.2603
2019-03-28-14:30:03,25.8359,94.9416,73.1495,0.000829401,2.12006,28.2603
2019-03-28-14:30:04,25.8359,94.9416,73.1495,0.000829401,2.12006,28.2603
2019-03-28-14:30:05,25.8359,94.9416,73.1495,0.000829401,2.12006,28.2603
2019-03-28-14:30:06,25.8359,94.9416,73.1495,0.000829401,2.12006,28.2603
2019-03-28-14:30:07,25.8359,95.153,72.9492,0.000829401,2.12006,28.2603
2019-03-28-14:30:08,25.8359,94.9743,73.1021,0.000829401,2.12006,28.2603
2019-03-28-14:30:09,25.8359,94.9743,73.1021,0.000829401,2.12006,28.2603
2019-03-28-14:30:10,25.8359,95.086,73.1021,0.000829401,2.12006,28.2603
2019-03-28-14:30:11,25.8359,94.9727,72.9673,0.000829401,2.12006,28.2603
2019-03-28-14:30:12,25.8359,95.1859,72.9673,0.000829401,2.12006,28.2603
2019-03-28-14:30:13,25.8359,95.1859,73.1575,0.000829401,2.12006,28.2603
2019-03-28-14:30:14,25.8359,95.1859,72.9421,0.000829401,2.12006,28.2603
2019-03-28-14:30:15,25.8359,95.1859,73.0871,0.000829401,2.12006,28.2603
2019-03-28-14:30:16,25.8359,94.9506,73.0871,0.000829401,2.12006,28.2603
2019-03-28-14:30:17,25.8359,95.1749,73.0871,0.000829401,2.12006,28.2603
2019-03-28-14:30:18,25.8359,94.9616,73.0871,0.000829401,2.12006,28.2603
2019-03-28-14:30:19,25.8359,95.1482,73.0871,0.000829401,2.12006,28.2603
2019-03-28-14:30:20,25.8359,95.1482,73.0871,0.000829401,2.12006,28.2603
2019-03-28-14:30:21,25.8359,95.1482,73.0871,0.000829401,2.12006,28.2603
2019-03-28-14:30:22,25.8359,95.1482,72.9283,0.000829401,2.12006,28.2603
2019-03-28-14:30:23,25.8359,94.9796,73.0859,0.000829401,2.12006,28.2603
2019-03-28-14:30:24,25.8359,95.0824,72.9153,0.000829401,2.12006,28.2603
2019-03-28-14:30:25,25.8359,95.0824,73.1331,0.000829401,2.12006,28.2603
2019-03-28-14:30:26,25.8359,95.0824,73.1331,0.000829401,2.12006,28.2603
2019-03-28-14:30:27,25.8359,95.0824,72.9809,0.000829401,2.12006,28.2603
2019-03-28-14:30:28,25.8359,94.9528,73.1176,0.000829401,2.12006,28.2603
2019-03-28-14:30:29,25.8359,95.0777,73.0159,0.000829401,2.12006,28.2603
2019-03-28-14:30:30,25.8359,95.3237,73.1277,0.000829401,2.12006,28.2603
2019-03-28-14:30:31,25.8359,95.0089,73.1277,0.000829401,2.12006,28.2603
2019-03-28-14:30:32,25.8359,95.0089,73.1277,0.000829401,2.12006,28.2603
2019-03-28-14:30:33,25.8359,95.0089,73.2507,0.000829401,2.12006,28.2603
2019-03-28-14:30:34,25.8359,95.2803,72.9344,0.000829401,2.12006,28.2603
2019-03-28-14:30:35,25.8359,95.0306,72.9344,0.000829401,2.12006,28.2603
2019-03-28-14:30:36,25.8359,95.2298,72.9344,0.000829401,2.12006,28.2603
2019-03-28-14:30:37,25.8359,95.0503,73.1175,0.000829401,2.12006,28.2603
2019-03-28-14:30:38,25.8359,95.0503,72.9986,0.000829401,2.12006,28.2603
