time,Unix time,CHTR:CM02:1255:HV:POWER,CLL:CM02:2301:DS:LVL,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2601:US:LVL,CHTR:CM02:1855:HV:POWER
2019-03-03 11:00:00,1551628800.00,1.90021,90.118,17.6719,69.1098,1.90911
2019-03-03 11:00:00,1551628800.56,1.90021,89.9964,17.6719,69.1098,1.90911
2019-03-03 11:00:02,1551628802.56,1.90021,89.9964,17.6719,68.9668,1.90911
2019-03-03 11:00:03,1551628803.56,1.90021,89.8225,17.6719,68.9668,1.90911
2019-03-03 11:00:04,1551628804.57,1.90021,89.8225,17.6719,69.1555,1.90911
2019-03-03 11:00:05,1551628805.56,1.90021,89.9273,17.6719,69.0345,1.90911
2019-03-03 11:00:06,1551628806.56,1.90021,89.9273,17.6719,68.9186,1.90911
2019-03-03 11:00:08,1551628808.56,1.90021,89.9273,17.6719,69.0683,1.90911
2019-03-03 11:00:10,1551628810.56,1.90021,90.2216,16.9844,69.0683,1.90911
2019-03-03 11:00:11,1551628811.56,1.90021,89.9241,16.9844,69.0683,1.90911
2019-03-03 11:00:12,1551628812.56,1.90021,89.8013,16.9844,68.889,1.90911
2019-03-03 11:00:13,1551628813.56,1.90021,89.9557,16.9844,69.048,1.90911
2019-03-03 11:00:15,1551628815.56,1.90021,90.1563,16.9844,69.2252,1.90911
2019-03-03 11:00:16,1551628816.56,1.90021,90.0274,16.9844,69.2252,1.90911
2019-03-03 11:00:17,1551628817.56,1.90021,89.8772,16.9844,68.7907,1.90911
2019-03-03 11:00:18,1551628818.56,1.90021,90.0994,16.9844,68.901,1.90911
2019-03-03 11:00:19,1551628819.56,1.90021,90.0994,16.9844,69.2533,1.90911
2019-03-03 11:00:20,1551628820.56,1.90021,89.7967,16.9844,68.9995,1.90911
2019-03-03 11:00:21,1551628821.56,1.90021,89.9969,16.9844,69.1733,1.90911
2019-03-03 11:00:22,1551628822.56,1.90021,89.8218,16.9844,68.8179,1.90911
2019-03-03 11:00:24,1551628824.56,1.90021,89.8218,16.9844,69.0792,1.90911
2019-03-03 11:00:25,1551628825.56,1.90021,89.933,16.9844,68.858,1.90911
2019-03-03 11:00:26,1551628826.56,1.90021,89.933,16.9844,69.251,1.90911
2019-03-03 11:00:27,1551628827.56,1.90021,90.1536,16.9844,68.9021,1.90911
2019-03-03 11:00:29,1551628829.56,1.90021,89.8461,16.9844,68.9021,1.90911
2019-03-03 11:00:30,1551628830.56,1.90021,89.8461,16.9844,69.0411,1.90911
2019-03-03 11:00:31,1551628831.56,1.90021,90.0279,16.9844,69.1505,1.90911
2019-03-03 11:00:32,1551628832.56,1.90021,89.8286,19.1836,68.86,1.90911
2019-03-03 11:00:33,1551628833.56,1.90021,89.8286,18.8281,69.0098,1.90911
2019-03-03 11:00:34,1551628834.57,1.90021,89.8286,18.0859,69.0098,1.90911
2019-03-03 11:00:35,1551628835.56,1.90021,90.1036,18.0859,69.0098,1.90911
2019-03-03 11:00:36,1551628836.56,1.90021,89.9244,18.0859,69.0098,1.90911
