time,Unix time,CHTR:CM02:1255:HV:POWER,CLL:CM02:2301:DS:LVL,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2601:US:LVL,CHTR:CM02:1855:HV:POWER
2019-03-03 14:00:00,1551639600.00,2.13125,97.0651,17.3984,74.6911,1.90911
2019-03-03 14:00:00,1551639600.57,2.13125,96.9651,17.3984,74.6911,1.90911
2019-03-03 14:00:03,1551639603.56,2.13125,97.3424,17.3984,74.6911,1.90911
2019-03-03 14:00:04,1551639604.57,2.13125,96.904,17.3984,74.6911,1.90911
2019-03-03 14:00:05,1551639605.56,2.13125,97.3097,17.3984,74.8192,1.90911
2019-03-03 14:00:06,1551639606.56,2.13125,96.8207,17.3984,74.8192,1.90911
2019-03-03 14:00:08,1551639608.57,2.13125,97.2865,17.3984,74.7092,1.90911
2019-03-03 14:00:09,1551639609.56,2.13125,97.025,17.3984,74.8155,1.90911
2019-03-03 14:00:10,1551639610.56,2.13125,97.025,17.3984,74.5356,1.90911
2019-03-03 14:00:11,1551639611.56,2.13125,97.025,17.3984,74.7971,1.90911
2019-03-03 14:00:13,1551639613.56,2.13125,97.025,17.3984,74.6867,1.90911
2019-03-03 14:00:16,1551639616.56,2.13125,96.8424,17.3984,74.5753,1.90911
2019-03-03 14:00:17,1551639617.56,2.13125,97.2736,17.3984,74.6894,1.90911
2019-03-03 14:00:18,1551639618.56,2.13125,96.8741,17.3984,74.8269,1.90911
2019-03-03 14:00:20,1551639620.56,2.13125,96.9986,17.3984,74.6917,1.90911
2019-03-03 14:00:21,1551639621.56,2.13125,96.8636,17.3984,74.6917,1.90911
2019-03-03 14:00:22,1551639622.57,2.13125,97.0128,17.3984,74.6917,1.90911
2019-03-03 14:00:23,1551639623.56,2.13125,97.1864,17.3984,74.8581,1.90911
2019-03-03 14:00:24,1551639624.56,2.13125,96.8713,17.3984,74.5959,1.90911
2019-03-03 14:00:25,1551639625.56,2.13125,97.1971,17.3984,74.7209,1.90911
2019-03-03 14:00:26,1551639626.56,2.13125,96.8581,17.3984,74.7209,1.90911
