time,Unix time,CFICM0312,CPV:CM03:3001:JT:POS_RBV,CHTR:CM03:1155:HV:POWER,CLL:CM03:2601:US:LVL,CLL:CM03:2301:DS:LVL
2019-02-23 08:00:33,1550926833.80,4.65625,47.4688,14.9379,69.1679,89.9245
2019-02-23 08:00:34,1550926834.56,4.65625,47.4688,14.9379,69.1679,90.3234
2019-02-23 08:00:35,1550926835.56,4.65625,47.4688,14.9379,69.1679,89.9487
2019-02-23 08:00:35,1550926835.80,3.89062,47.4688,14.9379,69.1679,89.9487
2019-02-23 08:00:36,1550926836.56,3.89062,47.4688,14.9379,68.9401,90.1098
2019-02-23 08:00:36,1550926836.80,4.40625,47.4688,14.9379,68.9401,90.1098
2019-02-23 08:00:37,1550926837.56,4.40625,47.4688,14.9379,69.12,89.9602
2019-02-23 08:00:37,1550926837.81,4.84375,47.4688,14.9379,69.12,89.9602
2019-02-23 08:00:38,1550926838.56,4.84375,47.4688,14.9379,69.3591,89.9602
2019-02-23 08:00:38,1550926838.81,4.0625,47.4688,14.9379,69.3591,89.9602
2019-02-23 08:00:39,1550926839.56,4.0625,47.4688,14.9379,69.1759,90.2962
2019-02-23 08:00:40,1550926840.56,4.0625,47.4688,14.9379,69.1759,90.0412
2019-02-23 08:00:40,1550926840.81,4.8125,47.4688,14.9379,69.1759,90.0412
2019-02-23 08:00:41,1550926841.56,4.8125,47.4688,14.9379,68.9689,90.0412
2019-02-23 08:00:41,1550926841.82,4.375,47.4688,14.9379,68.9689,90.0412
2019-02-23 08:00:42,1550926842.82,3.92188,47.4688,14.9379,68.9689,90.0412
2019-02-23 08:00:43,1550926843.56,3.92188,47.4688,14.9379,69.3232,89.9223
2019-02-23 08:00:43,1550926843.83,4.71875,47.4688,14.9379,69.3232,89.9223
2019-02-23 08:00:44,1550926844.56,4.71875,47.4688,14.9379,68.9676,90.0334
2019-02-23 08:00:45,1550926845.83,3.90625,47.4688,14.9379,68.9676,90.0334
2019-02-23 08:00:46,1550926846.83,4.4375,47.4688,14.9379,68.9676,90.0334
2019-02-23 08:00:47,1550926847.84,4.78125,47.4688,14.9379,68.9676,90.0334
2019-02-23 08:00:48,1550926848.56,4.78125,47.4688,14.9379,69.1232,89.9203
2019-02-23 08:00:48,1550926848.84,4.03125,47.4688,14.9379,69.1232,89.9203
2019-02-23 08:00:49,1550926849.56,4.03125,47.4688,14.9379,69.2475,89.9203
2019-02-23 08:00:50,1550926850.56,4.03125,47.4688,14.9379,69.4012,90.0921
2019-02-23 08:00:50,1550926850.84,4.78125,47.4688,14.9379,69.4012,90.0921
2019-02-23 08:00:51,1550926851.56,4.78125,47.4688,14.9379,68.9872,89.9532
2019-02-23 08:00:51,1550926851.85,4.21875,47.4688,14.9379,68.9872,89.9532
2019-02-23 08:00:52,1550926852.85,3.95312,47.4688,14.9379,68.9872,89.9532
2019-02-23 08:00:53,1550926853.56,3.95312,47.4688,14.9379,68.9872,90.0718
2019-02-23 08:00:53,1550926853.85,4.6875,47.4688,14.9379,68.9872,90.0718
2019-02-23 08:00:54,1550926854.85,4.46875,47.4688,14.9379,68.9872,90.0718
2019-02-23 08:00:55,1550926855.56,4.46875,47.4688,14.9379,69.2886,89.9277
2019-02-23 08:00:55,1550926855.86,3.84375,47.4688,14.9379,69.2886,89.9277
2019-02-23 08:00:56,1550926856.56,3.84375,47.4688,14.9379,69.1214,89.9277
2019-02-23 08:00:56,1550926856.86,4.46875,47.4688,14.9379,69.1214,89.9277
2019-02-23 08:00:57,1550926857.56,4.46875,47.4688,14.9379,68.9658,89.9277
2019-02-23 08:00:57,1550926857.86,4.71875,47.4688,14.9379,68.9658,89.9277
2019-02-23 08:00:58,1550926858.87,3.90625,47.4688,14.9379,68.9658,89.9277
2019-02-23 08:00:59,1550926859.56,3.90625,47.4688,14.9379,68.9658,90.2348
2019-02-23 08:00:59,1550926859.87,4.15625,47.4688,14.9379,68.9658,90.2348
