time,Unix time,CPT:CM02:2302:DS:PRESS,CHTR:CM02:1455:HV:POWER,CLL:CM02:2601:US:LVL,CLL:CM02:2301:DS:LVL,CTE:CM02:1420:DH:TEMP,CTE:CM02:1418:UH:TEMP,ACCL:L1B:0240:CPLRTEMP1,ACCL:L1B:0240:CPLRTEMP2,CPV:CM02:3001:JT:POS_RBV
2019-03-17 12:04:12,1552838652.00,29.5314,1.91554,72.4504,94.4858,5.39695,6.23439,71.5856,72.9988,34.6328
2019-03-17 12:04:12,1552838652.56,29.5314,1.91554,72.6719,94.4858,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:14,1552838654.56,29.5314,1.91554,72.8195,94.6925,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:15,1552838655.56,29.5314,1.91554,72.4783,94.5606,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:17,1552838657.56,29.5314,1.91554,72.6938,94.5606,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:18,1552838658.56,29.5314,1.91554,72.4944,94.5606,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:19,1552838659.56,29.5314,1.91554,72.726,94.6778,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:20,1552838660.56,29.5314,1.91554,72.4924,94.5577,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:21,1552838661.56,29.5314,1.91554,72.4924,94.3153,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:22,1552838662.56,29.5314,1.91554,72.6298,94.4927,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:23,1552838663.56,29.5314,1.91554,72.4714,94.4927,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:24,1552838664.56,29.5314,1.91554,72.6193,94.4927,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:25,1552838665.56,29.5314,1.91554,72.4884,94.7641,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:26,1552838666.56,29.5314,1.91554,72.4884,94.4917,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:27,1552838667.56,29.5314,1.91554,72.6081,94.4917,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:30,1552838670.56,29.5314,1.91554,72.6081,94.5958,5.39695,6.23439,71.5856,72.9988,35.4023
2019-03-17 12:04:31,1552838671.56,29.5314,1.91554,72.4994,94.4865,5.39695,6.23439,71.5856,72.9988,34.6328
2019-03-17 12:04:32,1552838672.56,29.5314,1.91554,72.4994,94.6089,5.39695,6.23439,71.5856,72.9988,34.4961
2019-03-17 12:04:34,1552838674.16,29.5314,1.91554,72.4994,94.6089,5.39695,6.23439,71.5856,73.1072,34.4961
2019-03-17 12:04:34,1552838674.56,29.5314,1.91554,72.4994,94.4711,5.39695,6.23439,71.5856,73.1072,34.4961
