Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0220:GACT,CHTR:CM02:1255:HV:POWER,CPT:CM02:2302:DS:PRESS
2019-03-28-15:45:00,26.0547,94.5906,72.6817,16.0001,1.82506,28.472
2019-03-28-15:45:01,26.0547,94.5906,72.5309,16.0001,1.82506,28.472
2019-03-28-15:45:02,26.0547,94.9885,72.8902,16.0001,1.82506,28.472
2019-03-28-15:45:03,26.0547,94.5177,72.5318,16.0001,1.82506,28.472
2019-03-28-15:45:04,26.0547,94.8382,72.7558,15.9892,1.82506,28.472
2019-03-28-15:45:05,26.0547,94.479,72.5856,15.9892,1.82506,28.472
2019-03-28-15:45:06,26.0547,94.479,72.6896,15.9892,1.82506,28.472
2019-03-28-15:45:07,26.0547,94.8007,72.6896,15.9892,1.82506,28.472
2019-03-28-15:45:08,26.0547,94.4898,72.5023,15.9892,1.82506,28.472
2019-03-28-15:45:09,26.0547,94.6844,72.7769,15.9792,1.82506,28.472
2019-03-28-15:45:10,26.0547,94.5136,72.479,15.9792,1.82506,28.472
2019-03-28-15:45:11,26.0547,94.8018,72.7479,15.9792,1.82506,28.472
2019-03-28-15:45:12,26.0547,94.6741,72.7479,15.9792,1.82506,28.472
2019-03-28-15:45:13,26.0547,94.5519,72.5625,15.9792,1.82506,28.472
2019-03-28-15:45:14,26.0547,94.5519,72.756,15.9792,1.82506,28.472
2019-03-28-15:45:15,26.0547,94.5519,72.5856,15.9792,1.82506,28.472
2019-03-28-15:45:16,26.0547,94.7291,72.5856,15.9792,1.82506,28.472
2019-03-28-15:45:17,26.0547,94.7291,72.8415,15.9792,1.82506,28.472
2019-03-28-15:45:18,26.0547,94.478,72.5121,15.9685,1.82506,28.472
2019-03-28-15:45:19,26.0547,94.7574,72.8588,15.9685,1.82506,28.472
2019-03-28-15:45:20,26.0547,94.628,72.6245,15.9685,1.82506,28.472
2019-03-28-15:45:21,26.0547,94.628,72.6245,15.9685,1.82506,28.472
2019-03-28-15:45:22,26.0547,94.5138,72.7769,15.9685,1.82506,28.472
2019-03-28-15:45:23,26.0547,94.7219,72.5876,15.9685,1.82506,28.472
2019-03-28-15:45:24,26.0547,94.7219,72.6979,15.9569,1.82506,28.472
2019-03-28-15:45:25,26.0547,94.4949,72.6979,15.9569,1.82506,28.472
2019-03-28-15:45:26,26.0547,94.6427,72.6979,15.9569,1.82506,28.472
2019-03-28-15:45:27,26.0547,94.5202,72.6979,15.9569,1.82506,28.472
2019-03-28-15:45:28,26.0547,94.778,72.6979,15.9569,1.82506,28.472
2019-03-28-15:45:29,26.0547,94.6341,72.6979,15.9569,1.82506,28.472
2019-03-28-15:45:30,26.0547,94.4899,72.6979,15.9569,1.82506,28.472
2019-03-28-15:45:31,26.0547,94.6339,72.6979,15.9569,1.82506,28.472
2019-03-28-15:45:32,26.0547,94.4983,72.9249,15.9569,1.82506,28.472
2019-03-28-15:45:33,26.0547,94.4983,72.7292,15.9569,1.82506,28.472
2019-03-28-15:45:34,26.0547,94.4983,72.7292,15.9569,1.82506,28.472
2019-03-28-15:45:35,26.0547,94.4983,72.5935,15.9569,1.82506,28.472
2019-03-28-15:45:36,26.0547,94.6846,72.5935,15.9569,1.82506,28.472
2019-03-28-15:45:37,26.0547,94.4998,72.7657,15.9569,1.82506,28.472
2019-03-28-15:45:38,26.0547,94.4998,72.566,15.9569,1.82506,28.472
2019-03-28-15:45:39,26.0547,94.7999,72.7083,15.9569,1.82506,28.472
2019-03-28-15:45:40,26.0547,94.4719,72.4738,15.9569,1.82506,28.472
2019-03-28-15:45:41,26.0547,94.7765,72.7213,15.9569,1.82506,28.472
2019-03-28-15:45:42,26.0547,94.4751,72.7213,15.9464,1.82506,28.472
2019-03-28-15:45:43,26.0547,94.4751,72.5816,15.9464,1.82506,28.472
2019-03-28-15:45:44,26.0547,94.4751,72.6868,15.9464,1.82506,28.472
2019-03-28-15:45:45,26.0547,94.4751,72.4988,15.9464,1.82506,28.472
2019-03-28-15:45:46,26.0547,94.7323,72.4988,15.9464,1.82506,28.472
2019-03-28-15:45:47,26.0547,94.4643,72.4988,15.9464,1.82506,28.472
2019-03-28-15:45:48,26.0547,94.7334,72.4988,15.9464,1.82506,28.472
2019-03-28-15:45:49,26.0547,94.5197,72.664,15.9464,1.82506,28.472
2019-03-28-15:45:50,26.0547,94.5197,72.664,15.9464,1.82506,28.472
2019-03-28-15:45:51,26.0547,94.5197,72.5305,15.9464,1.82506,28.472
2019-03-28-15:45:52,26.0547,94.5197,72.5305,15.9464,1.82506,28.472
2019-03-28-15:45:53,26.0547,94.6641,72.5305,15.9464,1.82506,28.472
2019-03-28-15:45:54,26.0547,94.6641,72.6612,15.9355,1.82506,28.472
2019-03-28-15:45:55,26.0547,94.4828,72.5101,15.9355,1.82506,28.472
2019-03-28-15:45:56,26.0547,94.4828,72.7049,15.9355,1.82506,28.472
2019-03-28-15:45:57,26.0547,94.4828,72.5343,15.9355,1.82506,28.472
2019-03-28-15:45:58,26.0547,94.6285,72.5343,15.9355,1.82506,28.472
2019-03-28-15:45:59,26.0547,94.6285,72.7268,15.9355,1.82506,28.472
2019-03-28-15:46:00,26.0547,94.6285,72.5642,15.9355,1.82506,28.472
2019-03-28-15:46:01,26.0547,94.6285,72.7491,15.9355,1.82506,28.472
2019-03-28-15:46:02,26.0547,94.4754,72.4771,15.9355,1.82506,28.472
2019-03-28-15:46:03,26.0547,94.6671,72.4771,15.9355,1.82506,28.472
2019-03-28-15:46:04,26.0547,94.501,72.4771,15.9355,1.82506,28.472
2019-03-28-15:46:05,26.0547,94.501,72.7416,15.9355,1.82506,28.472
2019-03-28-15:46:06,26.0547,94.501,72.7416,15.9355,1.82506,28.472
2019-03-28-15:46:07,26.0547,94.501,72.5932,15.9355,1.82506,28.472
2019-03-28-15:46:08,26.0547,94.501,72.5932,15.9355,1.82506,28.472
2019-03-28-15:46:09,26.0547,94.501,72.5932,15.9355,1.82506,28.472
2019-03-28-15:46:10,26.0547,94.501,72.5932,15.9355,1.82506,28.472
2019-03-28-15:46:11,26.0547,94.501,72.8407,15.9355,1.82506,28.472
2019-03-28-15:46:12,26.0547,94.7665,72.6524,15.9254,1.82506,28.472
2019-03-28-15:46:13,26.0547,94.601,72.6524,15.9254,1.82506,28.472
2019-03-28-15:46:14,26.0547,94.4941,72.6524,15.9254,1.82506,28.472
2019-03-28-15:46:15,26.0547,94.4941,72.4843,15.9254,1.82506,28.472
2019-03-28-15:46:16,26.0547,94.5951,72.7587,15.9254,1.82506,28.472
2019-03-28-15:46:17,26.0547,94.487,72.6363,15.9254,1.82506,28.472
2019-03-28-15:46:18,26.0547,94.487,72.8528,15.9254,1.82506,28.472
2019-03-28-15:46:19,26.1953,94.487,72.5069,15.9254,1.82506,28.472
2019-03-28-15:46:20,26.0547,94.487,72.6429,15.9254,1.82506,28.472
2019-03-28-15:46:21,26.0547,94.487,72.6429,15.9254,1.82506,28.472
2019-03-28-15:46:22,26.0547,94.487,72.5098,15.9254,1.82506,28.472
2019-03-28-15:46:23,26.0547,94.487,72.8446,15.9254,1.82506,28.472
2019-03-28-15:46:24,26.0547,94.487,72.6266,15.9235,1.82506,28.472
2019-03-28-15:46:25,26.0547,94.841,72.6266,15.9235,1.82506,28.472
2019-03-28-15:46:26,26.0547,94.6349,72.5232,15.9235,1.82506,28.472
2019-03-28-15:46:27,26.0547,94.5038,72.5232,15.9235,1.82506,28.472
2019-03-28-15:46:28,26.0547,94.5038,72.6351,15.9235,1.82506,28.472
2019-03-28-15:46:29,26.0547,94.5038,72.5212,15.9235,1.82506,28.472
2019-03-28-15:46:30,26.0547,94.5038,72.7644,15.913,1.82506,28.472
2019-03-28-15:46:31,26.0547,94.5038,72.6156,15.913,1.82506,28.472
2019-03-28-15:46:32,26.0547,94.5038,72.6156,15.913,1.82506,28.472
2019-03-28-15:46:33,26.0547,94.5038,72.7381,15.913,1.82506,28.472
2019-03-28-15:46:34,26.0547,94.5038,72.7381,15.913,1.82506,28.472
2019-03-28-15:46:35,26.0547,94.5038,72.5379,15.913,1.82506,28.472
2019-03-28-15:46:36,26.0547,94.5038,72.6696,15.913,1.82506,28.472
2019-03-28-15:46:37,26.0547,94.5038,72.468,15.913,1.82506,28.472
2019-03-28-15:46:38,26.0547,94.5038,72.6362,15.913,1.82506,28.472
2019-03-28-15:46:39,26.0547,94.6685,72.5002,15.913,1.82506,28.472
2019-03-28-15:46:40,26.0547,94.8754,72.8933,15.913,1.82506,28.472
2019-03-28-15:46:41,26.0547,94.5019,72.5957,15.913,1.82506,28.472
2019-03-28-15:46:42,26.0547,94.6775,72.7164,15.913,1.82506,28.472
2019-03-28-15:46:43,26.0547,94.5364,72.6064,15.913,1.82506,28.472
2019-03-28-15:46:44,26.0547,94.5364,72.4948,15.913,1.82506,28.472
2019-03-28-15:46:45,26.0547,94.9457,72.4948,15.913,1.82506,28.472
2019-03-28-15:46:46,26.0547,94.7362,72.4948,15.913,1.82506,28.472
2019-03-28-15:46:47,26.0547,94.7362,72.4948,15.913,1.82506,28.472
2019-03-28-15:46:48,26.0547,94.4733,72.4948,15.913,1.82506,28.472
2019-03-28-15:46:49,26.0547,94.4733,72.4948,15.913,1.82506,28.472
2019-03-28-15:46:50,26.0547,94.7155,72.4948,15.8987,1.82506,28.472
2019-03-28-15:46:51,26.0547,94.4721,72.4948,15.9096,1.82506,28.472
2019-03-28-15:46:52,26.0547,94.7056,72.4948,15.9096,1.82506,28.472
2019-03-28-15:46:53,26.0547,94.4907,72.4948,15.9096,1.82506,28.472
2019-03-28-15:46:54,26.0547,94.4907,72.4948,15.9096,1.82506,28.472
2019-03-28-15:46:55,26.0547,94.4907,72.4948,15.9096,1.82506,28.472
2019-03-28-15:46:56,26.0547,94.4907,72.4948,15.9096,1.82506,28.472
2019-03-28-15:46:57,26.0547,94.7027,72.4948,15.9096,1.82506,28.472
