Cavity,Gradient,Q0,Calibration,Q0 Measurement,Calibration Cutoffs,Q0 Cutoffs
4,5.0,-6.58e+9,2020-07-28 09:53:01 to 2020-07-28 19:04:28 (1s sample interval),2020-07-31 08:33:02 to 2020-07-31 09:21:33 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0,0 | 0
4,5.0,-6.61e+9,2020-07-29 08:32:03 to 2020-07-29 15:10:48 (1s sample interval),2020-07-31 08:33:02 to 2020-07-31 09:21:33 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
4,5.0,-7.00e+9,2020-07-28 09:53:01 to 2020-07-28 19:04:28 (1s sample interval),2020-07-31 08:33:02 to 2020-07-31 09:21:33 (1s sample interval),170 | 170 | 170 | 170 | 170 | 170,535 | 0
4,5.0,-6.87e+9,2020-07-29 08:32:03 to 2020-07-29 15:10:48 (1s sample interval),2020-07-31 08:33:02 to 2020-07-31 09:21:33 (1s sample interval),170 | 170 | 170 | 170 | 170 | 170 | 170 | 170 | 170 | 170,535 | 0
