Gradient,RF Heat Load,Pressure,Q0
40.40389153398469,64.05617239676894,28.1869,31180190330.081932
40.40389153398469,64.05617239676894,28.1869,31180190330.081932
40.40389153398469,64.05617239676894,28.1869,31180190330.081932
40.40389153398469,64.05617239676894,28.1869,31180190330.081932
40.39947229222184,64.05617239676894,28.1869,31171880034.80809
40.39947229222184,64.05617239676894,28.1869,31171880034.80809
40.40125959236914,64.05617239676894,28.1869,31175240775.999958
40.39632617082895,64.05617239676894,28.1869,31165965034.990383
40.386910288978534,64.05617239676894,28.1869,31148268355.246387
40.386910288978534,64.05617239676894,28.1869,31148268355.246387
40.395446465288636,64.05617239676894,28.1869,31164311288.25543
40.40088872698223,64.05617239676894,28.1869,31174543394.17497
40.39271617358754,64.05617239676894,28.1869,31159179153.46832
40.39608463106295,64.05617239676894,28.1869,31165510959.71305
40.39330014792057,64.05617239676894,28.1869,31160276787.07723
40.395649540142315,64.05617239676894,28.1869,31164693038.939445
40.40210969726705,64.05617239676894,28.1869,31176839381.39845
40.40210969726705,64.05617239676894,28.1869,31176839381.39845
40.40168197389807,64.05617239676894,28.1869,31176035046.839012
40.40148955942095,64.05617239676894,28.1869,31175673217.17925
40.40553152552259,64.05617239676894,28.1869,31183274809.925804
40.40553152552259,64.05617239676894,28.1869,31183274809.925804
40.394327736329515,64.05617239676894,28.1869,31162208318.958363
40.400080791874664,64.05617239676894,28.1869,31173024187.474968
40.399244732296665,64.05617239676894,28.1869,31171452167.069878
40.399244732296665,64.05617239676894,28.1869,31171452167.069878
40.403576185035895,64.05617239676894,28.1869,31179597256.473537
40.403576185035895,64.05617239676894,28.1869,31179597256.473537
40.40419780443611,64.05617239676894,28.1869,31180766339.598843
40.413256231464445,64.05617239676894,28.1869,31197807065.3198
40.408965172347585,64.05617239676894,28.1869,31189733671.000042
40.40786800834709,64.05617239676894,28.1869,31187669719.45653
40.41205754808829,64.05617239676894,28.1869,31195551617.837
40.41282838183935,64.05617239676894,28.1869,31197002004.838028
40.40850088805572,64.05617239676894,28.1869,31188860258.46273
40.41395159001406,64.05617239676894,28.1869,31199115522.26237
40.41395159001406,64.05617239676894,28.1869,31199115522.26237
40.41395159001406,64.05617239676894,28.1869,31199115522.26237
40.416543522795216,64.05617239676894,28.1869,31203993201.663918
40.416543522795216,64.05617239676894,28.1869,31203993201.663918
40.41948742166333,64.05617239676894,28.1869,31209534070.66846
40.41948742166333,64.05617239676894,28.1869,31209534070.66846
40.4242516586269,64.05617239676894,28.1869,31218502977.964127
40.42852805581722,64.05617239676894,28.1869,31226555486.19225
40.4377842571771,64.05617239676894,28.1869,31243991454.801838
40.4377842571771,64.05617239676894,28.1869,31243991454.801838
40.4377842571771,64.05617239676894,28.1869,31243991454.801838
40.443307189076414,64.05617239676894,28.1869,31254399229.87901
40.44215686483598,64.05617239676894,28.1869,31252231225.06179
40.44215686483598,64.05617239676894,28.1869,31252231225.06179
40.44215686483598,64.05617239676894,28.1869,31252231225.06179
40.45029202218446,64.05617239676894,28.1869,31267566396.309834
40.45029202218446,64.05617239676894,28.1869,31267566396.309834
40.45128871976763,64.05617239676894,28.1359,31213597670.11723
40.455371819327034,64.05617239676894,28.1359,31221264764.080654
40.46257742556695,64.05617239676894,28.1359,31234799322.628677
40.46257742556695,64.05617239676894,28.1359,31234799322.628677
40.46482247199412,64.05617239676894,28.1359,31239017356.34201
40.468141909037534,64.05617239676894,28.1359,31245254914.5616
40.46857922166282,64.05617239676894,28.1359,31246076752.877537
40.46596190281407,64.05617239676894,28.1359,31241158335.76441
40.47443122762814,64.05617239676894,28.1359,31257076257.49642
40.47443122762814,64.05617239676894,28.1359,31257076257.49642
40.47443122762814,64.05617239676894,28.1359,31257076257.49642
40.48360978124357,64.05617239676894,28.1359,31274335410.783543
40.47847202563358,64.05617239676894,28.1359,31264673428.64944
40.48295924163647,64.05617239676894,28.1359,31273111867.485256
40.48295924163647,64.05617239676894,28.1359,31273111867.485256
40.487647063641525,64.05617239676894,28.1359,31281929748.540634
40.47873356912244,64.05617239676894,28.1359,31265165218.215816
40.499159570786155,64.05617239676894,28.1359,31303594502.777443
40.49511365905768,64.05617239676894,28.1359,31295979182.610703
40.49046527591403,64.05617239676894,28.1359,31287231937.284084
40.489807657606875,64.05617239676894,28.1359,31285994620.76252
40.49391321791462,64.05617239676894,28.1359,31293720002.49585
40.491767340781756,64.05617239676894,28.1359,31289681917.683727
40.49578232532371,64.05617239676894,28.1359,31297237648.380695
40.49578232532371,64.05617239676894,28.1359,31297237648.380695
40.49578232532371,64.05617239676894,28.1359,31297237648.380695
40.49175513052009,64.05617239676894,28.1359,31289658941.909985
40.49963840715124,64.05617239676894,28.1359,31304495891.60738
40.497172537598225,64.05617239676894,28.1359,31299854248.496822
40.50585181834842,64.05617239676894,28.1359,31316194493.51454
40.50541844617828,64.05617239676894,28.1359,31315378413.085278
40.500376101340095,64.05617239676894,28.1359,31305884614.951096
40.51395298597756,64.05617239676894,28.1359,31331453283.84572
40.520197299001396,64.05617239676894,28.1359,31343219211.478004
40.51463181938101,64.05617239676894,28.1359,31332732191.33125
40.518776280386355,64.05617239676894,28.1359,31340541288.328533
40.518776280386355,64.05617239676894,28.1359,31340541288.328533
40.5248481108813,64.05617239676894,28.1359,31351985155.14599
40.5248481108813,64.05617239676894,28.1359,31351985155.14599
40.52372252113569,64.05617239676894,28.1359,31349863418.011044
40.52372252113569,64.05617239676894,28.1359,31349863418.011044
40.52372252113569,64.05617239676894,28.0848,31293613787.351894
