Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-07-08-17:21:00,34,96.8366,76.6592,56.0,55.36859
2019-07-08-17:21:01,34,97.0155,76.6592,56.0,55.36859
2019-07-08-17:21:02,34,96.8475,76.6592,56.0,55.36859
2019-07-08-17:21:03,34,97.0057,76.6592,56.0,55.36859
2019-07-08-17:21:04,34,96.8564,76.6592,56.0,55.36859
2019-07-08-17:21:05,34,96.8564,76.6592,56.0,55.36859
2019-07-08-17:21:06,34,96.8564,76.2012,56.0,55.36859
2019-07-08-17:21:07,34,96.8564,76.2012,56.0,55.36859
2019-07-08-17:21:08,34,96.9621,76.2012,56.0,55.36859
2019-07-08-17:21:09,34,96.9621,76.2012,56.0,55.36859
2019-07-08-17:21:10,34,96.828,76.2012,56.0,55.36859
2019-07-08-17:21:11,34,96.828,76.501,56.0,55.36859
2019-07-08-17:21:12,34,97.3087,76.501,56.0,55.36859
2019-07-08-17:21:13,34,97.3087,76.7099,56.0,55.36859
2019-07-08-17:21:14,34,97.3087,76.5686,56.0,55.36859
2019-07-08-17:21:15,34,97.3087,76.5686,56.0,55.36859
2019-07-08-17:21:16,34,97.3087,76.5686,56.0,55.36859
2019-07-08-17:21:17,34,97.3087,76.5686,56.0,55.36859
2019-07-08-17:21:18,34,97.3087,76.7453,56.0,55.36859
2019-07-08-17:21:19,34,97.3087,76.5663,56.0,55.36859
2019-07-08-17:21:20,34,97.3087,76.7579,56.0,55.36859
2019-07-08-17:21:21,34,97.4164,76.5698,56.0,55.36859
2019-07-08-17:21:22,34,97.3096,76.5698,56.0,55.36859
2019-07-08-17:21:23,34,97.3096,76.7635,56.0,55.36859
2019-07-08-17:21:24,34,96.8316,76.5672,56.0,55.36859
2019-07-08-17:21:25,34,96.8316,76.7588,56.0,55.36859
2019-07-08-17:21:26,34,96.9352,76.5751,56.0,55.36859
2019-07-08-17:21:27,34,96.8286,76.5751,56.0,55.36859
2019-07-08-17:21:28,34,96.8286,76.7445,56.0,55.36859
2019-07-08-17:21:29,34,96.8286,76.5682,56.0,55.36859
2019-07-08-17:21:30,34,96.8286,76.3906,56.0,55.36859
2019-07-08-17:21:31,34,96.8286,76.1991,56.0,55.36859
2019-07-08-17:21:32,34,96.8286,76.3706,56.0,55.36859
2019-07-08-17:21:33,34,96.8286,76.2259,56.0,55.36859
2019-07-08-17:21:34,34,96.8286,76.2259,56.0,55.36859
2019-07-08-17:21:35,34,96.8286,76.4945,56.0,55.36859
2019-07-08-17:21:36,34,96.8286,76.4945,56.0,55.36859
2019-07-08-17:21:37,34,96.8286,76.6622,56.0,55.36859
2019-07-08-17:21:38,34,96.8286,76.6622,56.0,55.36859
2019-07-08-17:21:39,34,96.8286,76.6622,56.0,55.36859
2019-07-08-17:21:40,34,96.8286,76.6622,56.0,55.36859
2019-07-08-17:21:41,34,96.8286,76.2364,56.0,55.36859
2019-07-08-17:21:42,34,97.3011,76.2364,56.0,55.36859
2019-07-08-17:21:43,34,97.3011,76.2364,56.0,55.36859
2019-07-08-17:21:44,34,97.3011,76.2364,56.0,55.36859
2019-07-08-17:21:45,34,97.4136,76.2364,56.0,55.36859
2019-07-08-17:21:46,34,97.3106,76.2364,56.0,55.36859
2019-07-08-17:21:47,34,97.3106,76.4476,56.0,55.36859
2019-07-08-17:21:48,34,96.9514,76.661,56.0,55.36859
2019-07-08-17:21:49,34,96.8252,76.661,56.0,55.36859
2019-07-08-17:21:50,34,96.964,76.661,56.0,55.36859
2019-07-08-17:21:51,34,96.831,76.661,56.0,55.36859
2019-07-08-17:21:52,34,96.831,76.661,56.0,55.36859
2019-07-08-17:21:53,34,96.9897,76.661,56.0,55.36859
2019-07-08-17:21:54,34,96.8299,76.661,56.0,55.36859
2019-07-08-17:21:55,34,97.0058,76.661,56.0,55.36859
2019-07-08-17:21:56,34,96.8315,76.661,56.0,55.36859
2019-07-08-17:21:57,34,97.0179,76.661,56.0,55.36859
2019-07-08-17:21:58,34,96.8298,76.661,56.0,55.36859
2019-07-08-17:21:59,34,96.8298,76.3315,56.0,55.36859
2019-07-08-17:22:00,34,97.0336,76.3315,56.0,55.36859
2019-07-08-17:22:01,34,96.8317,76.199,56.0,55.36859
2019-07-08-17:22:02,34,97.0425,76.199,56.0,55.36859
2019-07-08-17:22:03,34,96.8355,76.199,56.0,55.36859
2019-07-08-17:22:04,34,96.8355,76.199,56.0,55.36859
2019-07-08-17:22:05,34,97.0355,76.5749,56.0,55.36859
2019-07-08-17:22:06,34,96.8393,76.5749,56.0,55.36859
2019-07-08-17:22:07,34,97.0226,76.5749,56.0,55.36859
2019-07-08-17:22:08,34,96.8408,76.5749,56.0,55.36859
2019-07-08-17:22:09,34,96.8408,76.5749,56.0,55.36859
2019-07-08-17:22:10,34,96.8408,76.5749,56.0,55.36859
2019-07-08-17:22:11,34,96.8408,76.4008,56.0,55.36859
2019-07-08-17:22:12,34,96.9901,76.4008,56.0,55.36859
2019-07-08-17:22:13,34,96.8624,76.2002,56.0,55.36859
2019-07-08-17:22:14,34,96.8624,76.2002,56.0,55.36859
2019-07-08-17:22:15,34,96.8624,76.2002,56.0,55.36859
2019-07-08-17:22:16,34,96.8624,76.2002,56.0,55.36859
2019-07-08-17:22:17,34,96.8624,76.6521,56.0,55.36859
2019-07-08-17:22:18,34,96.8624,76.6521,56.0,55.36859
2019-07-08-17:22:19,34,96.8624,76.6521,56.0,55.36859
2019-07-08-17:22:20,34,96.8624,76.6521,56.0,55.36859
2019-07-08-17:22:21,34,96.8624,76.6521,56.0,55.36859
2019-07-08-17:22:22,34,96.8624,76.6521,56.0,55.36859
2019-07-08-17:22:23,34,96.8624,76.329,56.0,55.36859
2019-07-08-17:22:24,34,96.8624,76.329,56.0,55.36859
2019-07-08-17:22:25,34,96.8624,76.2024,56.0,55.36859
2019-07-08-17:22:26,34,96.8624,76.2024,56.0,55.36859
