Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-08-05-18:15:00,43.4345,94.9566,74.8435,29.0,28.38372
2019-08-05-18:15:01,43.4345,95.2238,74.8435,29.0,28.38372
2019-08-05-18:15:02,43.4345,94.6761,74.702,29.0,28.38372
2019-08-05-18:15:03,43.4345,95.0448,74.702,29.0,28.38372
2019-08-05-18:15:04,43.4345,95.1873,74.8358,29.0,28.38372
2019-08-05-18:15:05,43.4345,95.2971,74.7346,29.0,28.38372
2019-08-05-18:15:06,41.4345,95.1933,74.8507,29.0,28.38372
2019-08-05-18:15:07,41.4345,95.1933,74.7339,29.0,28.38372
2019-08-05-18:15:08,41.4345,95.0313,74.7339,29.0,28.38372
2019-08-05-18:15:09,41.4345,95.2595,74.9253,29.0,28.38372
2019-08-05-18:15:10,41.4345,95.0015,74.9253,30.0,28.38372
2019-08-05-18:15:11,41.4345,95.1957,74.8069,30.0,28.38372
2019-08-05-18:15:12,41.4345,94.9954,74.8069,31.0,28.56178
2019-08-05-18:15:13,41.4345,95.387,74.8069,31.0,28.68284
2019-08-05-18:15:14,41.4345,95.0174,74.8069,31.0,28.80542
2019-08-05-18:15:15,41.4345,95.1864,74.8069,32.0,29.08517
2019-08-05-18:15:16,41.4345,95.1864,74.8069,32.0,29.33754
2019-08-05-18:15:17,41.4345,95.1864,74.8069,33.0,29.77008
2019-08-05-18:15:18,41.4345,95.1864,74.9303,33.0,30.15307
2019-08-05-18:15:19,41.4345,95.0312,74.7626,34.0,30.74247
2019-08-05-18:15:20,41.4345,95.1936,74.8745,34.0,31.08863
2019-08-05-18:15:21,41.4345,95.1936,74.8745,35.0,31.33814
2019-08-05-18:15:22,41.4345,95.0467,75.1137,35.0,31.33814
2019-08-05-18:15:23,41.4345,95.2818,75.1137,35.0,32.09263
2019-08-05-18:15:24,41.4345,95.0685,74.802,36.0,32.47322
2019-08-05-18:15:25,41.4345,95.0685,74.802,36.0,32.86822
2019-08-05-18:15:26,39.5,95.0685,74.802,37.0,33.12144
2019-08-05-18:15:27,39.5,95.0685,74.802,37.0,33.6055
2019-08-05-18:15:28,39.5,95.0685,75.3343,37.0,33.97558
2019-08-05-18:15:29,39.5,94.9159,74.9854,37.0,34.50553
2019-08-05-18:15:30,39.5,94.9159,74.8163,37.0,34.88803
2019-08-05-18:15:31,39.5,95.0553,74.9827,37.0,35.30124
2019-08-05-18:15:32,39.5,95.0553,75.1758,37.0,35.54979
2019-08-05-18:15:33,39.5,95.0553,74.9407,37.0,35.81959
2019-08-05-18:15:34,39.5,95.0553,74.9407,37.0,35.95006
2019-08-05-18:15:35,39.5,95.0553,74.7186,37.0,35.95006
2019-08-05-18:15:36,39.5,95.0553,74.8695,37.0,36.11519
2019-08-05-18:15:37,39.5,94.7028,74.5662,37.0,36.11519
2019-08-05-18:15:38,39.5,95.0323,75.175,37.0,36.11519
2019-08-05-18:15:39,39.5,95.0323,74.7557,37.0,36.11519
2019-08-05-18:15:40,39.5,95.2511,74.9704,37.0,36.11519
2019-08-05-18:15:41,39.5,95.0181,74.7371,37.0,36.11519
2019-08-05-18:15:42,39.5,95.162,74.7371,37.0,36.11519
2019-08-05-18:15:43,39.5,94.9883,74.9042,37.0,36.11519
2019-08-05-18:15:44,39.5,94.9883,74.7706,37.0,36.11519
2019-08-05-18:15:45,39.5,94.9883,74.8873,37.0,36.11519
2019-08-05-18:15:46,39.5,95.2397,74.8873,37.0,36.11519
2019-08-05-18:15:47,39.5,94.9456,74.5839,37.0,36.11519
2019-08-05-18:15:48,39.5,94.9456,74.9135,37.0,36.11519
2019-08-05-18:15:49,39.5,94.9456,74.7678,37.0,36.11519
2019-08-05-18:15:50,39.5,94.9456,74.7678,37.0,36.11519
2019-08-05-18:15:51,39.5,95.056,74.7678,37.0,36.11519
2019-08-05-18:15:52,39.5,95.056,74.7678,37.0,36.11519
2019-08-05-18:15:53,39.5,95.056,74.9185,37.0,36.11519
2019-08-05-18:15:54,39.5,95.056,74.7705,37.0,36.11519
2019-08-05-18:15:55,39.5,94.7067,74.9482,37.0,36.11519
2019-08-05-18:15:56,39.5,95.0714,74.9482,37.0,36.11519
2019-08-05-18:15:57,39.5,94.9199,74.8047,37.0,36.11519
2019-08-05-18:15:58,39.5,95.1649,74.8047,37.0,36.11519
2019-08-05-18:15:59,39.5,94.8621,74.8047,37.0,36.11519
2019-08-05-18:16:00,39.5,94.9942,74.8047,37.0,36.11519
2019-08-05-18:16:01,39.5,94.8159,74.8047,37.0,36.11519
2019-08-05-18:16:02,39.5,95.1741,74.9293,37.0,36.11519
2019-08-05-18:16:03,39.5,95.1741,74.9293,37.0,36.11519
2019-08-05-18:16:04,39.5,95.1741,74.7488,37.0,36.11519
2019-08-05-18:16:05,39.5,95.0432,74.8848,37.0,36.11519
