Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-07-15-09:40:17,47,95.0891,75.2085,48.0,48.63281
2019-07-15-09:40:18,47,95.5428,75.0723,48.0,48.63281
2019-07-15-09:40:19,47,95.2515,75.394,49.0,48.63281
2019-07-15-09:40:20,47,95.546,74.9953,49.0,48.63281
2019-07-15-09:40:21,47,95.3532,74.9953,50.0,48.74455
2019-07-15-09:40:22,47,95.1495,75.3808,50.0,48.89487
2019-07-15-09:40:23,47,95.3501,75.0751,50.0,49.15814
2019-07-15-09:40:24,47,95.3501,75.0751,51.0,49.46274
2019-07-15-09:40:25,47,95.3501,75.0751,51.0,49.77134
2019-07-15-09:40:26,47,95.2055,74.9315,52.0,50.15561
2019-07-15-09:40:27,47,95.3976,75.1255,52.0,50.46178
2019-07-15-09:40:28,47,95.2046,75.0004,53.0,50.72037
2019-07-15-09:40:29,47,95.3954,75.1516,53.0,51.14646
2019-07-15-09:40:30,47,95.1417,75.1516,54.0,51.60426
2019-07-15-09:40:31,47,95.4624,75.1516,54.0,52.02511
2019-07-15-09:40:32,47,95.1112,74.9757,54.0,52.47356
2019-07-15-09:40:33,47,95.5131,75.223,55.0,52.82947
2019-07-15-09:40:34,47,95.1613,74.8544,55.0,53.13759
2019-07-15-09:40:35,47,95.4527,75.1805,56.0,53.52431
2019-07-15-09:40:36,47,95.3103,75.046,56.0,53.82909
2019-07-15-09:40:37,47,95.6359,75.2019,56.0,54.21192
2019-07-15-09:40:38,47,95.4576,74.8345,56.0,54.5175
2019-07-15-09:40:39,47,95.4576,75.1569,56.0,54.82816
2019-07-15-09:40:40,47,95.4576,74.8867,56.0,55.07969
2019-07-15-09:40:41,47,95.5904,75.0699,56.0,55.25465
2019-07-15-09:40:42,47,95.0258,75.0699,56.0,55.37351
2019-07-15-09:40:43,47,95.5103,75.0699,56.0,55.37351
2019-07-15-09:40:44,47,95.0343,75.0699,56.0,55.37351
2019-07-15-09:40:45,47,95.4836,75.0699,56.0,55.37351
2019-07-15-09:40:46,47,95.15,75.0699,56.0,55.37351
2019-07-15-09:40:47,47,95.4303,75.0699,56.0,55.37351
2019-07-15-09:40:48,47,95.1249,75.0699,56.0,55.37351
2019-07-15-09:40:49,47,95.4156,75.2015,56.0,55.37351
2019-07-15-09:40:50,47,95.4156,74.8974,56.0,55.37351
2019-07-15-09:40:51,47,95.5677,75.059,56.0,55.37351
2019-07-15-09:40:52,47,95.3405,74.9569,56.0,55.37351
2019-07-15-09:40:53,47,95.4412,75.0784,56.0,55.37351
2019-07-15-09:40:54,47,95.0544,75.0784,56.0,55.37351
2019-07-15-09:40:55,47,95.4655,75.0784,56.0,55.37351
2019-07-15-09:40:56,47,95.2585,75.0784,56.0,55.37351
2019-07-15-09:40:57,47,95.4916,75.0784,56.0,55.37351
2019-07-15-09:40:58,47,95.4916,75.0784,56.0,55.37351
2019-07-15-09:40:59,47,95.0758,75.0784,56.0,55.37351
2019-07-15-09:41:00,47,95.49,75.0784,56.0,55.37351
2019-07-15-09:41:01,47,95.3525,75.0784,56.0,55.37351
2019-07-15-09:41:02,47,95.4928,74.9623,56.0,55.37351
2019-07-15-09:41:03,47,95.2461,74.9623,56.0,55.37351
2019-07-15-09:41:04,47,95.1281,75.1475,56.0,55.37351
2019-07-15-09:41:05,47,95.2794,74.8495,56.0,55.37351
2019-07-15-09:41:06,47,95.2794,75.2149,56.0,55.37351
2019-07-15-09:41:07,47,95.2794,74.9983,56.0,55.37351
2019-07-15-09:41:08,47,95.2794,74.9983,56.0,55.37351
2019-07-15-09:41:09,47,95.0711,74.9983,56.0,55.37351
2019-07-15-09:41:10,47,95.4129,74.9983,56.0,55.37351
2019-07-15-09:41:11,47,95.0366,75.1894,56.0,55.37351
2019-07-15-09:41:12,47,95.6432,75.0666,56.0,55.37351
2019-07-15-09:41:13,47,95.0468,75.0666,56.0,55.37351
2019-07-15-09:41:14,47,95.6086,75.0666,56.0,55.37351
2019-07-15-09:41:15,47,95.0605,75.0666,56.0,55.37351
2019-07-15-09:41:16,47,95.4074,75.269,56.0,55.37351
2019-07-15-09:41:17,47,95.4074,74.7889,56.0,55.37351
2019-07-15-09:41:18,47,95.4074,75.2429,56.0,55.37351
2019-07-15-09:41:19,47,95.1915,74.8215,56.0,55.37351
2019-07-15-09:41:20,47,95.4402,75.0742,56.0,55.37351
2019-07-15-09:41:21,47,94.9857,75.0742,56.0,55.37351
2019-07-15-09:41:22,47,95.5748,74.9675,56.0,55.37351
2019-07-15-09:41:23,47,94.9699,74.9675,56.0,55.37351
2019-07-15-09:41:24,47,95.5559,74.9675,56.0,55.37351
2019-07-15-09:41:25,47,95.3035,75.074,56.0,55.37351
2019-07-15-09:41:26,47,95.3035,75.2348,56.0,55.37351
2019-07-15-09:41:27,47,95.0536,75.0385,56.0,55.37351
2019-07-15-09:41:28,47,95.4141,75.1434,56.0,55.37351
2019-07-15-09:41:29,47,95.1331,75.1434,56.0,55.37351
2019-07-15-09:41:30,47,95.4237,75.1434,56.0,55.37351
2019-07-15-09:41:31,47,95.4237,75.1434,56.0,55.37351
2019-07-15-09:41:32,47,95.4237,75.1434,56.0,55.37351
