Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0230:GACT,CPT:CM02:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-07-12-19:04:34,51.2,95.5089,74.8421,14.6595,33.0847,64.0,64.62099
2019-07-12-19:04:35,51.2,95.306,74.7075,14.6783,33.0847,64.0,64.62099
2019-07-12-19:04:36,51.2,95.4758,74.8381,14.6783,33.0847,64.0,64.62099
2019-07-12-19:04:37,51.2,95.0566,74.7112,14.6783,33.0847,64.0,64.62099
2019-07-12-19:04:38,51.2,95.5031,74.8152,14.6783,33.0847,64.0,64.62099
2019-07-12-19:04:39,51.2,95.3177,74.8152,14.6783,33.0847,64.0,64.62099
2019-07-12-19:04:40,51.2,95.1787,74.5302,14.6783,33.0847,64.0,64.62099
2019-07-12-19:04:41,51.2,95.018,74.7725,14.6783,33.0847,64.0,64.62099
2019-07-12-19:04:42,51.2,95.3248,74.7725,14.6783,33.0847,64.0,64.62099
2019-07-12-19:04:43,51.2,95.3248,74.7725,14.6783,33.0847,64.0,64.62099
2019-07-12-19:04:44,51.2,95.3248,74.7725,14.6783,33.0847,64.0,64.62099
2019-07-12-19:04:45,51.2,95.3248,74.7725,14.6906,33.0847,64.0,64.62099
2019-07-12-19:04:46,51.2,95.193,74.7725,14.6793,33.0847,64.0,64.62099
2019-07-12-19:04:47,51.2,95.0708,74.7725,14.6793,33.0847,64.0,64.62099
2019-07-12-19:04:48,51.2,95.2869,74.7725,14.6793,33.0847,64.0,64.62099
2019-07-12-19:04:49,51.2,95.0567,74.7725,14.6793,33.0847,64.0,64.62099
2019-07-12-19:04:50,51.2,95.3687,74.7725,14.6793,33.0847,64.0,64.62099
2019-07-12-19:04:51,51.2,95.0478,74.7725,14.6793,33.0847,64.0,64.62099
2019-07-12-19:04:52,51.2,95.316,74.7725,14.6793,33.0847,64.0,64.62099
2019-07-12-19:04:53,51.2,95.0637,74.7725,14.6683,33.0847,64.0,64.62099
2019-07-12-19:04:54,51.2,95.0637,74.7725,14.6683,33.0847,64.0,64.62099
2019-07-12-19:04:55,51.2,95.4062,74.5155,14.6683,33.0847,64.0,64.62099
2019-07-12-19:04:56,51.2,95.2251,74.8284,14.6683,33.0847,64.0,64.62099
2019-07-12-19:04:57,51.2,95.1229,74.8284,14.6683,33.0847,64.0,64.62099
2019-07-12-19:04:58,51.2,95.0171,74.5392,14.6683,33.0847,64.0,64.62099
2019-07-12-19:04:59,51.2,95.2319,74.7078,14.6683,33.0847,64.0,64.62099
2019-07-12-19:05:00,51.2,95.1278,74.7078,14.6683,33.0847,64.0,64.62099
2019-07-12-19:05:01,51.2,95.2405,74.9104,14.6683,33.0847,64.0,64.62099
2019-07-12-19:05:02,51.2,95.432,74.6101,14.6683,33.0847,64.0,64.62099
2019-07-12-19:05:03,51.2,95.432,74.8255,14.6701,33.0847,64.0,64.62099
2019-07-12-19:05:04,51.2,95.3148,74.5849,14.6701,33.0847,64.0,64.62099
2019-07-12-19:05:05,51.2,95.3148,74.7188,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:06,51.2,95.197,74.7188,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:07,51.2,95.4398,74.7188,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:08,51.2,94.9969,74.7188,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:09,51.2,95.3197,74.7188,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:10,51.2,95.3197,74.7188,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:11,51.2,95.1209,74.7188,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:12,51.2,95.2287,74.7188,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:13,51.2,95.4038,74.8295,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:14,51.2,95.2377,74.6092,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:15,51.2,95.2377,74.8249,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:16,51.2,94.9701,74.6246,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:17,51.2,95.548,74.7355,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:18,51.2,94.8256,74.7355,14.6884,33.0847,64.0,64.62099
2019-07-12-19:05:19,51.2,95.513,74.7355,14.6884,33.1353,64.0,64.62099
2019-07-12-19:05:20,51.2,95.006,74.8501,14.6884,33.1353,64.0,64.62099
2019-07-12-19:05:21,51.2,95.1449,74.8501,14.6884,33.1353,64.0,64.62099
2019-07-12-19:05:22,51.2,95.2598,74.6662,14.6884,33.1353,64.0,64.62099
2019-07-12-19:05:23,51.2,95.2598,74.8107,14.6884,33.1353,64.0,64.62099
2019-07-12-19:05:24,51.2,95.2598,74.6233,14.6884,33.1353,64.0,64.62099
2019-07-12-19:05:25,51.2,95.1003,74.6233,14.6777,33.1353,64.0,64.62099
2019-07-12-19:05:26,51.2,95.1003,74.5177,14.6777,33.1353,64.0,64.62099
2019-07-12-19:05:27,51.2,95.4432,74.6734,14.6777,33.1353,64.0,64.62099
2019-07-12-19:05:28,51.2,95.0028,74.6734,14.6777,33.1353,64.0,64.62099
2019-07-12-19:05:29,51.2,95.2136,74.6734,14.6777,33.1353,64.0,64.62099
2019-07-12-19:05:30,51.2,95.0564,74.8113,14.6777,33.1353,64.0,64.62099
2019-07-12-19:05:31,51.2,95.0564,74.6993,14.6887,33.1353,64.0,64.62099
2019-07-12-19:05:32,51.2,95.348,74.6993,14.6887,33.1353,64.0,64.62099
2019-07-12-19:05:33,51.2,95.101,74.458,14.6887,33.1353,64.0,64.62099
2019-07-12-19:05:34,51.2,95.3642,74.6642,14.6887,33.1353,64.0,64.62099
2019-07-12-19:05:35,51.2,95.0898,74.6642,14.6887,33.1353,64.0,64.62099
2019-07-12-19:05:36,51.2,95.0898,74.6642,14.6887,33.1353,64.0,64.62099
2019-07-12-19:05:37,51.2,95.3403,74.8091,14.6887,33.1353,64.0,64.62099
2019-07-12-19:05:38,51.2,95.0951,74.6997,14.702,33.1353,64.0,64.62099
2019-07-12-19:05:39,51.2,95.0951,74.6997,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:40,51.2,95.2748,74.83,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:41,51.2,95.08,74.5938,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:42,51.2,95.3218,74.7492,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:43,51.2,94.9405,74.6416,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:44,51.2,95.3611,74.7624,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:45,51.2,94.952,74.6023,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:46,51.2,95.2724,74.6023,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:47,51.2,95.2724,74.7214,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:48,51.2,95.2724,74.7214,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:49,51.2,94.8251,74.452,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:50,51.2,95.0902,74.7966,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:51,51.2,94.947,74.642,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:52,51.2,95.1077,74.642,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:53,51.2,94.9645,74.642,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:54,51.2,95.1007,74.642,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:55,51.2,94.9699,74.8012,14.691,33.1353,64.0,64.62099
2019-07-12-19:05:56,51.2,94.9699,74.8012,14.7013,33.1353,64.0,64.62099
2019-07-12-19:05:57,51.2,94.9699,74.6466,14.7013,33.1353,64.0,64.62099
2019-07-12-19:05:58,51.2,95.2696,74.6466,14.7013,33.1353,64.0,64.62099
2019-07-12-19:05:59,51.2,95.0257,74.4454,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:00,51.2,95.4342,74.7496,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:01,51.2,94.8911,74.5785,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:02,51.2,95.0358,74.5785,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:03,51.2,95.0358,74.5785,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:04,51.2,95.0358,74.4077,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:05,51.2,95.0358,74.6875,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:06,51.2,95.0358,74.5686,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:07,51.2,95.0358,74.5686,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:08,51.2,95.3449,74.5686,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:09,51.2,95.0036,74.3592,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:10,51.2,95.0036,74.5511,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:11,51.2,95.3564,74.5511,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:12,51.2,95.1684,74.5511,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:13,51.2,94.9986,74.7432,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:14,51.2,94.8797,74.5014,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:15,51.2,95.207,74.6705,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:16,51.2,95.3149,74.5599,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:17,51.2,95.3149,74.7226,14.7013,33.1353,64.0,64.62099
2019-07-12-19:06:18,51.2,94.9501,74.7226,14.6896,33.1353,64.0,64.62099
2019-07-12-19:06:19,51.2,94.9501,74.7226,14.6896,33.1353,64.0,64.62099
2019-07-12-19:06:20,51.2,94.7153,74.3912,14.6896,33.1353,64.0,64.62099
2019-07-12-19:06:21,51.2,95.2017,74.5769,14.6896,33.1353,64.0,64.62099
2019-07-12-19:06:22,51.2,94.8402,74.7371,14.6896,33.1353,64.0,64.62099
2019-07-12-19:06:23,51.2,95.4458,74.6271,14.6896,33.1353,64.0,64.62099
2019-07-12-19:06:24,51.2,94.9457,74.7832,14.6896,33.1353,64.0,64.62099
2019-07-12-19:06:25,51.2,95.2315,74.567,14.6896,33.1353,64.0,64.62099
2019-07-12-19:06:26,51.2,95.3558,74.567,14.7001,33.1353,64.0,64.62099
2019-07-12-19:06:27,51.2,95.0037,74.7928,14.7001,33.1353,64.0,64.62099
2019-07-12-19:06:28,51.2,95.0037,74.4304,14.7001,33.1353,64.0,64.62099
2019-07-12-19:06:29,51.2,95.0037,74.8019,14.7001,33.1353,64.0,64.62099
2019-07-12-19:06:30,51.2,94.8749,74.614,14.69,33.1353,64.0,64.62099
2019-07-12-19:06:31,51.2,95.2321,74.614,14.69,33.1353,64.0,64.62099
2019-07-12-19:06:32,51.2,95.1304,74.4105,14.69,33.1353,64.0,64.62099
2019-07-12-19:06:33,51.2,95.1304,74.4105,14.7069,33.1353,64.0,64.62099
2019-07-12-19:06:34,51.2,94.6173,74.6115,14.7069,33.1353,64.0,64.62099
2019-07-12-19:06:35,51.2,95.4262,74.6115,14.7069,33.1353,64.0,64.62099
2019-07-12-19:06:36,51.2,94.9386,74.6115,14.6937,33.1854,64.0,64.62099
2019-07-12-19:06:37,51.2,94.9386,74.6115,14.6937,33.1854,64.0,64.62099
2019-07-12-19:06:38,51.2,95.108,74.4978,14.6937,33.1854,64.0,64.62099
2019-07-12-19:06:39,51.2,95.108,74.6229,14.6937,33.1854,64.0,64.62099
2019-07-12-19:06:40,51.2,94.8008,74.6229,14.7045,33.1854,64.0,64.62099
2019-07-12-19:06:41,51.2,95.0994,74.6229,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:42,51.2,94.853,74.462,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:43,51.2,95.1031,74.462,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:44,51.2,95.1031,74.462,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:45,51.2,95.1031,74.462,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:46,51.2,94.997,74.6488,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:47,51.2,94.997,74.6488,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:48,51.2,94.997,74.6488,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:49,51.2,94.997,74.6488,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:50,51.2,94.997,74.399,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:51,51.2,95.1096,74.399,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:52,51.2,94.9572,74.399,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:53,51.2,94.9572,74.6294,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:54,51.2,94.9572,74.6294,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:55,51.2,94.669,74.4008,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:56,51.2,94.8164,74.5901,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:57,51.2,94.9515,74.5901,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:58,51.2,94.9515,74.3617,14.6924,33.1854,64.0,64.62099
2019-07-12-19:06:59,51.2,94.9515,74.3617,14.6924,33.1854,64.0,64.62099
2019-07-12-19:07:00,51.2,94.9515,74.4912,14.6924,33.1854,64.0,64.62099
2019-07-12-19:07:01,51.2,94.9515,74.4912,14.6924,33.1854,64.0,64.62099
2019-07-12-19:07:02,51.2,94.9515,74.4912,14.6924,33.1854,64.0,64.62099
2019-07-12-19:07:03,51.2,94.9515,74.4912,14.6924,33.1854,64.0,64.62099
2019-07-12-19:07:04,51.2,94.9515,74.6989,14.6924,33.1854,64.0,64.62099
2019-07-12-19:07:05,51.2,94.9515,74.3546,14.6924,33.1854,64.0,64.62099
2019-07-12-19:07:06,51.2,94.9515,74.6203,14.6924,33.1854,64.0,64.62099
2019-07-12-19:07:07,51.2,94.9515,74.4565,14.7028,33.1854,64.0,64.62099
2019-07-12-19:07:08,51.2,95.3505,74.4565,14.7028,33.1854,64.0,64.62099
2019-07-12-19:07:09,51.2,94.929,74.4565,14.7028,33.1854,64.0,64.62099
2019-07-12-19:07:10,51.2,95.0473,74.4565,14.7028,33.1854,64.0,64.62099
2019-07-12-19:07:11,51.2,94.8737,74.4565,14.7028,33.1854,64.0,64.62099
2019-07-12-19:07:12,51.2,95.1996,74.577,14.6906,33.1854,64.0,64.62099
2019-07-12-19:07:13,51.2,94.9282,74.3664,14.6906,33.1854,64.0,64.62099
2019-07-12-19:07:14,51.2,95.0548,74.4911,14.6796,33.1854,64.0,64.62099
2019-07-12-19:07:15,51.2,94.8313,74.4911,14.6796,33.1854,64.0,64.62099
2019-07-12-19:07:16,51.2,95.0058,74.4911,14.6796,33.1854,64.0,64.62099
2019-07-12-19:07:17,51.2,94.716,74.347,14.6796,33.1854,64.0,64.62099
2019-07-12-19:07:18,51.2,95.0901,74.5956,14.6918,33.1854,64.0,64.62099
2019-07-12-19:07:19,51.2,94.6163,74.4354,14.6918,33.1854,64.0,64.62099
2019-07-12-19:07:20,51.2,94.8891,74.4354,14.6918,33.1854,64.0,64.62099
2019-07-12-19:07:21,51.2,94.6904,74.4354,14.6918,33.1854,64.0,64.62099
