Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,ACCL:L1B:0320:GACT,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-08-29-20:55:35,20.8,95.2341,74.5412,15.975,32.1985,36.0,36.89824
2019-08-29-20:55:36,20.8,95.0823,74.3474,15.9611,32.1985,36.0,36.89824
2019-08-29-20:55:37,20.8,95.2144,74.6257,15.9985,32.1985,36.0,36.89824
2019-08-29-20:55:38,20.8,95.2144,74.511,15.9985,32.1985,36.0,36.89824
2019-08-29-20:55:39,20.8,95.2144,74.511,15.9985,32.1985,36.0,36.89824
2019-08-29-20:55:40,20.8,95.2144,74.619,16.0025,32.1985,36.0,36.89824
2019-08-29-20:55:41,20.8,95.112,74.5079,16.0025,32.1985,36.0,36.89824
2019-08-29-20:55:42,20.8,95.112,74.3982,16.0025,32.1985,36.0,36.89824
2019-08-29-20:55:43,20.8,95.441,74.5357,16.0025,32.1985,36.0,36.89824
2019-08-29-20:55:44,20.8,95.2109,74.424,16.0025,32.1985,36.0,36.89824
2019-08-29-20:55:45,20.8,95.3142,74.424,16.0014,32.1985,36.0,36.89824
2019-08-29-20:55:46,20.8,95.3142,74.424,15.9899,32.1985,36.0,36.89824
2019-08-29-20:55:47,20.8,95.3142,74.424,15.9899,32.1985,36.0,36.89824
2019-08-29-20:55:48,20.8,95.3142,74.5878,16.0062,32.1985,36.0,36.89824
2019-08-29-20:55:49,20.8,94.972,74.403,16.0062,32.1985,36.0,36.89824
2019-08-29-20:55:50,20.8,95.3356,74.2801,15.9941,32.1985,36.0,36.89824
2019-08-29-20:55:51,20.8,95.2068,74.2801,15.9941,32.1985,36.0,36.89824
2019-08-29-20:55:52,20.8,95.2068,74.5054,15.9941,32.1985,36.0,36.89824
2019-08-29-20:55:53,20.8,95.2068,74.5054,15.9941,32.1985,36.0,36.89824
2019-08-29-20:55:54,20.8,95.2068,74.5054,15.9941,32.1985,36.0,36.89824
2019-08-29-20:55:55,20.8,95.4037,74.3585,15.9895,32.1985,36.0,36.89824
2019-08-29-20:55:56,20.8,95.2175,74.3585,15.9788,32.1985,36.0,36.89824
2019-08-29-20:55:57,20.8,95.3681,74.3585,15.9788,32.1985,36.0,36.89824
2019-08-29-20:55:58,20.8,95.2311,74.3585,15.9788,32.1985,36.0,36.89824
2019-08-29-20:55:59,20.8,95.2311,74.3585,15.9788,32.1985,36.0,36.89824
2019-08-29-20:56:00,20.8,95.5514,74.3585,15.9788,32.1985,36.0,36.89824
2019-08-29-20:56:01,20.8,95.0795,74.528,15.9788,32.1985,36.0,36.89824
2019-08-29-20:56:02,20.8,95.3972,74.4165,15.9788,32.1985,36.0,36.89824
2019-08-29-20:56:03,20.8,95.0825,74.4165,15.9788,32.1985,36.0,36.89824
2019-08-29-20:56:04,20.8,95.0825,74.6204,15.9788,32.1985,36.0,36.89824
2019-08-29-20:56:05,20.8,95.3998,74.4428,15.9788,32.1985,36.0,36.89824
2019-08-29-20:56:06,20.8,95.1981,74.4428,15.9788,32.1985,36.0,36.89824
2019-08-29-20:56:07,20.8,95.3643,74.4428,15.9788,32.1985,36.0,36.89824
2019-08-29-20:56:08,20.8,95.2115,74.4428,15.9946,32.1985,36.0,36.89824
2019-08-29-20:56:09,20.8,95.2115,74.2726,15.9816,32.1985,36.0,36.89824
2019-08-29-20:56:10,20.8,95.2115,74.4882,15.9787,32.1985,36.0,36.89824
2019-08-29-20:56:11,20.8,95.0311,74.6509,15.9787,32.1985,36.0,36.89824
2019-08-29-20:56:12,20.8,95.3384,74.6509,15.9787,32.1985,36.0,36.89824
2019-08-29-20:56:13,20.8,95.162,74.3331,15.9787,32.1985,36.0,36.89824
2019-08-29-20:56:14,20.8,95.3321,74.3331,15.9787,32.1985,36.0,36.89824
2019-08-29-20:56:15,20.8,95.2255,74.4534,15.9787,32.1985,36.0,36.89824
2019-08-29-20:56:16,20.8,95.2255,74.4534,15.9922,32.1985,36.0,36.89824
2019-08-29-20:56:17,20.8,95.2255,74.4534,15.9912,32.1985,36.0,36.89824
2019-08-29-20:56:18,20.8,95.2255,74.3378,15.98,32.1985,36.0,36.89824
2019-08-29-20:56:19,20.8,95.0557,74.4798,15.98,32.1985,36.0,36.89824
2019-08-29-20:56:20,20.8,95.1742,74.4798,15.98,32.1985,36.0,36.89824
2019-08-29-20:56:21,20.8,95.1742,74.4798,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:22,20.8,95.1742,74.3313,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:23,20.8,95.309,74.6442,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:24,20.8,95.2033,74.5111,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:25,20.8,95.2033,74.2818,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:26,20.8,95.2033,74.6168,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:27,20.8,95.2033,74.4244,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:28,20.8,95.2033,74.4244,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:29,20.8,95.2033,74.5503,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:30,20.8,95.2033,74.2605,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:31,20.8,95.2033,74.532,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:32,20.8,95.2033,74.3531,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:33,20.8,95.3211,74.517,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:34,20.8,95.0162,74.3246,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:35,20.8,95.0162,74.3246,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:36,20.8,95.2131,74.3246,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:37,20.8,95.2131,74.3246,15.9908,32.1985,36.0,36.89824
2019-08-29-20:56:38,20.8,95.2131,74.5122,15.9908,32.2488,36.0,36.89824
2019-08-29-20:56:39,20.8,95.2131,74.5122,15.9908,32.2488,36.0,36.89824
2019-08-29-20:56:40,20.8,95.0336,74.5122,15.9908,32.2488,36.0,36.89824
2019-08-29-20:56:41,20.8,95.2062,74.5122,15.9908,32.2488,36.0,36.89824
2019-08-29-20:56:42,20.8,95.2062,74.3615,15.9908,32.2488,36.0,36.89824
2019-08-29-20:56:43,20.8,95.2062,74.3615,15.9908,32.2488,36.0,36.89824
2019-08-29-20:56:44,20.8,94.9395,74.3615,15.9908,32.2488,36.0,36.89824
2019-08-29-20:56:45,20.8,95.1685,74.3615,15.9908,32.2488,36.0,36.89824
