Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,ACCL:L1B:0330:GACT,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-04-04-12:03:00,24.8,95.5933,75.0604,11.2979,29.5196,64.0,63.4518
2019-04-04-12:03:01,24.8,95.5933,74.8562,11.2979,29.5196,64.0,63.4518
2019-04-04-12:03:02,24.8,95.5933,74.8562,11.2979,29.5196,64.0,63.4518
2019-04-04-12:03:03,24.8,95.7807,74.8562,12.0636,29.5196,64.0,63.4518
2019-04-04-12:03:04,24.8,95.5789,74.6619,12.0636,29.5196,64.0,63.4518
2019-04-04-12:03:05,24.8,95.5789,74.9136,12.0636,29.5196,64.0,63.4518
2019-04-04-12:03:06,24.8,95.5789,74.9136,12.0636,29.5196,64.0,63.4518
2019-04-04-12:03:07,24.8,95.5789,74.9136,12.0636,29.5196,64.0,63.4518
2019-04-04-12:03:08,24.8,95.6943,74.9136,12.8339,29.5196,64.0,63.4518
2019-04-04-12:03:09,24.8,95.5834,74.9136,12.8339,29.5196,64.0,63.4518
2019-04-04-12:03:10,24.8,95.5834,74.7129,12.8339,29.5196,64.0,63.4518
2019-04-04-12:03:11,24.8,95.5834,74.7129,12.8339,29.5196,64.0,63.4518
2019-04-04-12:03:12,24.8,95.5834,74.7129,13.6096,29.5196,64.0,63.4518
2019-04-04-12:03:13,24.8,95.5834,74.8323,13.6096,29.5196,64.0,63.4518
2019-04-04-12:03:14,24.8,95.5834,74.6708,13.6096,29.5196,64.0,63.4518
2019-04-04-12:03:15,24.8,95.5834,74.6708,13.6096,29.5196,64.0,63.4518
2019-04-04-12:03:16,24.8,95.5834,74.7956,13.5996,29.5196,64.0,63.4518
2019-04-04-12:03:17,24.8,95.5834,74.7956,14.3827,29.5196,64.0,63.4518
2019-04-04-12:03:18,24.8,95.5834,74.7956,14.3827,29.5196,64.0,63.4518
2019-04-04-12:03:19,24.8,95.5834,74.7956,14.3827,29.5196,64.0,63.4518
2019-04-04-12:03:20,24.8,95.5834,74.7956,14.3827,29.5196,64.0,63.4518
2019-04-04-12:03:21,24.8,95.5834,74.7956,14.3827,29.5196,64.0,63.4518
2019-04-04-12:03:22,24.8,95.5834,74.7956,15.1484,29.5196,64.0,63.4518
2019-04-04-12:03:23,24.8,95.5834,74.7956,15.1484,29.5196,64.0,63.4518
2019-04-04-12:03:24,24.8,95.5834,74.9136,15.1484,29.5196,64.0,63.4518
2019-04-04-12:03:25,24.8,95.7728,74.9136,15.1484,29.5196,64.0,63.4518
2019-04-04-12:03:26,24.8,95.5912,74.9136,15.9106,29.5196,64.0,63.4518
2019-04-04-12:03:27,24.8,95.5912,74.9136,15.9106,29.5196,64.0,63.4518
2019-04-04-12:03:28,24.8,95.5912,74.6193,15.9106,29.5196,64.0,63.4518
2019-04-04-12:03:29,24.8,95.5912,74.6193,15.9001,29.5196,64.0,63.4518
2019-04-04-12:03:30,24.8,95.5912,74.8342,15.9001,29.5196,64.0,63.4518
2019-04-04-12:03:31,24.8,95.5912,74.5832,16.6517,29.5196,64.0,63.4518
2019-04-04-12:03:32,24.8,95.5912,74.6997,16.6517,29.5196,64.0,63.4518
2019-04-04-12:03:33,24.8,95.5912,74.8373,16.6517,29.5196,64.0,63.4518
2019-04-04-12:03:34,24.8,95.476,74.8373,16.6517,29.5196,64.0,63.4518
2019-04-04-12:03:35,24.8,95.7911,74.7293,16.6517,29.5196,64.0,63.4518
2019-04-04-12:03:36,24.8,95.5453,74.7293,16.2626,29.5196,64.0,63.4518
2019-04-04-12:03:37,24.8,95.6932,74.8772,16.2626,29.5196,64.0,63.4518
2019-04-04-12:03:38,24.8,95.552,74.7241,16.2626,29.5196,64.0,63.4518
2019-04-04-12:03:39,24.8,95.8027,74.7241,16.2626,29.5196,64.0,63.4518
2019-04-04-12:03:40,24.8,95.5574,74.6184,15.8804,29.5196,64.0,63.4518
2019-04-04-12:03:41,24.8,95.5574,74.6184,15.8804,29.5196,64.0,63.4518
2019-04-04-12:03:42,24.8,95.7535,74.8317,15.8804,29.5196,64.0,63.4518
2019-04-04-12:03:43,24.8,95.5876,74.8317,15.8804,29.5196,64.0,63.4518
2019-04-04-12:03:44,24.8,95.5876,74.9476,15.8804,29.5196,64.0,63.4518
2019-04-04-12:03:45,24.8,95.5876,74.6859,16.0706,29.5196,64.0,63.4518
2019-04-04-12:03:46,24.8,95.7742,74.6859,16.0706,29.5196,64.0,63.4518
2019-04-04-12:03:47,24.8,95.5605,74.6859,16.0706,29.5196,64.0,63.4518
2019-04-04-12:03:48,24.8,95.5605,74.5849,16.0706,29.5196,64.0,63.4518
2019-04-04-12:03:49,24.8,95.7505,74.8227,16.0706,29.5196,64.0,63.4518
2019-04-04-12:03:50,24.8,95.5782,74.6047,15.969,29.5196,64.0,63.4518
2019-04-04-12:03:51,24.8,95.5782,74.6047,15.969,29.5196,64.0,63.4518
2019-04-04-12:03:52,24.8,95.5782,74.6047,15.969,29.5196,64.0,63.4518
2019-04-04-12:03:53,24.8,95.5782,74.7615,15.969,29.5196,64.0,63.4518
2019-04-04-12:03:54,24.8,95.9513,74.7615,16.0093,29.6216,64.0,63.4518
2019-04-04-12:03:55,24.8,95.5558,74.7615,16.0093,29.6216,64.0,63.4518
2019-04-04-12:03:56,24.8,95.5558,74.7615,16.0093,29.6216,64.0,63.4518
2019-04-04-12:03:57,24.8,95.5558,74.7615,16.0093,29.6216,64.0,63.4518
2019-04-04-12:03:58,24.8,95.5558,74.5861,16.0093,29.6216,64.0,63.4518
2019-04-04-12:03:59,24.8,95.733,75.003,15.9944,29.6216,64.0,63.4518
2019-04-04-12:04:00,24.8,95.6063,74.8446,15.9944,29.6216,64.0,63.4518
2019-04-04-12:04:01,24.8,95.7255,75.0188,15.9944,29.6216,64.0,63.4518
2019-04-04-12:04:02,24.8,95.7255,74.7526,15.9944,29.6216,64.0,63.4518
2019-04-04-12:04:03,24.8,95.5636,74.7526,15.9944,29.6216,64.0,63.4518
2019-04-04-12:04:04,24.8,95.7074,75.0058,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:05,24.8,95.7074,74.8165,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:06,24.8,95.7074,74.9198,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:07,24.8,95.7074,74.6101,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:08,24.8,95.5523,74.7768,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:09,24.8,95.5523,74.7768,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:10,24.8,95.5523,74.7768,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:11,24.8,95.8427,74.7768,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:12,24.8,95.6295,74.6061,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:13,24.8,95.6295,74.7305,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:14,24.8,95.6295,74.7305,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:15,24.8,95.6295,74.5963,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:16,24.8,95.6295,74.7046,15.9955,29.6216,64.0,63.4518
2019-04-04-12:04:17,24.8,95.6295,74.7046,15.9955,29.6216,64.0,63.4518
2019-04-04-12:04:18,24.8,95.6295,74.7046,15.9955,29.6216,64.0,63.4518
2019-04-04-12:04:19,24.8,95.6295,74.7046,15.9955,29.6216,64.0,63.4518
2019-04-04-12:04:20,24.8,95.6295,74.6033,15.9955,29.6216,64.0,63.4518
2019-04-04-12:04:21,24.8,95.6295,74.6033,15.9955,29.6216,64.0,63.4518
2019-04-04-12:04:22,24.8,95.6295,74.7908,15.9955,29.6216,64.0,63.4518
2019-04-04-12:04:23,24.8,95.6295,75.0231,15.9955,29.6216,64.0,63.4518
2019-04-04-12:04:24,24.8,95.6295,74.6948,15.9955,29.6216,64.0,63.4518
