Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,ACCL:L1B:0340:GACT,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-08-12-16:56:37,23.1,95.2934,74.5625,15.9324,31.7464,40.0,40.9191
2019-08-12-16:56:38,23.1,95.2934,74.6687,15.9324,31.7464,40.0,40.9191
2019-08-12-16:56:39,23.1,95.2934,74.6687,15.9324,31.7464,40.0,40.9191
2019-08-12-16:56:40,23.1,95.2934,74.5479,15.9324,31.7464,40.0,40.9191
2019-08-12-16:56:41,23.1,95.5221,74.6538,15.9324,31.7464,40.0,40.9191
2019-08-12-16:56:42,23.1,95.5221,74.6538,15.9223,31.7464,40.0,40.9191
2019-08-12-16:56:43,23.1,95.2449,74.6538,15.9223,31.7464,40.0,40.9191
2019-08-12-16:56:44,23.1,95.2449,74.6538,15.9533,31.7464,40.0,40.9191
2019-08-12-16:56:45,23.1,95.2449,74.6538,15.9533,31.7464,40.0,40.9191
2019-08-12-16:56:46,23.1,95.2449,74.6538,15.9767,31.7464,40.0,40.9191
2019-08-12-16:56:47,23.1,95.2449,74.6538,15.9767,31.7464,40.0,40.9191
2019-08-12-16:56:48,23.1,95.2449,74.6538,15.9767,31.7964,40.0,40.9191
2019-08-12-16:56:49,23.1,95.2449,74.5499,15.9877,31.7964,40.0,40.9191
2019-08-12-16:56:50,23.1,95.2449,74.7643,15.9877,31.7964,40.0,40.9191
2019-08-12-16:56:51,23.1,95.4563,74.5593,15.9877,31.7964,40.0,40.9191
2019-08-12-16:56:52,23.1,95.4563,74.5593,15.9877,31.7964,40.0,40.9191
2019-08-12-16:56:53,23.1,95.2316,74.7445,15.9877,31.7964,40.0,40.9191
2019-08-12-16:56:54,23.1,95.3443,74.5709,15.9877,31.7964,40.0,40.9191
2019-08-12-16:56:55,23.1,95.4627,74.7366,15.9877,31.7964,40.0,40.9191
2019-08-12-16:56:56,23.1,95.32,74.5861,15.9877,31.7964,40.0,40.9191
2019-08-12-16:56:57,23.1,95.32,74.5861,15.9877,31.7964,40.0,40.9191
2019-08-12-16:56:58,23.1,95.32,74.7051,15.9877,31.7964,40.0,40.9191
2019-08-12-16:56:59,23.1,95.32,74.7051,15.9766,31.7964,40.0,40.9191
2019-08-12-16:57:00,23.1,95.32,74.7051,15.9766,31.7964,40.0,40.9191
2019-08-12-16:57:01,23.1,95.5624,74.4864,15.9766,31.7964,40.0,40.9191
2019-08-12-16:57:02,23.1,95.2669,74.6754,15.9766,31.7964,40.0,40.9191
2019-08-12-16:57:03,23.1,95.2669,74.6754,15.9766,31.7964,40.0,40.9191
2019-08-12-16:57:04,23.1,95.3731,74.6754,15.9906,31.7964,40.0,40.9191
2019-08-12-16:57:05,23.1,95.3731,74.6754,15.9906,31.7964,40.0,40.9191
2019-08-12-16:57:06,23.1,95.3731,74.6754,15.9906,31.7964,40.0,40.9191
2019-08-12-16:57:07,23.1,95.257,74.6754,15.9906,31.7964,40.0,40.9191
2019-08-12-16:57:08,23.1,95.4329,74.6754,15.9906,31.7964,40.0,40.9191
2019-08-12-16:57:09,23.1,95.4329,74.4975,15.9906,31.7964,40.0,40.9191
2019-08-12-16:57:10,23.1,95.4329,74.6095,15.9787,31.7964,40.0,40.9191
2019-08-12-16:57:11,23.1,95.4329,74.6095,15.9787,31.7964,40.0,40.9191
2019-08-12-16:57:12,23.1,95.4329,74.6095,15.9787,31.7964,40.0,40.9191
2019-08-12-16:57:13,23.1,95.4329,74.6095,15.9787,31.7964,40.0,40.9191
2019-08-12-16:57:14,23.1,95.4329,74.6095,15.9787,31.7964,40.0,40.9191
2019-08-12-16:57:15,23.1,95.4329,74.6095,15.9787,31.7964,40.0,40.9191
2019-08-12-16:57:16,23.1,95.2112,74.6095,15.9787,31.7964,40.0,40.9191
2019-08-12-16:57:17,23.1,95.2112,74.6095,15.9787,31.7964,40.0,40.9191
2019-08-12-16:57:18,23.1,95.453,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:19,23.1,95.247,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:20,23.1,95.4086,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:21,23.1,95.2498,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:22,23.1,95.2498,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:23,23.1,95.2498,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:24,23.1,95.2498,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:25,23.1,95.3529,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:26,23.1,95.3529,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:27,23.1,95.5382,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:28,23.1,95.2748,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:29,23.1,95.4049,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:30,23.1,95.3036,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:31,23.1,95.3036,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:32,23.1,95.3036,74.6095,15.9888,31.7964,40.0,40.9191
2019-08-12-16:57:33,23.1,95.3036,74.6095,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:34,23.1,95.3036,74.6095,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:35,23.1,95.3036,74.6095,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:36,23.1,95.4391,74.3419,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:37,23.1,95.3105,74.6114,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:38,23.1,95.3105,74.6114,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:39,23.1,95.3105,74.6114,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:40,23.1,95.3105,74.6114,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:41,23.1,95.3105,74.3504,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:42,23.1,95.3105,74.4935,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:43,23.1,95.3105,74.4935,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:44,23.1,95.4696,74.4935,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:45,23.1,95.3283,74.4935,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:46,23.1,95.3283,74.4935,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:47,23.1,95.2105,74.4935,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:48,23.1,95.3171,74.4935,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:49,23.1,95.3171,74.4935,15.9992,31.7964,40.0,40.9191
2019-08-12-16:57:50,23.1,95.3171,74.4935,15.989,31.7964,40.0,40.9191
2019-08-12-16:57:51,23.1,95.2168,74.4935,15.989,31.7964,40.0,40.9191
2019-08-12-16:57:52,23.1,95.2168,74.744,15.989,31.7964,40.0,40.9191
2019-08-12-16:57:53,23.1,95.3489,74.5568,15.989,31.7964,40.0,40.9191
2019-08-12-16:57:54,23.1,95.195,74.707,15.989,31.7964,40.0,40.9191
2019-08-12-16:57:55,23.1,95.2964,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:57:56,23.1,95.2964,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:57:57,23.1,95.4156,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:57:58,23.1,95.2472,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:57:59,23.1,95.3878,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:00,23.1,95.3878,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:01,23.1,95.2536,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:02,23.1,95.2536,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:03,23.1,95.2536,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:04,23.1,95.4345,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:05,23.1,95.3129,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:06,23.1,95.3129,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:07,23.1,95.3129,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:08,23.1,95.3129,74.5442,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:09,23.1,95.3129,74.6717,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:10,23.1,95.3129,74.4395,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:11,23.1,95.3129,74.652,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:12,23.1,95.3129,74.652,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:13,23.1,95.3129,74.652,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:14,23.1,95.3129,74.652,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:15,23.1,95.4276,74.5461,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:16,23.1,95.2229,74.5461,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:17,23.1,95.3935,74.5461,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:18,23.1,95.255,74.5461,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:19,23.1,95.3875,74.5461,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:20,23.1,95.2517,74.5461,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:21,23.1,95.2517,74.5461,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:22,23.1,95.4353,74.5461,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:23,23.1,95.2092,74.5461,15.9999,31.8476,40.0,40.9191
2019-08-12-16:58:24,23.1,95.4318,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:25,23.1,95.2207,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:26,23.1,95.2207,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:27,23.1,95.4674,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:28,23.1,95.3021,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:29,23.1,95.4138,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:30,23.1,95.4138,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:31,23.1,95.4138,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:32,23.1,95.2248,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:33,23.1,95.2248,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:34,23.1,95.3346,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:35,23.1,95.3346,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:36,23.1,95.5055,74.5461,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:37,23.1,95.2862,74.3315,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:38,23.1,95.2862,74.53,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:39,23.1,95.2862,74.53,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:40,23.1,95.2862,74.53,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:41,23.1,95.2862,74.4264,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:42,23.1,95.2862,74.7266,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:43,23.1,95.2862,74.5266,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:44,23.1,95.2862,74.5266,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:45,23.1,95.2862,74.5266,15.9863,31.8476,40.0,40.9191
2019-08-12-16:58:46,23.1,95.2862,74.5266,16.0002,31.8476,40.0,40.9191
2019-08-12-16:58:47,23.1,95.4951,74.5266,16.0002,31.8476,40.0,40.9191
2019-08-12-16:58:48,23.1,95.2052,74.5266,16.0002,31.8476,40.0,40.9191
2019-08-12-16:58:49,23.1,95.3787,74.5266,16.0002,31.8476,40.0,40.9191
2019-08-12-16:58:50,23.1,95.3787,74.5266,16.0002,31.8476,40.0,40.9191
2019-08-12-16:58:51,23.1,95.2231,74.5266,16.0002,31.8476,40.0,40.9191
2019-08-12-16:58:52,23.1,95.3609,74.4252,16.0002,31.8476,40.0,40.9191
