Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,ACCL:L1B:0310:GACT,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-04-01-18:12:00,33.5,98.7238,77.9553,6.93122,28.3675,80.0,79.3063
2019-04-01-18:12:05,33.5,98.693,77.9092,6.92037,28.3675,80.0,79.3063
2019-04-01-18:12:10,33.5,98.6608,77.8849,6.91024,28.3675,80.0,79.3063
2019-04-01-18:12:15,33.5,98.5451,77.8893,6.92087,28.3675,80.0,79.3063
2019-04-01-18:12:20,33.5,98.5451,77.9915,6.93176,28.3675,80.0,79.3063
2019-04-01-18:12:25,33.5,98.5451,77.8058,12.4194,28.3675,80.0,79.3063
2019-04-01-18:12:30,33.5,98.9672,77.7408,13.1864,28.3675,80.0,79.3063
2019-04-01-18:12:35,33.5,98.8476,77.6874,14.0033,28.3675,80.0,79.3063
2019-04-01-18:12:40,33.5,98.6756,77.708,13.9824,28.3675,80.0,79.3063
2019-04-01-18:12:45,33.5,98.7488,77.9661,14.8009,28.3675,80.0,79.3063
2019-04-01-18:12:50,33.5,98.8325,77.9688,15.6234,28.4733,80.0,79.3063
2019-04-01-18:12:55,33.5,98.5933,77.5746,15.5906,28.4733,80.0,79.3063
2019-04-01-18:13:00,33.5,98.9807,77.5746,16.3889,28.4733,80.0,79.3063
2019-04-01-18:13:05,33.5,98.9047,77.5629,15.9577,28.4733,80.0,79.3063
2019-04-01-18:13:10,33.5,98.8665,77.6093,15.9471,28.4733,80.0,79.3063
2019-04-01-18:13:15,33.5,98.7447,77.8164,16.1513,28.5738,80.0,79.3063
2019-04-01-18:13:20,33.5,98.6486,77.511,16.14,28.5738,80.0,79.3063
2019-04-01-18:13:25,33.5,98.5835,77.5501,16.0378,28.5738,80.0,79.3063
2019-04-01-18:13:30,33.5,98.5835,77.2278,15.9205,28.5738,80.0,79.3063
2019-04-01-18:13:35,33.5,98.8858,77.5998,15.9205,28.5738,80.0,79.3063
2019-04-01-18:13:40,33.5,98.5768,77.4799,15.9671,28.5738,80.0,79.3063
2019-04-01-18:13:45,33.5,98.5576,77.2141,15.9671,28.5738,80.0,79.3063
2019-04-01-18:13:50,33.5,98.5576,77.7443,16.0115,28.5738,80.0,79.3063
2019-04-01-18:13:55,33.5,98.5666,77.228,15.9795,28.6747,80.0,79.3063
2019-04-01-18:14:00,33.5,98.5614,77.5167,15.9795,28.6747,80.0,79.3063
2019-04-01-18:14:05,33.5,98.543,77.3049,15.9795,28.6747,80.0,79.3063
2019-04-01-18:14:10,33.5,98.5778,77.5651,15.9922,28.6747,80.0,79.3063
2019-04-01-18:14:15,33.5,98.56,77.3719,15.9922,28.6747,80.0,79.3063
2019-04-01-18:14:20,33.5,98.5593,77.4592,16.0035,28.6747,80.0,79.3063
2019-04-01-18:14:25,33.5,98.8833,77.2242,15.9928,28.6747,80.0,79.3063
2019-04-01-18:14:30,33.5,98.7004,77.2097,15.9928,28.6747,80.0,79.3063
2019-04-01-18:14:35,33.5,98.597,77.1989,16.0028,28.6747,80.0,79.3063
2019-04-01-18:14:40,33.5,98.5703,77.4848,16.0028,28.6747,80.0,79.3063
2019-04-01-18:14:45,33.5,98.5703,77.2112,16.0028,28.6747,80.0,79.3063
2019-04-01-18:14:50,33.5,98.6871,77.3477,16.0136,28.6747,80.0,79.3063
2019-04-01-18:14:55,33.5,98.5608,77.4311,15.9931,28.6747,80.0,79.3063
2019-04-01-18:15:00,33.5,98.5608,77.3606,15.983,28.7776,80.0,79.3063
2019-04-01-18:15:05,33.5,98.5608,77.3233,15.9931,28.7776,80.0,79.3063
2019-04-01-18:15:10,33.5,98.6462,77.476,15.9931,28.7776,80.0,79.3063
2019-04-01-18:15:15,33.5,98.5374,77.3722,16.0065,28.7776,80.0,79.3063
2019-04-01-18:15:20,33.5,98.5447,77.285,15.9889,28.7776,80.0,79.3063
2019-04-01-18:15:25,33.5,98.5481,77.2924,15.9889,28.7776,80.0,79.3063
2019-04-01-18:15:30,33.5,98.4311,77.1744,15.9989,28.7776,80.0,79.3063
2019-04-01-18:15:35,33.5,98.2812,77.2055,15.9881,28.7776,80.0,79.3063
2019-04-01-18:15:40,33.5,98.2785,77.2055,16.0144,28.7776,80.0,79.3063
2019-04-01-18:15:45,33.5,98.5374,77.2232,15.9934,28.7776,80.0,79.3063
2019-04-01-18:15:50,33.5,98.1987,77.1429,16.0029,28.7776,80.0,79.3063
2019-04-01-18:15:55,33.5,98.4596,77.2443,16.0029,28.7776,80.0,79.3063
2019-04-01-18:16:00,33.5,98.5928,77.1111,15.9762,28.7776,80.0,79.3063
2019-04-01-18:16:05,33.5,98.1981,77.0947,15.9762,28.7776,80.0,79.3063
2019-04-01-18:16:10,33.5,98.3464,77.1743,15.994,28.7776,80.0,79.3063
2019-04-01-18:16:15,33.5,98.193,77.187,15.994,28.7776,80.0,79.3063
2019-04-01-18:16:20,33.5,98.185,77.1566,15.994,28.7776,80.0,79.3063
2019-04-01-18:16:25,33.5,98.2031,77.1566,16.0044,28.7776,80.0,79.3063
2019-04-01-18:16:30,33.5,98.2652,77.1566,15.9833,28.7776,80.0,79.3063
2019-04-01-18:16:35,33.5,98.2179,77.0684,16.0006,28.7776,80.0,79.3063
2019-04-01-18:16:40,33.5,98.2247,77.1182,16.0006,28.7776,80.0,79.3063
2019-04-01-18:16:45,33.5,98.5247,77.1639,16.0006,28.7776,80.0,79.3063
2019-04-01-18:16:50,33.5,98.4463,76.9134,16.0006,28.7776,80.0,79.3063
2019-04-01-18:16:55,33.5,98.2,77.0874,15.9852,28.7776,80.0,79.3063
2019-04-01-18:17:00,33.5,98.2,77.1923,16.0061,28.7776,80.0,79.3063
2019-04-01-18:17:05,33.5,98.2,76.867,16.0061,28.7776,80.0,79.3063
2019-04-01-18:17:10,33.5,98.0977,77.1906,15.9943,28.7776,80.0,79.3063
2019-04-01-18:17:15,33.5,98.2675,77.049,16.0087,28.7776,80.0,79.3063
2019-04-01-18:17:20,33.5,98.2675,76.9768,15.9788,28.7776,80.0,79.3063
2019-04-01-18:17:25,33.5,98.2333,77.0752,15.9788,28.7776,80.0,79.3063
2019-04-01-18:17:30,33.5,98.2333,77.0211,15.9917,28.7776,80.0,79.3063
2019-04-01-18:17:35,33.5,98.2333,77.093,15.9917,28.7776,80.0,79.3063
2019-04-01-18:17:40,33.5,98.0524,77.0642,16.0048,28.7776,80.0,79.3063
2019-04-01-18:17:45,33.5,97.897,77.0308,16.0048,28.7776,80.0,79.3063
2019-04-01-18:17:50,33.5,98.2663,76.9343,15.9843,28.7776,80.0,79.3063
2019-04-01-18:17:55,33.5,98.0686,76.8596,15.9843,28.7776,80.0,79.3063
2019-04-01-18:18:00,33.5,98.248,76.8596,15.9843,28.7776,80.0,79.3063
2019-04-01-18:18:05,33.5,98.1581,76.8596,15.9947,28.7776,80.0,79.3063
2019-04-01-18:18:10,33.5,97.9957,76.8596,15.9947,28.7776,80.0,79.3063
2019-04-01-18:18:15,33.5,98.1094,76.7845,16.007,28.7776,80.0,79.3063
2019-04-01-18:18:20,33.5,97.9919,76.9349,15.9908,28.7776,80.0,79.3063
2019-04-01-18:18:25,33.5,97.9053,76.8317,15.9908,28.7776,80.0,79.3063
2019-04-01-18:18:30,33.5,97.9426,76.9454,16.0091,28.7776,80.0,79.3063
2019-04-01-18:18:35,33.5,97.8469,76.8213,16.0091,28.7776,80.0,79.3063
2019-04-01-18:18:40,33.5,97.8048,76.8213,15.9976,28.7776,80.0,79.3063
2019-04-01-18:18:45,33.5,97.8291,76.8213,15.9976,28.7776,80.0,79.3063
2019-04-01-18:18:50,33.5,97.7911,76.7974,16.0144,28.7776,80.0,79.3063
2019-04-01-18:18:55,33.5,97.8222,76.7974,16.0144,28.7776,80.0,79.3063
2019-04-01-18:19:00,33.5,97.9465,76.7974,15.9919,28.7776,80.0,79.3063
2019-04-01-18:19:05,33.5,98.0804,76.7709,16.0088,28.7776,80.0,79.3063
2019-04-01-18:19:10,33.5,97.8659,76.5779,16.0088,28.7776,80.0,79.3063
2019-04-01-18:19:15,33.5,97.8655,76.6064,15.9891,28.7776,80.0,79.3063
2019-04-01-18:19:20,33.5,97.8655,76.7316,15.9891,28.7776,80.0,79.3063
2019-04-01-18:19:25,33.5,97.8655,76.7616,16.0002,28.7776,80.0,79.3063
2019-04-01-18:19:30,33.5,97.8655,76.8955,16.0002,28.7776,80.0,79.3063
2019-04-01-18:19:35,33.5,97.8331,76.7709,16.0002,28.7776,80.0,79.3063
2019-04-01-18:19:40,33.5,98.0445,76.691,16.0103,28.7776,80.0,79.3063
2019-04-01-18:19:45,33.5,97.886,76.7639,15.9932,28.7776,80.0,79.3063
2019-04-01-18:19:50,33.5,97.8925,76.711,15.9932,28.7776,80.0,79.3063
2019-04-01-18:19:55,33.5,97.7706,76.8114,16.0128,28.7776,80.0,79.3063
2019-04-01-18:20:00,33.5,97.7765,76.8437,16.0128,28.7776,80.0,79.3063
2019-04-01-18:20:05,33.5,97.8051,76.6586,16.0002,28.7776,80.0,79.3063
2019-04-01-18:20:10,33.5,97.8069,76.5449,16.0002,28.7776,80.0,79.3063
2019-04-01-18:20:15,33.5,97.8069,76.5449,15.9859,28.7776,80.0,79.3063
2019-04-01-18:20:20,33.5,97.8069,76.8152,15.9859,28.7776,80.0,79.3063
2019-04-01-18:20:25,33.5,97.6792,76.5886,15.9965,28.7776,80.0,79.3063
2019-04-01-18:20:30,33.5,97.665,76.7477,15.9785,28.7776,80.0,79.3063
2019-04-01-18:20:35,33.5,97.7167,76.5493,15.9785,28.7776,80.0,79.3063
2019-04-01-18:20:40,33.5,97.5493,76.4434,15.9934,28.7776,80.0,79.3063
2019-04-01-18:20:45,33.5,97.499,76.4622,15.9934,28.7776,80.0,79.3063
2019-04-01-18:20:50,33.5,97.6359,76.4958,15.9934,28.7776,80.0,79.3063
2019-04-01-18:20:55,33.5,97.6996,76.4958,16.0073,28.7776,80.0,79.3063
2019-04-01-18:21:00,33.5,97.4927,76.4958,16.0073,28.7776,80.0,79.3063
2019-04-01-18:21:05,33.5,97.6275,76.4958,15.9895,28.7776,80.0,79.3063
2019-04-01-18:21:10,33.5,97.5796,76.4958,16.0082,28.7776,80.0,79.3063
2019-04-01-18:21:15,33.5,97.6192,76.6116,16.0082,28.7776,80.0,79.3063
2019-04-01-18:21:20,33.5,97.5571,76.4146,15.9952,28.7776,80.0,79.3063
2019-04-01-18:21:25,33.5,97.5828,76.4146,16.0058,28.7776,80.0,79.3063
2019-04-01-18:21:30,33.5,97.6768,76.4131,16.0058,28.7776,80.0,79.3063
2019-04-01-18:21:35,33.5,97.5192,76.5711,15.9942,28.7776,80.0,79.3063
2019-04-01-18:21:40,33.5,97.5192,76.4209,16.0066,28.7776,80.0,79.3063
2019-04-01-18:21:45,33.5,97.5192,76.4242,16.0066,28.7776,80.0,79.3063
2019-04-01-18:21:50,33.5,97.4091,76.5935,15.9893,28.7776,80.0,79.3063
2019-04-01-18:21:55,33.5,97.439,76.5693,16.0015,28.7776,80.0,79.3063
2019-04-01-18:22:00,33.5,97.5766,76.5378,16.0015,28.7776,80.0,79.3063
2019-04-01-18:22:05,33.5,97.5838,76.3999,16.0015,28.7776,80.0,79.3063
2019-04-01-18:22:10,33.5,97.5566,76.3999,15.9896,28.7776,80.0,79.3063
2019-04-01-18:22:15,33.5,97.6049,76.3999,16.0096,28.7776,80.0,79.3063
2019-04-01-18:22:20,33.5,97.426,76.3999,16.0096,28.7776,80.0,79.3063
2019-04-01-18:22:25,33.5,97.4475,76.4718,16.0096,28.7776,80.0,79.3063
2019-04-01-18:22:30,33.5,97.4493,76.4583,15.9877,28.7776,80.0,79.3063
2019-04-01-18:22:35,33.5,97.4493,76.2603,15.9877,28.7776,80.0,79.3063
2019-04-01-18:22:40,33.5,97.4767,76.4949,16.0046,28.7776,80.0,79.3063
2019-04-01-18:22:45,33.5,97.4767,76.6803,16.0046,28.7776,80.0,79.3063
2019-04-01-18:22:50,33.5,97.5796,76.3911,16.0046,28.7776,80.0,79.3063
2019-04-01-18:22:55,33.5,97.491,76.0816,15.9922,28.7776,80.0,79.3063
2019-04-01-18:23:00,33.5,97.4635,76.1855,15.9922,28.7776,80.0,79.3063
2019-04-01-18:23:05,33.5,97.3017,76.1855,15.9922,28.7776,80.0,79.3063
2019-04-01-18:23:10,33.5,97.3882,76.4641,16.0072,28.7776,80.0,79.3063
2019-04-01-18:23:15,33.5,97.316,76.1219,16.0072,28.8779,80.0,79.3063
2019-04-01-18:23:20,33.5,97.1746,76.1439,16.0072,28.8779,80.0,79.3063
2019-04-01-18:23:25,33.5,97.2191,76.1439,15.9901,28.8779,80.0,79.3063
2019-04-01-18:23:30,33.5,97.2048,76.0756,15.9901,28.8779,80.0,79.3063
2019-04-01-18:23:35,33.5,97.2772,76.1851,16.0001,28.8779,80.0,79.3063
2019-04-01-18:23:40,33.5,97.1128,76.0562,16.0001,28.8779,80.0,79.3063
2019-04-01-18:23:45,33.5,97.2799,76.0513,16.0001,28.8779,80.0,79.3063
2019-04-01-18:23:50,33.5,97.2321,76.0508,16.0001,28.8779,80.0,79.3063
2019-04-01-18:23:55,33.5,97.1623,76.0381,15.9885,28.8779,80.0,79.3063
2019-04-01-18:24:00,33.5,97.1691,76.0561,15.9885,28.8779,80.0,79.3063
2019-04-01-18:24:05,33.5,97.1185,76.0663,16.0119,28.8779,80.0,79.3063
2019-04-01-18:24:10,33.5,97.2645,76.0712,15.998,28.8779,80.0,79.3063
2019-04-01-18:24:15,33.5,97.2993,76.182,15.998,28.8779,80.0,79.3063
2019-04-01-18:24:20,33.5,97.2613,76.0428,15.998,28.8779,80.0,79.3063
