Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0230:GACT,CPT:CM02:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-03-29-14:45:00,27,95.0719,73.1996,5.55879,28.485,16.0,16.42909
2019-03-29-14:45:05,27,95.2722,73.0737,5.55879,28.485,16.0,16.42909
2019-03-29-14:45:10,27,95.2639,73.271,5.55879,28.485,16.0,16.42909
2019-03-29-14:45:15,27,94.9741,73.2047,6.08953,28.485,16.0,16.42909
2019-03-29-14:45:20,27,95.2986,73.1851,14.0614,28.485,16.0,16.42909
2019-03-29-14:45:25,27,95.461,73.0327,15.7241,28.485,16.0,16.42909
2019-03-29-14:45:30,27,94.9758,73.0047,15.6643,28.485,16.0,16.42909
2019-03-29-14:45:35,27,95.2997,72.8822,15.8729,28.485,16.0,16.42909
2019-03-29-14:45:40,27,95.1064,72.9222,15.9818,28.485,16.0,16.42909
2019-03-29-14:45:45,27,94.9321,73.0916,16.0021,28.485,16.0,16.42909
2019-03-29-14:45:50,27,94.9392,73.0543,16.0024,28.485,16.0,16.42909
2019-03-29-14:45:55,27,94.9982,73.1081,15.9922,28.485,16.0,16.42909
2019-03-29-14:46:00,27,94.947,73.0753,15.981,28.485,16.0,16.42909
2019-03-29-14:46:05,27,94.9292,72.8774,15.9698,28.485,16.0,16.42909
2019-03-29-14:46:10,27,94.9603,72.8723,15.9569,28.485,16.0,16.42909
2019-03-29-14:46:15,27,95.1842,73.1393,15.9873,28.5872,16.0,16.42909
2019-03-29-14:46:20,27,95.0131,73.0172,16.0188,28.5872,16.0,16.42909
2019-03-29-14:46:25,27,94.9742,73.0172,16.0082,28.5872,16.0,16.42909
2019-03-29-14:46:30,27,94.9516,73.0172,15.9968,28.5872,16.0,16.42909
2019-03-29-14:46:35,27,95.0681,72.8997,15.9968,28.5872,16.0,16.42909
2019-03-29-14:46:40,27,95.2338,72.8646,15.9968,28.5872,16.0,16.42909
2019-03-29-14:46:45,27,95.0432,72.883,15.9834,28.5872,16.0,16.42909
2019-03-29-14:46:50,27,94.9365,72.957,15.9834,28.5872,16.0,16.42909
2019-03-29-14:46:55,27,95.0224,72.8732,15.9834,28.5872,16.0,16.42909
2019-03-29-14:47:00,27,95.0224,73.0345,15.9721,28.5872,16.0,16.42909
2019-03-29-14:47:05,27,95.2155,73.0394,15.9721,28.5872,16.0,16.42909
2019-03-29-14:47:10,27,94.9554,73.0133,15.9619,28.5872,16.0,16.42909
2019-03-29-14:47:15,27,94.9554,72.9092,15.9619,28.5872,16.0,16.42909
2019-03-29-14:47:20,27,95.1048,72.9141,15.9619,28.5872,16.0,16.42909
2019-03-29-14:47:25,27,94.9429,72.8511,15.9619,28.5872,16.0,16.42909
2019-03-29-14:47:30,27,94.9533,73.0745,15.9518,28.5872,16.0,16.42909
2019-03-29-14:47:35,27,94.9469,72.919,15.9518,28.5872,16.0,16.42909
2019-03-29-14:47:40,27,95.0882,72.919,15.9518,28.5872,16.0,16.42909
2019-03-29-14:47:45,27,95.0508,72.919,15.94,28.5872,16.0,16.42909
2019-03-29-14:47:50,27,94.9245,72.919,15.94,28.5872,16.0,16.42909
2019-03-29-14:47:55,27,94.9245,72.8618,15.94,28.5872,16.0,16.42909
2019-03-29-14:48:00,27,94.9275,72.8525,15.94,28.5872,16.0,16.42909
2019-03-29-14:48:05,27,94.932,72.8521,15.94,28.5872,16.0,16.42909
2019-03-29-14:48:10,27,94.932,72.8955,16.0427,28.5872,16.0,16.42909
2019-03-29-14:48:15,27,94.932,72.8955,16.0326,28.5872,16.0,16.42909
2019-03-29-14:48:20,27,94.9115,72.9237,16.0326,28.5872,16.0,16.42909
2019-03-29-14:48:25,27,94.9275,72.9237,16.0326,28.5872,16.0,16.42909
2019-03-29-14:48:30,27,94.9276,72.9237,16.0326,28.6879,16.0,16.42909
2019-03-29-14:48:35,27,94.7439,72.8399,16.0326,28.6879,16.0,16.42909
2019-03-29-14:48:40,27,94.9019,72.8399,16.0177,28.6879,16.0,16.42909
2019-03-29-14:48:45,27,94.8885,72.8399,16.0177,28.6879,16.0,16.42909
2019-03-29-14:48:50,27,94.6451,72.8304,16.0177,28.6879,16.0,16.42909
2019-03-29-14:48:55,27,94.7201,72.8538,16.0177,28.6879,16.0,16.42909
2019-03-29-14:49:00,27,95.2477,72.838,16.0177,28.6879,16.0,16.42909
2019-03-29-14:49:05,27,94.9442,72.8279,16.0177,28.6879,16.0,16.42909
2019-03-29-14:49:10,27,94.9465,72.8596,16.0066,28.6879,16.0,16.42909
2019-03-29-14:49:15,27,94.9465,72.9615,16.0066,28.6879,16.0,16.42909
2019-03-29-14:49:20,27,94.9747,72.8123,16.0066,28.6879,16.0,16.42909
2019-03-29-14:49:25,27,94.9335,72.8123,16.0066,28.6879,16.0,16.42909
2019-03-29-14:49:30,27,95.0397,72.7096,16.0066,28.6879,16.0,16.42909
2019-03-29-14:49:35,27,95.1035,72.8474,16.0066,28.6879,16.0,16.42909
2019-03-29-14:49:40,27,94.9518,72.8474,15.9951,28.6879,16.0,16.42909
2019-03-29-14:49:45,27,94.7605,72.8278,15.9951,28.6879,16.0,16.42909
2019-03-29-14:49:50,27,94.9141,72.8278,15.9951,28.6879,16.0,16.42909
2019-03-29-14:49:55,27,94.5372,72.9668,15.9951,28.6879,16.0,16.42909
2019-03-29-14:50:00,27,94.5344,73.0015,15.9951,28.6879,16.0,16.42909
2019-03-29-14:50:05,27,94.8139,73.0129,15.9951,28.6879,16.0,16.42909
2019-03-29-14:50:10,27,94.6808,73.011,15.9951,28.6879,16.0,16.42909
2019-03-29-14:50:15,27,94.5485,72.7308,15.9951,28.6879,16.0,16.42909
2019-03-29-14:50:20,27,94.5485,72.723,15.9851,28.6879,16.0,16.42909
2019-03-29-14:50:25,27,94.8471,72.851,16.001,28.6879,16.0,16.42909
2019-03-29-14:50:30,27,94.6391,72.7365,15.9898,28.6879,16.0,16.42909
2019-03-29-14:50:35,27,94.5654,72.7365,15.9898,28.6879,16.0,16.42909
2019-03-29-14:50:40,27,94.5035,72.8646,15.9898,28.6879,16.0,16.42909
2019-03-29-14:50:45,27,94.5436,72.7322,15.9898,28.6879,16.0,16.42909
2019-03-29-14:50:50,27,94.5693,72.6097,15.9898,28.6879,16.0,16.42909
2019-03-29-14:50:55,27,94.4919,72.6841,15.9898,28.6879,16.0,16.42909
2019-03-29-14:51:00,27,94.8599,72.7971,15.9898,28.6879,16.0,16.42909
2019-03-29-14:51:05,27,94.6187,72.7058,15.9898,28.6879,16.0,16.42909
2019-03-29-14:51:10,27,94.491,72.6563,15.9898,28.6879,16.0,16.42909
2019-03-29-14:51:15,27,94.6006,72.6144,15.9898,28.6879,16.0,16.42909
2019-03-29-14:51:20,27,94.4969,72.5676,15.9898,28.6879,16.0,16.42909
2019-03-29-14:51:25,27,94.4806,72.5081,15.9898,28.6879,16.0,16.42909
2019-03-29-14:51:30,27,94.4814,72.5848,15.9898,28.6879,16.0,16.42909
2019-03-29-14:51:35,27,94.584,72.5769,15.9898,28.6879,16.0,16.42909
2019-03-29-14:51:40,27,94.4776,72.6226,15.9791,28.6879,16.0,16.42909
2019-03-29-14:51:45,27,94.5902,72.4764,15.9791,28.6879,16.0,16.42909
2019-03-29-14:51:50,27,94.664,72.6738,15.9791,28.6879,16.0,16.42909
2019-03-29-14:51:55,27,94.6955,72.687,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:00,27,94.6916,72.5025,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:05,27,94.6822,72.6624,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:10,27,94.5072,72.744,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:15,27,94.6128,72.6056,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:20,27,94.493,72.5671,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:25,27,94.613,72.8216,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:30,27,94.6159,72.5442,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:35,27,94.4753,72.6584,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:40,27,94.474,72.6946,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:45,27,94.4803,72.4693,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:50,27,94.3342,72.4693,15.9791,28.6879,16.0,16.42909
2019-03-29-14:52:55,27,94.4828,72.6153,15.9791,28.6879,16.0,16.42909
2019-03-29-14:53:00,27,94.4982,72.6672,15.9791,28.6879,16.0,16.42909
2019-03-29-14:53:05,27,94.424,72.6124,15.9791,28.6879,16.0,16.42909
2019-03-29-14:53:10,27,94.5002,72.4882,15.9791,28.6879,16.0,16.42909
2019-03-29-14:53:15,27,94.7388,72.5235,15.9791,28.6879,16.0,16.42909
2019-03-29-14:53:20,27,94.2032,72.4777,16.012,28.6879,16.0,16.42909
2019-03-29-14:53:25,27,94.4244,72.4941,16.012,28.6879,16.0,16.42909
2019-03-29-14:53:30,27,94.535,72.5055,16.012,28.6879,16.0,16.42909
2019-03-29-14:53:35,27,94.535,72.557,16.012,28.6879,16.0,16.42909
2019-03-29-14:53:40,27,94.0437,72.5783,16.012,28.6879,16.0,16.42909
2019-03-29-14:53:45,27,94.429,72.4648,16.012,28.6879,16.0,16.42909
2019-03-29-14:53:50,27,94.4863,72.4648,16.012,28.6879,16.0,16.42909
2019-03-29-14:53:55,27,94.1025,72.4648,16.012,28.6879,16.0,16.42909
2019-03-29-14:54:00,27,94.3459,72.3257,16.012,28.6879,16.0,16.42909
2019-03-29-14:54:05,27,94.6373,72.4873,16.012,28.6879,16.0,16.42909
2019-03-29-14:54:10,27,94.4792,72.4847,16.012,28.6879,16.0,16.42909
2019-03-29-14:54:15,27,94.4884,72.3609,16.0015,28.6879,16.0,16.42909
2019-03-29-14:54:20,27,94.6586,72.4669,16.0015,28.6879,16.0,16.42909
2019-03-29-14:54:25,27,94.6442,72.4468,16.0015,28.6879,16.0,16.42909
2019-03-29-14:54:30,27,94.1162,72.5025,16.0015,28.6879,16.0,16.42909
2019-03-29-14:54:35,27,94.5124,72.5025,16.0015,28.6879,16.0,16.42909
2019-03-29-14:54:40,27,94.58,72.4929,16.0015,28.6879,16.0,16.42909
2019-03-29-14:54:45,27,94.3433,72.4929,16.0015,28.6879,16.0,16.42909
