Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0270:GACT,CPT:CM02:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-04-01-12:08:00,27.5,94.8084,72.8434,15.4275,28.3995,16.0,16.42909
2019-04-01-12:08:01,27.5,94.67,72.8434,15.4275,28.3995,16.0,16.42909
2019-04-01-12:08:02,27.5,94.836,72.8434,16.0925,28.3995,16.0,16.42909
2019-04-01-12:08:03,27.5,94.6683,72.8434,16.0925,28.3995,16.0,16.42909
2019-04-01-12:08:04,27.5,94.5631,72.8434,16.0925,28.3995,16.0,16.42909
2019-04-01-12:08:05,27.5,94.5631,72.8434,16.0925,28.3995,16.0,16.42909
2019-04-01-12:08:06,27.5,94.5631,72.8434,16.0925,28.3995,16.0,16.42909
2019-04-01-12:08:07,27.5,94.89,72.8434,16.0925,28.3995,16.0,16.42909
2019-04-01-12:08:08,27.5,94.5016,72.8434,16.0925,28.3995,16.0,16.42909
2019-04-01-12:08:09,27.5,94.8401,73.0016,16.0925,28.3995,16.0,16.42909
2019-04-01-12:08:10,27.5,94.6087,72.8227,15.75,28.3995,16.0,16.42909
2019-04-01-12:08:11,27.5,94.7509,72.8227,15.75,28.3995,16.0,16.42909
2019-04-01-12:08:12,27.5,94.561,72.8227,15.75,28.3995,16.0,16.42909
2019-04-01-12:08:13,27.5,94.8102,73.0244,15.75,28.3995,16.0,16.42909
2019-04-01-12:08:14,27.5,94.5517,72.9022,15.75,28.3995,16.0,16.42909
2019-04-01-12:08:15,27.5,94.8144,72.9022,15.75,28.3995,16.0,16.42909
2019-04-01-12:08:16,27.5,94.5179,72.9022,15.75,28.3995,16.0,16.42909
2019-04-01-12:08:17,27.5,94.7014,72.9022,15.914,28.3995,16.0,16.42909
2019-04-01-12:08:18,27.5,94.7014,72.9022,15.914,28.3995,16.0,16.42909
2019-04-01-12:08:19,27.5,94.4845,72.9022,15.914,28.3995,16.0,16.42909
