Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,ACCL:L1B:0340:GACT,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-04-02-13:40:00,24.5,95.4982,74.7609,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:05,24.5,95.5346,74.8051,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:10,24.5,95.5346,74.6595,10.7964,29.4852,64.0,63.07998
2019-04-02-13:40:15,24.5,95.5346,74.6565,11.5033,29.4852,64.0,63.07998
2019-04-02-13:40:20,24.5,95.6464,74.8243,11.4925,29.4852,64.0,63.07998
2019-04-02-13:40:25,24.5,95.5393,74.7861,12.2179,29.4852,64.0,63.07998
2019-04-02-13:40:30,24.5,95.4612,74.9701,12.9588,29.4852,64.0,63.07998
2019-04-02-13:40:35,24.5,95.5589,74.8145,13.695,29.4852,64.0,63.07998
2019-04-02-13:40:40,24.5,95.5706,74.7952,13.682,29.4852,64.0,63.07998
2019-04-02-13:40:45,24.5,95.5087,74.9259,14.4086,29.4852,64.0,63.07998
2019-04-02-13:40:50,24.5,95.6595,74.809,15.1328,29.4852,64.0,63.07998
2019-04-02-13:40:55,24.5,95.5723,74.7056,15.1226,29.4852,64.0,63.07998
2019-04-02-13:41:00,24.5,95.5723,74.5606,15.8371,29.4852,64.0,63.07998
2019-04-02-13:41:05,24.5,95.5723,74.7348,16.5267,29.4852,64.0,63.07998
2019-04-02-13:41:10,24.5,95.4695,74.5963,16.5267,29.4852,64.0,63.07998
2019-04-02-13:41:15,24.5,95.3722,74.5736,16.1621,29.4852,64.0,63.07998
2019-04-02-13:41:20,24.5,95.6107,74.5736,15.8015,29.4852,64.0,63.07998
2019-04-02-13:41:25,24.5,95.4495,74.563,15.8015,29.4852,64.0,63.07998
2019-04-02-13:41:30,24.5,95.5094,74.7222,15.9887,29.4852,64.0,63.07998
2019-04-02-13:41:35,24.5,95.7058,74.5882,16.1559,29.4852,64.0,63.07998
2019-04-02-13:41:40,24.5,95.7068,74.6627,16.067,29.4852,64.0,63.07998
2019-04-02-13:41:45,24.5,95.5682,74.6681,16.067,29.4852,64.0,63.07998
2019-04-02-13:41:50,24.5,95.5931,74.5672,15.9775,29.4852,64.0,63.07998
2019-04-02-13:41:55,24.5,95.5599,74.5511,16.0196,29.4852,64.0,63.07998
2019-04-02-13:42:00,24.5,95.5872,74.5764,16.0196,29.5852,64.0,63.07998
2019-04-02-13:42:05,24.5,95.5254,74.5678,15.9895,29.5852,64.0,63.07998
2019-04-02-13:42:10,24.5,95.5109,74.6003,15.9952,29.5852,64.0,63.07998
2019-04-02-13:42:15,24.5,95.4326,74.6003,15.9837,29.5852,64.0,63.07998
2019-04-02-13:42:20,24.5,95.5769,74.6003,15.9995,29.5852,64.0,63.07998
2019-04-02-13:42:25,24.5,95.2908,74.6003,15.9818,29.5852,64.0,63.07998
2019-04-02-13:42:30,24.5,95.4314,74.6003,15.9818,29.5852,64.0,63.07998
2019-04-02-13:42:35,24.5,95.2453,74.7068,15.9927,29.5852,64.0,63.07998
2019-04-02-13:42:40,24.5,95.4851,74.5771,15.9927,29.5852,64.0,63.07998
2019-04-02-13:42:45,24.5,95.4629,74.679,15.9822,29.5852,64.0,63.07998
2019-04-02-13:42:50,24.5,95.3427,74.7381,15.9936,29.5852,64.0,63.07998
2019-04-02-13:42:55,24.5,95.458,74.7404,15.9936,29.5852,64.0,63.07998
2019-04-02-13:43:00,24.5,95.4321,74.7371,16.0042,29.5852,64.0,63.07998
2019-04-02-13:43:05,24.5,95.5474,74.5865,16.0042,29.5852,64.0,63.07998
2019-04-02-13:43:10,24.5,95.338,74.6014,16.0042,29.5852,64.0,63.07998
2019-04-02-13:43:15,24.5,95.2895,74.6014,16.0042,29.5852,64.0,63.07998
2019-04-02-13:43:20,24.5,95.27,74.6014,16.0042,29.5852,64.0,63.07998
2019-04-02-13:43:25,24.5,95.3824,74.6014,15.9923,29.5852,64.0,63.07998
2019-04-02-13:43:30,24.5,95.3529,74.6014,16.0087,29.5852,64.0,63.07998
2019-04-02-13:43:35,24.5,95.234,74.6014,16.019,29.5852,64.0,63.07998
2019-04-02-13:43:40,24.5,95.5088,74.6014,16.019,29.5852,64.0,63.07998
2019-04-02-13:43:45,24.5,95.5985,74.6014,16.008,29.5852,64.0,63.07998
2019-04-02-13:43:50,24.5,95.5421,74.6014,16.0063,29.5852,64.0,63.07998
2019-04-02-13:43:55,24.5,95.6166,74.6014,16.0063,29.5852,64.0,63.07998
2019-04-02-13:44:00,24.5,95.3651,74.5396,16.0063,29.5852,64.0,63.07998
2019-04-02-13:44:05,24.5,95.3339,74.5407,15.9876,29.5852,64.0,63.07998
2019-04-02-13:44:10,24.5,95.3359,74.5532,15.9876,29.5852,64.0,63.07998
2019-04-02-13:44:15,24.5,95.3977,74.5792,15.9991,29.5852,64.0,63.07998
2019-04-02-13:44:20,24.5,95.2973,74.5211,15.9991,29.5852,64.0,63.07998
2019-04-02-13:44:25,24.5,95.2457,74.5211,15.9991,29.5852,64.0,63.07998
2019-04-02-13:44:30,24.5,95.2457,74.3217,16.01,29.5852,64.0,63.07998
2019-04-02-13:44:35,24.5,95.2101,74.5337,15.993,29.5852,64.0,63.07998
2019-04-02-13:44:40,24.5,95.3472,74.5337,15.993,29.5852,64.0,63.07998
2019-04-02-13:44:45,24.5,95.458,74.479,15.993,29.5852,64.0,63.07998
2019-04-02-13:44:50,24.5,95.2071,74.479,16.0032,29.5852,64.0,63.07998
2019-04-02-13:44:55,24.5,95.2373,74.6283,15.9898,29.6853,64.0,63.07998
2019-04-02-13:45:00,24.5,95.2073,74.5491,15.9898,29.6853,64.0,63.07998
2019-04-02-13:45:05,24.5,95.2009,74.4973,15.998,29.6853,64.0,63.07998
2019-04-02-13:45:10,24.5,95.3324,74.6553,16.0125,29.6853,64.0,63.07998
2019-04-02-13:45:15,24.5,95.2048,74.6392,16.0125,29.6853,64.0,63.07998
2019-04-02-13:45:20,24.5,95.2283,74.6562,16.0013,29.6853,64.0,63.07998
2019-04-02-13:45:25,24.5,95.3427,74.6079,16.0013,29.6853,64.0,63.07998
2019-04-02-13:45:30,24.5,95.1834,74.5775,16.0013,29.6853,64.0,63.07998
2019-04-02-13:45:35,24.5,95.1935,74.5775,15.9888,29.6853,64.0,63.07998
2019-04-02-13:45:40,24.5,95.3873,74.4194,16.0013,29.6853,64.0,63.07998
2019-04-02-13:45:45,24.5,95.2756,74.36,16.0013,29.6853,64.0,63.07998
2019-04-02-13:45:50,24.5,95.2756,74.5445,16.0013,29.6853,64.0,63.07998
2019-04-02-13:45:55,24.5,95.2756,74.5153,15.9876,29.6853,64.0,63.07998
2019-04-02-13:46:00,24.5,95.4567,74.4063,15.9876,29.6853,64.0,63.07998
2019-04-02-13:46:05,24.5,95.3244,74.2675,15.9984,29.6853,64.0,63.07998
2019-04-02-13:46:10,24.5,95.319,74.3449,16.012,29.6853,64.0,63.07998
2019-04-02-13:46:15,24.5,95.3643,74.4183,16.0009,29.6853,64.0,63.07998
2019-04-02-13:46:20,24.5,95.3529,74.4146,16.0009,29.6853,64.0,63.07998
2019-04-02-13:46:25,24.5,95.1997,74.5411,15.9841,29.6853,64.0,63.07998
2019-04-02-13:46:30,24.5,95.2303,74.4336,15.9944,29.6853,64.0,63.07998
2019-04-02-13:46:35,24.5,95.2303,74.3333,15.9944,29.6853,64.0,63.07998
2019-04-02-13:46:40,24.5,95.3443,74.2848,15.9944,29.6853,64.0,63.07998
2019-04-02-13:46:45,24.5,95.214,74.4647,15.9944,29.6853,64.0,63.07998
