Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,ACCL:L1B:0380:GACT,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-04-02-20:02:00,24.5,95.013,74.1566,14.3085,29.8268,64.0,63.07998
2019-04-02-20:02:05,24.5,94.7687,74.1973,14.4743,29.8268,64.0,63.07998
2019-04-02-20:02:10,24.5,94.8723,74.1568,14.6296,29.8268,64.0,63.07998
2019-04-02-20:02:15,24.5,94.8022,74.1615,14.7861,29.8268,64.0,63.07998
2019-04-02-20:02:20,24.5,94.785,74.1338,14.9308,29.8268,64.0,63.07998
2019-04-02-20:02:25,24.5,94.7864,74.1136,15.0026,29.8268,64.0,63.07998
2019-04-02-20:02:30,24.5,94.906,74.1192,14.9211,29.8268,64.0,63.07998
2019-04-02-20:02:35,24.5,94.8016,73.8685,14.9355,29.8268,64.0,63.07998
2019-04-02-20:02:40,24.5,94.8016,74.1779,14.9355,29.8268,64.0,63.07998
2019-04-02-20:02:45,24.5,94.6761,73.9221,14.9355,29.8268,64.0,63.07998
2019-04-02-20:02:50,24.5,94.547,73.8673,14.9355,29.8268,64.0,63.07998
2019-04-02-20:02:55,24.5,94.6808,73.9543,14.9456,29.8268,64.0,63.07998
2019-04-02-20:03:00,24.5,94.7916,74.007,14.9456,29.8268,64.0,63.07998
2019-04-02-20:03:05,24.5,94.7541,74.2699,14.9456,29.8268,64.0,63.07998
2019-04-02-20:03:10,24.5,94.5238,74.1072,14.9636,29.8268,64.0,63.07998
2019-04-02-20:03:15,24.5,94.7048,74.2806,14.9636,29.8268,64.0,63.07998
2019-04-02-20:03:20,24.5,94.6194,74.1618,14.9636,29.8268,64.0,63.07998
2019-04-02-20:03:25,24.5,94.6217,73.9389,14.9636,29.8268,64.0,63.07998
2019-04-02-20:03:30,24.5,94.7601,73.8742,14.9636,29.8268,64.0,63.07998
2019-04-02-20:03:35,24.5,94.6246,73.8167,14.9636,29.8268,64.0,63.07998
2019-04-02-20:03:40,24.5,94.8375,74.0415,14.9636,29.8268,64.0,63.07998
2019-04-02-20:03:45,24.5,94.5743,74.103,14.9772,29.8268,64.0,63.07998
2019-04-02-20:03:50,24.5,94.7024,73.9654,14.9772,29.8268,64.0,63.07998
2019-04-02-20:03:55,24.5,94.775,74.1295,14.9772,29.8268,64.0,63.07998
2019-04-02-20:04:00,24.5,94.4866,74.0282,14.9772,29.8268,64.0,63.07998
2019-04-02-20:04:05,24.5,94.8057,74.0209,14.9946,29.8268,64.0,63.07998
2019-04-02-20:04:10,24.5,94.5947,73.8136,14.9946,29.8268,64.0,63.07998
2019-04-02-20:04:15,24.5,94.5074,73.9723,14.9946,29.8268,64.0,63.07998
2019-04-02-20:04:20,24.5,94.8011,73.8453,15.0091,29.8268,64.0,63.07998
2019-04-02-20:04:25,24.5,94.4585,73.8463,15.0091,29.8268,64.0,63.07998
2019-04-02-20:04:30,24.5,94.4315,73.8436,15.0091,29.8268,64.0,63.07998
2019-04-02-20:04:35,24.5,94.4387,73.8221,15.0091,29.8268,64.0,63.07998
2019-04-02-20:04:40,24.5,94.4521,73.8221,14.9757,29.8268,64.0,63.07998
2019-04-02-20:04:45,24.5,94.4553,73.808,14.9757,29.8268,64.0,63.07998
2019-04-02-20:04:50,24.5,94.4612,73.808,14.9757,29.8268,64.0,63.07998
2019-04-02-20:04:55,24.5,94.4962,73.808,14.9905,29.8268,64.0,63.07998
2019-04-02-20:05:00,24.5,94.5335,73.9066,14.9905,29.8268,64.0,63.07998
2019-04-02-20:05:05,24.5,94.5219,73.8894,14.9905,29.8268,64.0,63.07998
2019-04-02-20:05:10,24.5,94.4677,73.785,14.9905,29.8268,64.0,63.07998
2019-04-02-20:05:15,24.5,94.4663,73.7767,15.0005,29.8268,64.0,63.07998
2019-04-02-20:05:20,24.5,94.4348,73.793,15.0005,29.8268,64.0,63.07998
2019-04-02-20:05:25,24.5,94.4348,73.814,14.9905,29.8268,64.0,63.07998
2019-04-02-20:05:30,24.5,94.6478,73.8015,15.0056,29.8268,64.0,63.07998
2019-04-02-20:05:35,24.5,94.4945,73.7782,15.0056,29.8268,64.0,63.07998
2019-04-02-20:05:40,24.5,94.4547,73.8597,15.0056,29.8268,64.0,63.07998
2019-04-02-20:05:45,24.5,94.4276,73.8597,14.9819,29.8268,64.0,63.07998
2019-04-02-20:05:50,24.5,94.4248,73.783,14.9819,29.8268,64.0,63.07998
2019-04-02-20:05:55,24.5,94.5573,73.783,14.9819,29.8268,64.0,63.07998
2019-04-02-20:06:00,24.5,94.2872,73.783,14.9819,29.8268,64.0,63.07998
2019-04-02-20:06:05,24.5,94.4619,73.7886,14.9926,29.8268,64.0,63.07998
2019-04-02-20:06:10,24.5,94.4619,73.7803,14.9926,29.8268,64.0,63.07998
2019-04-02-20:06:15,24.5,94.5098,73.7863,14.9926,29.8268,64.0,63.07998
2019-04-02-20:06:20,24.5,94.5098,73.8988,14.9926,29.8268,64.0,63.07998
2019-04-02-20:06:25,24.5,94.4034,73.938,14.9926,29.8268,64.0,63.07998
2019-04-02-20:06:30,24.5,94.4034,73.9403,14.9926,29.8268,64.0,63.07998
2019-04-02-20:06:35,24.5,94.4034,73.8885,14.9926,29.8268,64.0,63.07998
2019-04-02-20:06:40,24.5,94.4034,73.923,15.0035,29.8268,64.0,63.07998
2019-04-02-20:06:45,24.5,94.5294,73.8163,15.0035,29.8268,64.0,63.07998
2019-04-02-20:06:50,24.5,94.5414,73.8129,15.0035,29.8268,64.0,63.07998
2019-04-02-20:06:55,24.5,94.8074,73.8191,15.0035,29.8268,64.0,63.07998
2019-04-02-20:07:00,24.5,94.5785,73.8191,15.0035,29.8268,64.0,63.07998
2019-04-02-20:07:05,24.5,94.5741,73.7134,15.0035,29.8268,64.0,63.07998
2019-04-02-20:07:10,24.5,94.5558,73.7647,15.0035,29.8268,64.0,63.07998
2019-04-02-20:07:15,24.5,94.4704,73.7647,14.993,29.8268,64.0,63.07998
2019-04-02-20:07:20,24.5,94.4704,73.5985,14.993,29.8268,64.0,63.07998
2019-04-02-20:07:25,24.5,94.4704,73.7303,14.993,29.8268,64.0,63.07998
2019-04-02-20:07:30,24.5,94.5642,73.7799,15.0134,29.8268,64.0,63.07998
2019-04-02-20:07:35,24.5,94.4096,73.7799,15.0134,29.8268,64.0,63.07998
2019-04-02-20:07:40,24.5,94.3447,73.763,15.0134,29.8268,64.0,63.07998
2019-04-02-20:07:45,24.5,94.4618,73.545,15.0134,29.8268,64.0,63.07998
2019-04-02-20:07:50,24.5,94.24,73.6564,15.0003,29.8268,64.0,63.07998
2019-04-02-20:07:55,24.5,94.3461,73.6833,15.0003,29.8268,64.0,63.07998
2019-04-02-20:08:00,24.5,94.3716,73.7125,15.0003,29.8268,64.0,63.07998
2019-04-02-20:08:05,24.5,94.1773,73.5706,14.9903,29.8268,64.0,63.07998
2019-04-02-20:08:10,24.5,94.304,73.468,14.9903,29.8268,64.0,63.07998
2019-04-02-20:08:15,24.5,94.3544,73.5355,14.9903,29.8268,64.0,63.07998
2019-04-02-20:08:20,24.5,94.3363,73.6922,15.0058,29.8268,64.0,63.07998
2019-04-02-20:08:25,24.5,94.1003,73.4892,15.0058,29.8268,64.0,63.07998
2019-04-02-20:08:30,24.5,94.2797,73.6682,15.0058,29.8268,64.0,63.07998
2019-04-02-20:08:35,24.5,94.0657,73.5705,15.0058,29.8268,64.0,63.07998
2019-04-02-20:08:40,24.5,94.164,73.4715,14.9786,29.8268,64.0,63.07998
2019-04-02-20:08:45,24.5,94.2223,73.723,14.9786,29.8268,64.0,63.07998
2019-04-02-20:08:50,24.5,94.0804,73.6349,14.9786,29.8268,64.0,63.07998
2019-04-02-20:08:55,24.5,94.177,73.5708,14.9786,29.8268,64.0,63.07998
2019-04-02-20:09:00,24.5,94.0984,73.5986,14.9923,29.8268,64.0,63.07998
2019-04-02-20:09:05,24.5,94.061,73.4685,14.9923,29.8268,64.0,63.07998
2019-04-02-20:09:10,24.5,94.2163,73.4685,14.9923,29.8268,64.0,63.07998
2019-04-02-20:09:15,24.5,94.2921,73.501,15.0027,29.8268,64.0,63.07998
2019-04-02-20:09:20,24.5,94.4886,73.501,15.0027,29.8268,64.0,63.07998
2019-04-02-20:09:25,24.5,94.4108,73.501,15.0027,29.8268,64.0,63.07998
2019-04-02-20:09:30,24.5,94.1038,73.5612,15.0027,29.8268,64.0,63.07998
2019-04-02-20:09:35,24.5,94.1038,73.4227,15.0027,29.8268,64.0,63.07998
2019-04-02-20:09:40,24.5,94.1038,73.4396,15.0128,29.8268,64.0,63.07998
