time,Unix time,CPV:CM03:3001:JT:POS_RBV,CFICM0312,CHTR:CM03:1155:HV:POWER
2019-02-23 08:01:25,1550926885.95,48.543,4.5625,14.9379
2019-02-23 08:01:26,1550926886.95,48.543,5.25,14.9379
2019-02-23 08:01:27,1550926887.96,48.543,5.09375,14.9379
2019-02-23 08:01:28,1550926888.96,48.543,4.5,14.9379
2019-02-23 08:01:29,1550926889.96,48.543,5,14.9379
2019-02-23 08:01:30,1550926890.96,48.543,5.28125,14.9379
2019-02-23 08:01:31,1550926891.97,48.543,4.5625,14.9379
2019-02-23 08:01:32,1550926892.97,48.543,4.78125,14.9379
2019-02-23 08:01:33,1550926893.97,48.543,5.25,14.9379
2019-02-23 08:01:34,1550926894.98,48.543,4.71875,14.9379
2019-02-23 08:01:35,1550926895.98,48.543,4.4375,14.9379
2019-02-23 08:01:36,1550926896.57,46.3906,4.4375,14.9379
2019-02-23 08:01:36,1550926896.98,46.3906,4.75,14.9379
2019-02-23 08:01:37,1550926897.99,46.3906,4.3125,14.9379
2019-02-23 08:01:38,1550926898.99,46.3906,3.84375,14.9379
2019-02-23 08:01:39,1550926899.99,46.3906,4.4375,14.9379
2019-02-23 08:01:41,1550926902.00,46.3906,3.8125,14.9379
2019-02-23 08:01:43,1550926903.00,46.3906,4.21875,14.9379
2019-02-23 08:01:44,1550926904.00,46.3906,4.5625,14.9379
2019-02-23 08:01:45,1550926905.00,46.3906,3.9375,14.9379
2019-02-23 08:01:47,1550926907.01,46.3906,4.5625,14.9379
2019-02-23 08:01:48,1550926908.01,46.3906,4.09375,14.9379
2019-02-23 08:01:49,1550926909.02,46.3906,3.85938,14.9379
2019-02-23 08:01:50,1550926910.02,46.3906,4.46875,14.9379
2019-02-23 08:01:51,1550926911.02,46.3906,4.25,14.9379
2019-02-23 08:01:52,1550926912.02,46.3906,3.78125,14.9379
2019-02-23 08:01:53,1550926913.03,46.3906,4.34375,14.9379
2019-02-23 08:01:54,1550926914.03,46.3906,4.46875,14.9379
2019-02-23 08:01:55,1550926915.03,46.3906,3.82812,14.9379
2019-02-23 08:01:56,1550926916.04,46.3906,4.1875,14.9379
2019-02-23 08:01:57,1550926917.04,46.3906,4.8125,14.9379
2019-02-23 08:01:57,1550926917.57,47.9453,4.8125,14.9379
2019-02-23 08:01:58,1550926918.04,47.9453,4.3125,14.9379
