2019-03-27-18:44:00,91.7468
2019-03-27-18:44:15,91.9159
2019-03-27-18:44:30,91.802
2019-03-27-18:44:45,91.6754
2019-03-27-18:45:00,91.9332
2019-03-27-18:45:15,91.676
2019-03-27-18:45:30,91.6762
2019-03-27-18:45:45,91.6781
2019-03-27-18:46:00,91.8758
2019-03-27-18:46:15,91.8146
2019-03-27-18:46:30,91.6848
2019-03-27-18:46:45,91.66
2019-03-27-18:47:00,91.5088
2019-03-27-18:47:15,91.7126
2019-03-27-18:47:30,91.6265
2019-03-27-18:47:45,91.5983
2019-03-27-18:48:00,91.6132
2019-03-27-18:48:15,91.7741
2019-03-27-18:48:30,91.37
2019-03-27-18:48:45,91.3349
2019-03-27-18:49:00,91.3234
2019-03-27-18:49:15,91.2067
2019-03-27-18:49:30,91.252
2019-03-27-18:49:45,91.5198
2019-03-27-18:50:00,91.3951
2019-03-27-18:50:15,91.2356
2019-03-27-18:50:30,91.459
2019-03-27-18:50:45,91.2095
2019-03-27-18:51:00,91.0001
2019-03-27-18:51:15,91.3105
2019-03-27-18:51:30,91.4028
2019-03-27-18:51:45,91.2157
2019-03-27-18:52:00,91.1969
2019-03-27-18:52:15,91.3416
2019-03-27-18:52:30,91.1046
2019-03-27-18:52:45,91.1447
2019-03-27-18:53:00,91.2558
2019-03-27-18:53:15,91.173
2019-03-27-18:53:30,91.1054
2019-03-27-18:53:45,91.2883
2019-03-27-18:54:00,90.9646
2019-03-27-18:54:15,91.0928
2019-03-27-18:54:30,90.8834
2019-03-27-18:54:45,90.8114
2019-03-27-18:55:00,91.0135
2019-03-27-18:55:15,91.0241
2019-03-27-18:55:30,90.8683
2019-03-27-18:55:45,90.7843
2019-03-27-18:56:00,90.9995
2019-03-27-18:56:15,90.9472
2019-03-27-18:56:30,90.8819
2019-03-27-18:56:45,90.757
2019-03-27-18:57:00,90.7554
2019-03-27-18:57:15,90.7264
2019-03-27-18:57:30,90.7331
2019-03-27-18:57:45,90.7685
2019-03-27-18:58:00,90.7529
2019-03-27-18:58:15,90.9696
2019-03-27-18:58:30,90.9386
2019-03-27-18:58:45,90.849
2019-03-27-18:59:00,90.7252
2019-03-27-18:59:15,90.734
2019-03-27-18:59:30,90.6221
2019-03-27-18:59:45,90.7968
2019-03-27-19:00:00,90.8295
2019-03-27-19:00:15,90.9404
2019-03-27-19:00:30,90.7307
2019-03-27-19:00:45,90.864
2019-03-27-19:01:00,90.5609
2019-03-27-19:01:15,90.5283
2019-03-27-19:01:30,90.6637
2019-03-27-19:01:45,90.3662
2019-03-27-19:02:00,90.4636
2019-03-27-19:02:15,90.7096
2019-03-27-19:02:30,90.555
2019-03-27-19:02:45,90.3681
2019-03-27-19:03:00,90.5641
2019-03-27-19:03:15,90.3485
2019-03-27-19:03:30,90.4565
2019-03-27-19:03:45,90.4617
2019-03-27-19:04:00,90.4589
2019-03-27-19:04:15,90.5406
2019-03-27-19:04:30,90.3036
2019-03-27-19:04:45,90.4357
2019-03-27-19:05:00,90.3071
2019-03-27-19:05:15,90.4452
2019-03-27-19:05:30,90.2895
2019-03-27-19:05:45,90.2945
2019-03-27-19:06:00,90.427
2019-03-27-19:06:15,90.5095
2019-03-27-19:06:30,90.3557
2019-03-27-19:06:45,90.3557
2019-03-27-19:07:00,90.3552
2019-03-27-19:07:15,90.3441
2019-03-27-19:07:30,90.3121
2019-03-27-19:07:45,90.2884
2019-03-27-19:08:00,90.2739
2019-03-27-19:08:15,90.1475
2019-03-27-19:08:30,90.5085
2019-03-27-19:08:45,90.3121
2019-03-27-19:09:00,90.3795
2019-03-27-19:09:15,90.308
2019-03-27-19:09:30,90.2869
2019-03-27-19:09:45,89.9077
2019-03-27-19:10:00,89.8907
2019-03-27-19:10:15,89.8763
2019-03-27-19:10:30,90.0634
2019-03-27-19:10:45,90.2677
2019-03-27-19:11:00,90.1726
2019-03-27-19:11:15,89.9352
2019-03-27-19:11:30,90.2107
2019-03-27-19:11:45,90.0606
2019-03-27-19:12:00,90.1605
2019-03-27-19:12:15,89.9519
2019-03-27-19:12:30,89.8197
2019-03-27-19:12:45,89.8563
2019-03-27-19:13:00,90.0441
2019-03-27-19:13:15,90.1723
2019-03-27-19:13:30,89.9245
2019-03-27-19:13:45,89.9107
2019-03-27-19:14:00,90.036
2019-03-27-19:14:15,89.8399
2019-03-27-19:14:30,89.8972
2019-03-27-19:14:45,89.9429
2019-03-27-19:15:00,89.9481
2019-03-27-19:15:15,89.822
2019-03-27-19:15:30,90.1421
2019-03-27-19:15:45,89.8349
2019-03-27-19:16:00,89.817
2019-03-27-19:16:15,89.9339
2019-03-27-19:16:30,89.8323
2019-03-27-19:16:45,89.8985
2019-03-27-19:17:00,89.821
2019-03-27-19:17:15,89.8099
2019-03-27-19:17:30,89.8063
