Cavity,Gradient,Q0,Calibration,Q0 Measurement,Calibration Cutoffs,Q0 Cutoffs
8,4.0,-7.07e+9,2020-07-28 09:53:01 to 2020-07-28 19:04:28 (1s sample interval),2020-07-31 11:05:10 to 2020-07-31 12:14:21 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0,0 | 0
8,4.0,-7.09e+9,2020-07-29 08:32:03 to 2020-07-29 15:10:48 (1s sample interval),2020-07-31 11:05:10 to 2020-07-31 12:14:21 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
8,4.0,-7.04e+9,2020-07-28 09:53:01 to 2020-07-28 19:04:28 (1s sample interval),2020-07-31 11:05:10 to 2020-07-31 12:14:21 (1s sample interval),170 | 170 | 170 | 170 | 170 | 170,200 | 330
